B00, 100
B00, Trade, 257978.900, 124, B00, S26, 1
B00, Trade, 257984.400, 125, B00, S07, 1
B00, Trade, 257990.567, 116, B00, S26, 1
B00, Trade, 257993.167, 124, S18, B00, 1
B00, Trade, 258001.350, 135, S15, B00, 1
B00, Trade, 258019.333, 123, B00, S09, 1
B00, Trade, 258028.767, 99, B00, S20, 1
B00, Trade, 258034.283, 133, B00, S22, 1
B00, Trade, 258040.683, 102, S00, B00, 1
B00, Trade, 258048.300, 68, S06, B00, 1
B00, Trade, 258060.100, 62, S27, B00, 1
B00, Trade, 258061.333, 84, B00, S19, 1
B00, Trade, 258077.617, 98, B00, S27, 1
B00, Trade, 258103.383, 123, S15, B00, 1
B00, Trade, 258103.883, 121, S16, B00, 1
B00, Trade, 258111.617, 110, B00, S07, 1
B00, Trade, 258134.650, 140, S12, B00, 1
B00, Trade, 258137.867, 66, S18, B00, 1
B00, Trade, 258147.333, 135, B00, S13, 1
B00, Trade, 258151.483, 131, S25, B00, 1
B00, Trade, 258167.133, 94, B00, S01, 1
B00, Trade, 258169.333, 109, B00, S06, 1
B00, Trade, 258185.233, 116, B00, S17, 1
B00, Trade, 258190.500, 127, S16, B00, 1
B00, Trade, 258237.150, 123, B00, S06, 1
B00, Trade, 258257.383, 125, B00, S29, 1
B00, Trade, 258267.300, 129, B00, S07, 1
B00, Trade, 258274.883, 93, B00, S19, 1
B00, Trade, 258280.450, 60, S18, B00, 1
B00, Trade, 258283.067, 99, S12, B00, 1
B00, Trade, 258307.683, 131, B00, S26, 1
B00, Trade, 258333.100, 96, S22, B00, 1
B00, Trade, 258336.567, 136, B00, S29, 1
B00, Trade, 258343.533, 132, B00, S15, 1
B00, Trade, 258351.267, 136, B00, S02, 1
B00, Trade, 258356.200, 61, S19, B00, 1
B00, Trade, 258365.883, 133, B00, S19, 1
B00, Trade, 258372.100, 133, B00, S19, 1
B00, Trade, 258375.683, 110, S15, B00, 1
B00, Trade, 258383.717, 113, B00, S05, 1
B00, Trade, 258396.600, 127, B00, S28, 1
B00, Trade, 258398.383, 67, S06, B00, 1
B00, Trade, 258431.567, 136, B00, S08, 1
B00, Trade, 258435.583, 127, B00, S26, 1
B00, Trade, 258455.833, 123, S28, B00, 1
B00, Trade, 258470.083, 106, B00, S26, 1
B00, Trade, 258473.383, 112, S24, B00, 1
B00, Trade, 258480.517, 60, S03, B00, 1
B00, Trade, 258487.700, 130, S22, B00, 1
B00, Trade, 258514.150, 133, B00, S09, 1
B00, Trade, 258535.433, 68, S10, B00, 1
B00, Trade, 258539.600, 77, S22, B00, 1
B00, Trade, 258545.867, 117, B00, S19, 1
B00, Trade, 258554.517, 95, S25, B00, 1
B00, Trade, 258558.133, 65, S22, B00, 1
B00, Trade, 258566.600, 140, B00, S15, 1
B00, Trade, 258583.050, 103, B00, S02, 1
B00, Trade, 258587.650, 61, S27, B00, 1
B00, Trade, 258635.383, 129, B00, S27, 1
B00, Trade, 258652.050, 133, B00, S09, 1
B00, Trade, 258658.600, 139, B00, S20, 1
B00, Trade, 258661.583, 63, S09, B00, 1
B00, Trade, 258714.317, 125, B00, S07, 1
B00, Trade, 258726.733, 111, S16, B00, 1
B00, Trade, 258741.850, 138, B00, S17, 1
B00, Trade, 258752.700, 130, B00, S09, 1
B00, Trade, 258772.350, 126, S08, B00, 1
B00, Trade, 258786.517, 62, S27, B00, 1
B00, Trade, 258798.250, 140, S00, B00, 1
B00, Trade, 258803.450, 109, S00, B00, 1
B00, Trade, 258836.167, 96, B00, S17, 1
B00, Trade, 258855.833, 130, S21, B00, 1
B00, Trade, 258862.483, 129, B00, S17, 1
B00, Trade, 258888.083, 108, B00, S20, 1
B00, Trade, 258891.500, 110, B00, S02, 1
B00, Trade, 258920.800, 127, S18, B00, 1
B00, Trade, 258921.283, 69, S16, B00, 1
B00, Trade, 258925.917, 60, S25, B00, 1
B00, Trade, 258933.450, 95, S21, B00, 1
B00, Trade, 258942.567, 127, B00, S29, 1
B00, Trade, 258951.250, 127, B00, S09, 1
B00, Trade, 258959.200, 129, B00, S19, 1
B00, Trade, 258967.450, 129, B00, S26, 1
B00, Trade, 258982.183, 136, B00, S04, 1
B00, Trade, 258985.083, 82, B00, S20, 1
B00, Trade, 259002.317, 129, B00, S23, 1
B00, Trade, 259020.850, 114, B00, S23, 1
B00, Trade, 259027.600, 138, B00, S01, 1
B00, Trade, 259045.567, 133, B00, S27, 1
B00, Trade, 259061.250, 118, B00, S26, 1
