t=,0, id=,B00, PRDE,actvstrat=,-0.021028, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.800346, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.006951, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.600524, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.033265, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.397062, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.528900, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.784097, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.518017, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.063074, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.592963, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.466934, actvprof=,0.000000, id=,B12, PRDE,actvstrat=,0.356005, actvprof=,0.000000, id=,B13, PRDE,actvstrat=,-0.232439, actvprof=,0.000000, id=,B14, PRDE,actvstrat=,0.065379, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.579714, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.341667, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.735374, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.893933, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.244903, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.536403, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.815225, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.168960, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.719270, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.355536, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.146591, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.365188, actvprof=,0.000000, id=,S12, PRDE,actvstrat=,-0.759828, actvprof=,0.000000, id=,S13, PRDE,actvstrat=,0.548097, actvprof=,0.000000, id=,S14, PRDE,actvstrat=,0.785978, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.021028, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.579714, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.021028, actvprof=,4.333293, id=,B01, PRDE,actvstrat=,-0.800346, actvprof=,5.511338, id=,B02, PRDE,actvstrat=,0.006951, actvprof=,4.146073, id=,B03, PRDE,actvstrat=,-0.600524, actvprof=,4.584402, id=,B04, PRDE,actvstrat=,0.033265, actvprof=,4.424126, id=,B05, PRDE,actvstrat=,-0.397062, actvprof=,4.228294, id=,B06, PRDE,actvstrat=,0.528900, actvprof=,4.751900, id=,B07, PRDE,actvstrat=,-0.784097, actvprof=,5.638003, id=,B08, PRDE,actvstrat=,-0.518017, actvprof=,4.641346, id=,B09, PRDE,actvstrat=,-0.063074, actvprof=,4.285516, id=,B10, PRDE,actvstrat=,-0.592963, actvprof=,4.685790, id=,B11, PRDE,actvstrat=,-0.466934, actvprof=,4.791345, id=,B12, PRDE,actvstrat=,0.356005, actvprof=,4.488570, id=,B13, PRDE,actvstrat=,-0.232439, actvprof=,4.304682, id=,B14, PRDE,actvstrat=,0.065379, actvprof=,4.214405, id=,S00, PRDE,actvstrat=,0.579714, actvprof=,6.947158, id=,S01, PRDE,actvstrat=,-0.341667, actvprof=,3.590245, id=,S02, PRDE,actvstrat=,-0.735374, actvprof=,3.021639, id=,S03, PRDE,actvstrat=,0.893933, actvprof=,7.633263, id=,S04, PRDE,actvstrat=,0.244903, actvprof=,5.663559, id=,S05, PRDE,actvstrat=,0.536403, actvprof=,6.715493, id=,S06, PRDE,actvstrat=,0.815225, actvprof=,7.486320, id=,S07, PRDE,actvstrat=,-0.168960, actvprof=,3.833298, id=,S08, PRDE,actvstrat=,0.719270, actvprof=,7.404376, id=,S09, PRDE,actvstrat=,0.355536, actvprof=,6.283275, id=,S10, PRDE,actvstrat=,-0.146591, actvprof=,3.951908, id=,S11, PRDE,actvstrat=,0.365188, actvprof=,6.372163, id=,S12, PRDE,actvstrat=,-0.759828, actvprof=,3.029694, id=,S13, PRDE,actvstrat=,0.548097, actvprof=,6.899658, id=,S14, PRDE,actvstrat=,0.785978, actvprof=,7.604096, best_B_id=,B07, best_B_prof=,5.638003, best_B_strat=,-0.784097, best_S_id=,S03, best_S_prof=,7.633263, best_S_strat=,0.893933, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.781328, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.020437, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.805626, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.359149, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.115804, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.996264, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.018338, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.895127, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.257517, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.413445, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.021397, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.577048, actvprof=,0.000000, id=,B12, PRDE,actvstrat=,0.097609, actvprof=,0.000000, id=,B13, PRDE,actvstrat=,-0.265469, actvprof=,0.000000, id=,B14, PRDE,actvstrat=,-0.653394, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.774152, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.228957, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.598949, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.916833, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.509250, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.698566, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.301418, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.218944, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.039921, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.807639, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.188037, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.084163, actvprof=,0.000000, id=,S12, PRDE,actvstrat=,-0.577036, actvprof=,0.000000, id=,S13, PRDE,actvstrat=,0.699059, actvprof=,0.000000, id=,S14, PRDE,actvstrat=,0.257380, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.781328, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.774152, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.781328, actvprof=,3.488023, id=,B01, PRDE,actvstrat=,0.020437, actvprof=,2.419422, id=,B02, PRDE,actvstrat=,0.805626, actvprof=,2.922195, id=,B03, PRDE,actvstrat=,-0.359149, actvprof=,2.410533, id=,B04, PRDE,actvstrat=,0.115804, actvprof=,2.684697, id=,B05, PRDE,actvstrat=,-0.996264, actvprof=,4.031907, id=,B06, PRDE,actvstrat=,-0.018338, actvprof=,2.322478, id=,B07, PRDE,actvstrat=,-0.895127, actvprof=,4.045796, id=,B08, PRDE,actvstrat=,-0.257517, actvprof=,2.310534, id=,B09, PRDE,actvstrat=,0.413445, actvprof=,3.042194, id=,B10, PRDE,actvstrat=,-0.021397, actvprof=,2.432200, id=,B11, PRDE,actvstrat=,-0.577048, actvprof=,2.793307, id=,B12, PRDE,actvstrat=,0.097609, actvprof=,2.585254, id=,B13, PRDE,actvstrat=,-0.265469, actvprof=,2.446922, id=,B14, PRDE,actvstrat=,-0.653394, actvprof=,2.988306, id=,S00, PRDE,actvstrat=,-0.774152, actvprof=,1.944704, id=,S01, PRDE,actvstrat=,0.228957, actvprof=,6.709660, id=,S02, PRDE,actvstrat=,0.598949, actvprof=,8.474922, id=,S03, PRDE,actvstrat=,-0.916833, actvprof=,1.181100, id=,S04, PRDE,actvstrat=,0.509250, actvprof=,7.933538, id=,S05, PRDE,actvstrat=,0.698566, actvprof=,8.831863, id=,S06, PRDE,actvstrat=,-0.301418, actvprof=,3.238859, id=,S07, PRDE,actvstrat=,0.218944, actvprof=,6.622994, id=,S08, PRDE,actvstrat=,0.039921, actvprof=,5.633003, id=,S09, PRDE,actvstrat=,0.807639, actvprof=,9.290470, id=,S10, PRDE,actvstrat=,0.188037, actvprof=,6.707438, id=,S11, PRDE,actvstrat=,-0.084163, actvprof=,4.992176, id=,S12, PRDE,actvstrat=,-0.577036, actvprof=,3.179415, id=,S13, PRDE,actvstrat=,0.699059, actvprof=,8.648809, id=,S14, PRDE,actvstrat=,0.257380, actvprof=,6.841603, best_B_id=,B07, best_B_prof=,4.045796, best_B_strat=,-0.895127, best_S_id=,S09, best_S_prof=,9.290470, best_S_strat=,0.807639, 
t=,14400, id=,B00, PRDE,actvstrat=,0.044270, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.260348, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.190501, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.884576, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.312448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.171596, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.160105, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.438401, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.257517, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.413445, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.196846, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.851384, actvprof=,0.000000, id=,B12, PRDE,actvstrat=,0.951846, actvprof=,0.000000, id=,B13, PRDE,actvstrat=,-0.265469, actvprof=,0.000000, id=,B14, PRDE,actvstrat=,-0.830992, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.242958, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.595647, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.039689, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.349286, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.509250, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.710553, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.766750, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.639634, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.577288, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.281064, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.458653, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.027912, actvprof=,0.000000, id=,S12, PRDE,actvstrat=,-0.157816, actvprof=,0.000000, id=,S13, PRDE,actvstrat=,0.699059, actvprof=,0.000000, id=,S14, PRDE,actvstrat=,0.257380, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.044270, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.242958, 
t=,18000, id=,B00, PRDE,actvstrat=,0.044270, actvprof=,2.225041, id=,B01, PRDE,actvstrat=,0.260348, actvprof=,2.567548, id=,B02, PRDE,actvstrat=,0.190501, actvprof=,2.340321, id=,B03, PRDE,actvstrat=,0.884576, actvprof=,2.165596, id=,B04, PRDE,actvstrat=,-0.312448, actvprof=,2.107261, id=,B05, PRDE,actvstrat=,-0.171596, actvprof=,2.293931, id=,B06, PRDE,actvstrat=,0.160105, actvprof=,2.248375, id=,B07, PRDE,actvstrat=,-0.438401, actvprof=,2.287820, id=,B08, PRDE,actvstrat=,-0.257517, actvprof=,2.144762, id=,B09, PRDE,actvstrat=,0.413445, actvprof=,2.742551, id=,B10, PRDE,actvstrat=,-0.196846, actvprof=,2.144484, id=,B11, PRDE,actvstrat=,-0.851384, actvprof=,3.765348, id=,B12, PRDE,actvstrat=,0.951846, actvprof=,1.594474, id=,B13, PRDE,actvstrat=,-0.265469, actvprof=,2.177540, id=,B14, PRDE,actvstrat=,-0.830992, actvprof=,3.649512, id=,S00, PRDE,actvstrat=,0.242958, actvprof=,6.698180, id=,S01, PRDE,actvstrat=,0.595647, actvprof=,8.345710, id=,S02, PRDE,actvstrat=,0.039689, actvprof=,6.350118, id=,S03, PRDE,actvstrat=,0.349286, actvprof=,7.190133, id=,S04, PRDE,actvstrat=,0.509250, actvprof=,8.306543, id=,S05, PRDE,actvstrat=,-0.710553, actvprof=,2.788385, id=,S06, PRDE,actvstrat=,0.766750, actvprof=,9.615734, id=,S07, PRDE,actvstrat=,-0.639634, actvprof=,3.268394, id=,S08, PRDE,actvstrat=,-0.577288, actvprof=,3.017278, id=,S09, PRDE,actvstrat=,-0.281064, actvprof=,3.643123, id=,S10, PRDE,actvstrat=,0.458653, actvprof=,8.054871, id=,S11, PRDE,actvstrat=,-0.027912, actvprof=,5.651216, id=,S12, PRDE,actvstrat=,-0.157816, actvprof=,4.665086, id=,S13, PRDE,actvstrat=,0.699059, actvprof=,9.384896, id=,S14, PRDE,actvstrat=,0.257380, actvprof=,7.190411, best_B_id=,B11, best_B_prof=,3.765348, best_B_strat=,-0.851384, best_S_id=,S06, best_S_prof=,9.615734, best_S_strat=,0.766750, 
t=,21600, id=,B00, PRDE,actvstrat=,0.044270, actvprof=,2.219753, id=,B01, PRDE,actvstrat=,0.260348, actvprof=,2.481284, id=,B02, PRDE,actvstrat=,0.190501, actvprof=,2.359061, id=,B03, PRDE,actvstrat=,0.884576, actvprof=,2.160030, id=,B04, PRDE,actvstrat=,-0.312448, actvprof=,2.061140, id=,B05, PRDE,actvstrat=,-0.171596, actvprof=,2.278643, id=,B06, PRDE,actvstrat=,0.160105, actvprof=,2.360033, id=,B07, PRDE,actvstrat=,-0.438401, actvprof=,2.175864, id=,B08, PRDE,actvstrat=,-0.257517, actvprof=,2.075862, id=,B09, PRDE,actvstrat=,0.413445, actvprof=,2.672259, id=,B10, PRDE,actvstrat=,-0.196846, actvprof=,2.155863, id=,B11, PRDE,actvstrat=,-0.851384, actvprof=,3.681162, id=,B12, PRDE,actvstrat=,0.951846, actvprof=,1.624328, id=,B13, PRDE,actvstrat=,-0.265469, actvprof=,2.108224, id=,B14, PRDE,actvstrat=,-0.830992, actvprof=,3.534216, id=,S00, PRDE,actvstrat=,0.242958, actvprof=,6.636481, id=,S01, PRDE,actvstrat=,0.595647, actvprof=,8.619286, id=,S02, PRDE,actvstrat=,0.039689, actvprof=,6.301754, id=,S03, PRDE,actvstrat=,0.349286, actvprof=,7.337463, id=,S04, PRDE,actvstrat=,0.509250, actvprof=,8.360672, id=,S05, PRDE,actvstrat=,-0.710553, actvprof=,2.798094, id=,S06, PRDE,actvstrat=,0.766750, actvprof=,9.649856, id=,S07, PRDE,actvstrat=,-0.639634, actvprof=,2.985597, id=,S08, PRDE,actvstrat=,-0.577288, actvprof=,2.952541, id=,S09, PRDE,actvstrat=,-0.281064, actvprof=,3.595883, id=,S10, PRDE,actvstrat=,0.458653, actvprof=,8.059973, id=,S11, PRDE,actvstrat=,-0.027912, actvprof=,5.685218, id=,S12, PRDE,actvstrat=,-0.157816, actvprof=,4.438534, id=,S13, PRDE,actvstrat=,0.699059, actvprof=,9.369019, id=,S14, PRDE,actvstrat=,0.257380, actvprof=,6.885929, best_B_id=,B11, best_B_prof=,3.681162, best_B_strat=,-0.851384, best_S_id=,S06, best_S_prof=,9.649856, best_S_strat=,0.766750, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.616973, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.523358, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.649475, id=,B03, PRDE,actvstrat=,0.888396, actvprof=,1.437289, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.552526, id=,B05, PRDE,actvstrat=,0.844769, actvprof=,1.547572, id=,B06, PRDE,actvstrat=,-0.848879, actvprof=,2.138155, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.984768, id=,B08, PRDE,actvstrat=,0.628133, actvprof=,1.782305, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.602806, id=,B10, PRDE,actvstrat=,-0.159992, actvprof=,1.361174, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,1.042270, id=,B12, PRDE,actvstrat=,-1.000000, actvprof=,0.998935, id=,B13, PRDE,actvstrat=,-0.736938, actvprof=,2.175934, id=,B14, PRDE,actvstrat=,-0.295310, actvprof=,1.366452, id=,S00, PRDE,actvstrat=,-0.227334, actvprof=,5.242465, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.354229, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,13.222279, id=,S03, PRDE,actvstrat=,0.263458, actvprof=,9.370989, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.283948, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.214038, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,13.259781, id=,S07, PRDE,actvstrat=,0.027115, actvprof=,8.139821, id=,S08, PRDE,actvstrat=,-0.000101, actvprof=,8.282050, id=,S09, PRDE,actvstrat=,-0.879540, actvprof=,1.093940, id=,S10, PRDE,actvstrat=,0.914010, actvprof=,13.382008, id=,S11, PRDE,actvstrat=,-0.747759, actvprof=,2.938469, id=,S12, PRDE,actvstrat=,0.937305, actvprof=,13.266448, id=,S13, PRDE,actvstrat=,1.000000, actvprof=,13.117830, id=,S14, PRDE,actvstrat=,0.139314, actvprof=,8.459003, best_B_id=,B13, best_B_prof=,2.175934, best_B_strat=,-0.736938, best_S_id=,S10, best_S_prof=,13.382008, best_S_strat=,0.914010, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.556677, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.543205, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.555149, id=,B03, PRDE,actvstrat=,0.888396, actvprof=,1.431971, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.540843, id=,B05, PRDE,actvstrat=,0.844769, actvprof=,1.608224, id=,B06, PRDE,actvstrat=,-0.848879, actvprof=,2.057677, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.993074, id=,B08, PRDE,actvstrat=,0.628133, actvprof=,1.732115, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.526815, id=,B10, PRDE,actvstrat=,-0.159992, actvprof=,1.442527, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,1.030158, id=,B12, PRDE,actvstrat=,-1.000000, actvprof=,0.926823, id=,B13, PRDE,actvstrat=,-0.736938, actvprof=,2.109206, id=,B14, PRDE,actvstrat=,-0.295310, actvprof=,1.374192, id=,S00, PRDE,actvstrat=,-0.227334, actvprof=,5.441351, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.381220, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,13.324691, id=,S03, PRDE,actvstrat=,0.263458, actvprof=,9.284616, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.359275, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.913526, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,13.230106, id=,S07, PRDE,actvstrat=,0.027115, actvprof=,8.160707, id=,S08, PRDE,actvstrat=,-0.000101, actvprof=,7.990148, id=,S09, PRDE,actvstrat=,-0.879540, actvprof=,0.921684, id=,S10, PRDE,actvstrat=,0.914010, actvprof=,13.342053, id=,S11, PRDE,actvstrat=,-0.747759, actvprof=,3.074362, id=,S12, PRDE,actvstrat=,0.937305, actvprof=,13.223023, id=,S13, PRDE,actvstrat=,1.000000, actvprof=,13.316358, id=,S14, PRDE,actvstrat=,0.139314, actvprof=,8.511130, best_B_id=,B13, best_B_prof=,2.109206, best_B_strat=,-0.736938, best_S_id=,S01, best_S_prof=,13.381220, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.155229, actvprof=,2.584358, id=,B01, PRDE,actvstrat=,-0.800346, actvprof=,3.990018, id=,B02, PRDE,actvstrat=,0.805626, actvprof=,3.042170, id=,B03, PRDE,actvstrat=,-0.359149, actvprof=,2.590192, id=,B04, PRDE,actvstrat=,0.040612, actvprof=,2.653808, id=,B05, PRDE,actvstrat=,0.844769, actvprof=,2.585469, id=,B06, PRDE,actvstrat=,-0.848879, actvprof=,4.194755, id=,B07, PRDE,actvstrat=,-0.065966, actvprof=,2.399622, id=,B08, PRDE,actvstrat=,0.628133, actvprof=,3.122731, id=,B09, PRDE,actvstrat=,0.548676, actvprof=,3.024391, id=,B10, PRDE,actvstrat=,-0.145001, actvprof=,2.797707, id=,B11, PRDE,actvstrat=,-0.577048, actvprof=,2.974387, id=,B12, PRDE,actvstrat=,-0.650354, actvprof=,3.105230, id=,B13, PRDE,actvstrat=,-0.823643, actvprof=,4.309764, id=,B14, PRDE,actvstrat=,-0.738261, actvprof=,3.638325, id=,S00, PRDE,actvstrat=,0.731941, actvprof=,8.973165, id=,S01, PRDE,actvstrat=,0.978980, actvprof=,9.670439, id=,S02, PRDE,actvstrat=,-0.020335, actvprof=,4.692292, id=,S03, PRDE,actvstrat=,-0.451567, actvprof=,3.034114, id=,S04, PRDE,actvstrat=,0.906615, actvprof=,9.673494, id=,S05, PRDE,actvstrat=,0.698566, actvprof=,8.484795, id=,S06, PRDE,actvstrat=,0.221573, actvprof=,5.829321, id=,S07, PRDE,actvstrat=,0.950510, actvprof=,9.981017, id=,S08, PRDE,actvstrat=,-0.299585, actvprof=,3.091340, id=,S09, PRDE,actvstrat=,-0.911428, actvprof=,0.766723, id=,S10, PRDE,actvstrat=,0.188037, actvprof=,5.964608, id=,S11, PRDE,actvstrat=,0.320329, actvprof=,6.728832, id=,S12, PRDE,actvstrat=,0.585519, actvprof=,7.752797, id=,S13, PRDE,actvstrat=,0.613508, actvprof=,7.993925, id=,S14, PRDE,actvstrat=,0.139314, actvprof=,5.738758, best_B_id=,B13, best_B_prof=,4.309764, best_B_strat=,-0.823643, best_S_id=,S07, best_S_prof=,9.981017, best_S_strat=,0.950510, 
t=,36000, id=,B00, PRDE,actvstrat=,0.155229, actvprof=,2.674114, id=,B01, PRDE,actvstrat=,-0.800346, actvprof=,4.043881, id=,B02, PRDE,actvstrat=,0.805626, actvprof=,2.950512, id=,B03, PRDE,actvstrat=,-0.359149, actvprof=,2.620779, id=,B04, PRDE,actvstrat=,0.040612, actvprof=,2.732033, id=,B05, PRDE,actvstrat=,0.844769, actvprof=,2.686893, id=,B06, PRDE,actvstrat=,-0.848879, actvprof=,4.202914, id=,B07, PRDE,actvstrat=,-0.065966, actvprof=,2.694671, id=,B08, PRDE,actvstrat=,0.628133, actvprof=,3.123157, id=,B09, PRDE,actvstrat=,0.548676, actvprof=,3.071488, id=,B10, PRDE,actvstrat=,-0.145001, actvprof=,2.830508, id=,B11, PRDE,actvstrat=,-0.577048, actvprof=,3.115518, id=,B12, PRDE,actvstrat=,-0.650354, actvprof=,3.277467, id=,B13, PRDE,actvstrat=,-0.823643, actvprof=,4.243054, id=,B14, PRDE,actvstrat=,-0.738261, actvprof=,3.661646, id=,S00, PRDE,actvstrat=,0.731941, actvprof=,8.878760, id=,S01, PRDE,actvstrat=,0.978980, actvprof=,9.550171, id=,S02, PRDE,actvstrat=,-0.020335, actvprof=,4.987384, id=,S03, PRDE,actvstrat=,-0.451567, actvprof=,2.857732, id=,S04, PRDE,actvstrat=,0.906615, actvprof=,9.650868, id=,S05, PRDE,actvstrat=,0.698566, actvprof=,8.720699, id=,S06, PRDE,actvstrat=,0.221573, actvprof=,5.970749, id=,S07, PRDE,actvstrat=,0.950510, actvprof=,9.760733, id=,S08, PRDE,actvstrat=,-0.299585, actvprof=,3.092461, id=,S09, PRDE,actvstrat=,-0.911428, actvprof=,0.917946, id=,S10, PRDE,actvstrat=,0.188037, actvprof=,5.687684, id=,S11, PRDE,actvstrat=,0.320329, actvprof=,6.649521, id=,S12, PRDE,actvstrat=,0.585519, actvprof=,7.844838, id=,S13, PRDE,actvstrat=,0.613508, actvprof=,7.986926, id=,S14, PRDE,actvstrat=,0.139314, actvprof=,5.764076, best_B_id=,B13, best_B_prof=,4.243054, best_B_strat=,-0.823643, best_S_id=,S07, best_S_prof=,9.760733, best_S_strat=,0.950510, 
