B00, 0
B01, 0
B02, 1
B02, Trade, 79004.583, 65, B02, S01, 1
B03, 4
B03, Trade, 117505.667, 68, B03, S00, 1
B03, Trade, 119805.117, 68, B03, S02, 1
B03, Trade, 120544.450, 68, B03, S00, 1
B03, Trade, 120996.050, 68, B03, S03, 1
B04, 4
B04, Trade, 73499.133, 65, B04, S01, 1
B04, Trade, 105661.400, 71, B04, S00, 1
B04, Trade, 115818.200, 71, B04, S03, 1
B04, Trade, 202276.967, 71, B04, S02, 1
B05, 54
B05, Trade, 43878.083, 73, B05, S02, 1
B05, Trade, 48674.317, 73, B05, S05, 1
B05, Trade, 68371.683, 73, B05, S02, 1
B05, Trade, 102085.967, 73, B05, S00, 1
B05, Trade, 115321.083, 71, B05, S00, 1
B05, Trade, 115500.233, 71, B05, S02, 1
B05, Trade, 115652.600, 71, B05, S03, 1
B05, Trade, 115873.183, 71, B05, S02, 1
B05, Trade, 116091.133, 71, B05, S02, 1
B05, Trade, 116163.450, 71, B05, S03, 1
B05, Trade, 116407.483, 71, B05, S02, 1
B05, Trade, 116511.383, 71, B05, S02, 1
B05, Trade, 116639.850, 71, B05, S03, 1
B05, Trade, 116712.333, 71, B05, S03, 1
B05, Trade, 116789.967, 71, B05, S02, 1
B05, Trade, 117286.133, 71, B05, S00, 1
B05, Trade, 117386.167, 71, B05, S00, 1
B05, Trade, 118027.767, 71, B05, S00, 1
B05, Trade, 118221.017, 71, B05, S00, 1
B05, Trade, 118461.733, 71, B05, S00, 1
B05, Trade, 118471.283, 71, B05, S03, 1
B05, Trade, 118627.150, 71, B05, S02, 1
B05, Trade, 120851.483, 71, B05, S03, 1
B05, Trade, 121018.900, 71, B05, S01, 1
B05, Trade, 121079.600, 71, B05, S02, 1
B05, Trade, 121240.600, 71, B05, S03, 1
B05, Trade, 121356.867, 69, B05, S03, 1
B05, Trade, 121399.700, 71, B05, S02, 1
B05, Trade, 121969.950, 70, B05, S02, 1
B05, Trade, 191304.017, 71, B05, S03, 1
B05, Trade, 202165.833, 73, B05, S03, 1
B05, Trade, 202352.417, 73, B05, S01, 1
B05, Trade, 202691.300, 72, B05, S03, 1
B05, Trade, 204749.083, 73, B05, S01, 1
B05, Trade, 208565.333, 73, B05, S03, 1
B05, Trade, 242912.767, 73, B05, S01, 1
B05, Trade, 245292.217, 73, B05, S01, 1
B05, Trade, 259798.167, 73, B05, S02, 1
B05, Trade, 260238.950, 73, B05, S03, 1
B05, Trade, 260314.633, 73, B05, S02, 1
B05, Trade, 261167.867, 73, B05, S01, 1
B05, Trade, 261811.550, 72, B05, S02, 1
B05, Trade, 262055.450, 73, B05, S05, 1
B05, Trade, 262475.617, 72, B05, S02, 1
B05, Trade, 263635.033, 73, B05, S01, 1
B05, Trade, 264086.883, 73, B05, S01, 1
B05, Trade, 266339.550, 73, B05, S02, 1
B05, Trade, 281194.867, 73, B05, S01, 1
B05, Trade, 284549.633, 73, B05, S01, 1
B05, Trade, 287566.667, 73, B05, S02, 1
B05, Trade, 341298.717, 73, B05, S01, 1
B05, Trade, 344334.233, 73, B05, S03, 1
B05, Trade, 399433.067, 73, B05, S00, 1
B05, Trade, 413008.183, 73, B05, S03, 1
B06, 100
B06, Trade, 100312.250, 76, B06, S00, 1
B06, Trade, 100540.967, 76, B06, S04, 1
B06, Trade, 116754.467, 74, B06, S03, 1
B06, Trade, 116932.150, 76, B06, S00, 1
B06, Trade, 118979.867, 76, B06, S00, 1
B06, Trade, 139708.800, 75, B06, S00, 1
B06, Trade, 161709.367, 76, B06, S03, 1
B06, Trade, 163313.650, 75, B06, S01, 1
B06, Trade, 171366.967, 75, B06, S03, 1
B06, Trade, 182434.583, 76, S06, B06, 1
B06, Trade, 182541.300, 76, B06, S03, 1
B06, Trade, 184765.133, 76, B06, S03, 1
B06, Trade, 197776.000, 76, S01, B06, 1
B06, Trade, 207355.717, 74, B06, S05, 1
B06, Trade, 207403.067, 75, B06, S01, 1
B06, Trade, 249893.667, 76, B06, S00, 1
B06, Trade, 251564.083, 76, B06, S05, 1
B06, Trade, 263966.367, 76, B06, S01, 1
B06, Trade, 285312.500, 76, B06, S00, 1
B06, Trade, 290535.867, 76, B06, S00, 1
B06, Trade, 293252.133, 76, B06, S00, 1
B06, Trade, 297734.850, 76, B06, S05, 1
B06, Trade, 300307.200, 76, B06, S04, 1
B06, Trade, 300947.933, 76, B06, S00, 1
B06, Trade, 309948.983, 76, B06, S02, 1
B06, Trade, 311999.283, 76, B06, S04, 1
B06, Trade, 312054.633, 76, B06, S03, 1
B06, Trade, 312245.983, 76, B06, S04, 1
B06, Trade, 318751.050, 76, B06, S03, 1
B06, Trade, 320846.850, 76, B06, S05, 1
B06, Trade, 321268.517, 76, B06, S04, 1
B06, Trade, 322028.817, 76, B06, S03, 1
B06, Trade, 328257.017, 75, S05, B06, 1
B06, Trade, 331181.017, 76, B06, S03, 1
B06, Trade, 336196.967, 76, B06, S02, 1
B06, Trade, 338636.000, 76, B06, S01, 1
B06, Trade, 338986.533, 76, B06, S05, 1
B06, Trade, 338997.650, 76, B06, S03, 1
B06, Trade, 339360.150, 76, B06, S03, 1
B06, Trade, 340951.700, 76, B06, S04, 1
B06, Trade, 340978.633, 76, B06, S03, 1
B06, Trade, 341956.867, 76, B06, S05, 1
B06, Trade, 341958.350, 75, B06, S01, 1
B06, Trade, 342157.333, 76, B06, S01, 1
B06, Trade, 342629.517, 76, B06, S05, 1
B06, Trade, 343601.767, 76, B06, S05, 1
B06, Trade, 344081.617, 76, B06, S03, 1
B06, Trade, 344233.817, 76, B06, S06, 1
B06, Trade, 344252.950, 76, B06, S06, 1
B06, Trade, 344415.167, 76, B06, S03, 1
B06, Trade, 344752.083, 76, B06, S03, 1
