B00, 100
B00, Trade, 366677.433, 130, S23, B00, 1
B00, Trade, 366683.133, 140, B00, S17, 1
B00, Trade, 366685.750, 129, S24, B00, 1
B00, Trade, 366694.583, 139, B00, S29, 1
B00, Trade, 366698.983, 140, S24, B00, 1
B00, Trade, 366708.400, 140, B00, S08, 1
B00, Trade, 366712.683, 124, S01, B00, 1
B00, Trade, 366715.050, 123, S10, B00, 1
B00, Trade, 366724.300, 140, B00, S09, 1
B00, Trade, 366727.583, 140, B00, S28, 1
B00, Trade, 366730.583, 138, B00, S09, 1
B00, Trade, 366738.767, 136, S05, B00, 1
B00, Trade, 366741.083, 140, B00, S08, 1
B00, Trade, 366745.800, 138, B00, S22, 1
B00, Trade, 366753.600, 60, S05, B00, 1
B00, Trade, 366758.383, 130, S03, B00, 1
B00, Trade, 366760.583, 140, S01, B00, 1
B00, Trade, 366767.100, 137, S28, B00, 1
B00, Trade, 366770.817, 138, B00, S06, 1
B00, Trade, 366777.083, 138, S24, B00, 1
B00, Trade, 366782.433, 119, S01, B00, 1
B00, Trade, 366790.233, 124, S01, B00, 1
B00, Trade, 366792.283, 140, B00, S29, 1
B00, Trade, 366796.667, 139, B00, S19, 1
B00, Trade, 366801.467, 140, B00, S09, 1
B00, Trade, 366807.033, 136, S23, B00, 1
B00, Trade, 366812.983, 137, S24, B00, 1
B00, Trade, 366816.450, 140, B00, S01, 1
B00, Trade, 366821.200, 139, S05, B00, 1
B00, Trade, 366825.900, 140, B00, S26, 1
B00, Trade, 366833.767, 140, B00, S07, 1
B00, Trade, 366840.200, 138, S24, B00, 1
B00, Trade, 366841.117, 140, B00, S02, 1
B00, Trade, 366847.633, 108, S01, B00, 1
B00, Trade, 366851.483, 115, S05, B00, 1
B00, Trade, 366859.200, 131, S28, B00, 1
B00, Trade, 366864.100, 137, B00, S12, 1
B00, Trade, 366869.617, 74, S09, B00, 1
B00, Trade, 366872.683, 138, B00, S06, 1
B00, Trade, 366878.650, 133, S10, B00, 1
B00, Trade, 366880.967, 138, B00, S03, 1
B00, Trade, 366890.233, 134, S24, B00, 1
B00, Trade, 366900.267, 140, B00, S02, 1
B00, Trade, 366903.183, 140, B00, S11, 1
B00, Trade, 366911.433, 138, B00, S26, 1
B00, Trade, 366917.617, 139, B00, S27, 1
B00, Trade, 366920.650, 132, S23, B00, 1
B00, Trade, 366924.367, 60, S02, B00, 1
B00, Trade, 366927.867, 138, B00, S20, 1
B00, Trade, 366932.733, 136, B00, S05, 1
B00, Trade, 366942.017, 96, S07, B00, 1
B00, Trade, 366945.017, 120, S03, B00, 1
B00, Trade, 366948.100, 95, S01, B00, 1
B00, Trade, 366955.283, 135, S28, B00, 1
B00, Trade, 366962.683, 140, B00, S10, 1
B00, Trade, 366968.867, 138, B00, S00, 1
B00, Trade, 366970.467, 138, B00, S02, 1
B00, Trade, 366978.583, 136, S28, B00, 1
B00, Trade, 366980.350, 116, S01, B00, 1
B00, Trade, 366993.250, 140, B00, S13, 1
B00, Trade, 366997.433, 135, B00, S21, 1
B00, Trade, 367000.000, 140, B00, S22, 1
B00, Trade, 367001.583, 140, B00, S15, 1
B00, Trade, 367010.133, 140, B00, S25, 1
B00, Trade, 367015.517, 140, B00, S19, 1
B00, Trade, 367017.950, 140, S03, B00, 1
B00, Trade, 367022.300, 60, S28, B00, 1
B00, Trade, 367027.633, 119, S28, B00, 1
B00, Trade, 367036.633, 140, B00, S03, 1
B00, Trade, 367038.167, 140, B00, S08, 1
B00, Trade, 367043.617, 129, S09, B00, 1
B00, Trade, 367050.700, 139, B00, S12, 1
B00, Trade, 367055.933, 133, S01, B00, 1
B00, Trade, 367058.617, 125, S24, B00, 1
B00, Trade, 367064.583, 140, B00, S22, 1
B00, Trade, 367070.283, 137, B00, S12, 1
B00, Trade, 367074.233, 140, B00, S02, 1
B00, Trade, 367078.367, 110, S24, B00, 1
B00, Trade, 367083.117, 63, S19, B00, 1
B00, Trade, 367088.067, 137, B00, S14, 1
B00, Trade, 367095.983, 137, S24, B00, 1
B00, Trade, 367102.417, 140, B00, S05, 1
B00, Trade, 367107.400, 132, S24, B00, 1
B00, Trade, 367111.233, 139, B00, S18, 1
B00, Trade, 367117.883, 140, B00, S08, 1
B00, Trade, 367123.800, 140, B00, S22, 1
B00, Trade, 367129.583, 131, S27, B00, 1
B00, Trade, 367136.683, 139, B00, S05, 1
B00, Trade, 367141.650, 139, B00, S04, 1
B00, Trade, 367142.467, 139, B00, S20, 1
B00, Trade, 367151.217, 139, B00, S25, 1
B00, Trade, 367154.700, 139, B00, S29, 1
B00, Trade, 367160.117, 136, B00, S20, 1
B00, Trade, 367163.267, 138, B00, S20, 1
B00, Trade, 367169.833, 140, B00, S17, 1
B00, Trade, 367177.933, 140, B00, S08, 1
B00, Trade, 367180.700, 139, B00, S14, 1
B00, Trade, 367183.000, 121, S23, B00, 1
B00, Trade, 367188.400, 114, S24, B00, 1
B00, Trade, 367194.033, 140, B00, S20, 1
B01, 100
B01, Trade, 366307.267, 102, B01, S08, 1
B01, Trade, 366311.717, 111, B01, S06, 1
B01, Trade, 366317.283, 103, B01, S20, 1
B01, Trade, 366324.367, 125, S23, B01, 1
B01, Trade, 366327.567, 68, S01, B01, 1
B01, Trade, 366341.750, 65, B01, S21, 1
B01, Trade, 366356.867, 107, B01, S02, 1
B01, Trade, 366367.700, 118, B01, S20, 1
B01, Trade, 366369.500, 108, B01, S02, 1
B01, Trade, 366382.450, 90, B01, S00, 1
B01, Trade, 366383.117, 91, B01, S19, 1
B01, Trade, 366394.900, 97, B01, S21, 1
B01, Trade, 366399.750, 120, B01, S11, 1
B01, Trade, 366404.767, 61, S02, B01, 1
B01, Trade, 366414.900, 67, B01, S11, 1
B01, Trade, 366430.350, 100, B01, S21, 1
B01, Trade, 366436.633, 92, B01, S21, 1
B01, Trade, 366444.067, 134, B01, S09, 1
B01, Trade, 366453.100, 108, B01, S13, 1
B01, Trade, 366459.583, 97, B01, S13, 1
B01, Trade, 366469.133, 92, B01, S25, 1
B01, Trade, 366475.483, 81, B01, S19, 1
B01, Trade, 366496.300, 116, B01, S08, 1
B01, Trade, 366509.967, 116, B01, S08, 1
B01, Trade, 366517.250, 124, B01, S18, 1
B01, Trade, 366518.783, 128, B01, S11, 1
B01, Trade, 366531.367, 92, S05, B01, 1
B01, Trade, 366536.000, 90, B01, S18, 1
B01, Trade, 366547.233, 105, B01, S06, 1
B01, Trade, 366564.983, 139, B01, S29, 1
B01, Trade, 366571.700, 120, B01, S08, 1
B01, Trade, 366577.417, 90, B01, S17, 1
B01, Trade, 366580.500, 64, S16, B01, 1
B01, Trade, 366598.067, 128, B01, S09, 1
B01, Trade, 366610.933, 95, B01, S17, 1
B01, Trade, 366633.550, 108, S23, B01, 1
B01, Trade, 366643.383, 120, B01, S15, 1
B01, Trade, 366654.000, 110, B01, S06, 1
B01, Trade, 366661.283, 101, B01, S18, 1
B01, Trade, 366668.300, 98, B01, S18, 1
B01, Trade, 366687.617, 94, B01, S26, 1
B01, Trade, 366700.617, 114, B01, S21, 1
B01, Trade, 366703.967, 60, S19, B01, 1
B01, Trade, 366710.667, 132, B01, S00, 1
B01, Trade, 366713.717, 103, B01, S17, 1
B01, Trade, 366737.033, 127, B01, S26, 1
B01, Trade, 366740.617, 115, B01, S19, 1
B01, Trade, 366750.000, 78, B01, S11, 1
B01, Trade, 366754.567, 61, S24, B01, 1
B01, Trade, 366757.500, 66, S06, B01, 1
B01, Trade, 366762.667, 90, B01, S13, 1
B01, Trade, 366771.167, 115, B01, S16, 1
B01, Trade, 366778.433, 88, B01, S06, 1
B01, Trade, 366786.633, 112, B01, S06, 1
B01, Trade, 366790.433, 108, B01, S00, 1
B01, Trade, 366811.017, 127, B01, S06, 1
B01, Trade, 366814.283, 85, B01, S13, 1
B01, Trade, 366817.783, 119, B01, S15, 1
B01, Trade, 366831.267, 97, B01, S27, 1
B01, Trade, 366832.933, 89, B01, S13, 1
B01, Trade, 366840.850, 133, B01, S14, 1
B01, Trade, 366843.850, 123, B01, S08, 1
B01, Trade, 366854.967, 101, B01, S13, 1
B01, Trade, 366874.850, 121, B01, S08, 1
B01, Trade, 366880.917, 75, B01, S11, 1
B01, Trade, 366890.183, 128, B01, S19, 1
B01, Trade, 366908.250, 98, B01, S27, 1
B01, Trade, 366920.833, 93, B01, S18, 1
B01, Trade, 366921.600, 80, B01, S16, 1
B01, Trade, 366933.450, 110, B01, S26, 1
B01, Trade, 366941.733, 63, S17, B01, 1
B01, Trade, 366960.117, 90, B01, S13, 1
B01, Trade, 366967.533, 75, B01, S08, 1
B01, Trade, 366973.033, 101, B01, S29, 1
B01, Trade, 366981.933, 78, B01, S12, 1
B01, Trade, 366984.183, 105, B01, S15, 1
B01, Trade, 366994.950, 103, B01, S21, 1
B01, Trade, 367002.100, 129, B01, S04, 1
B01, Trade, 367008.900, 110, B01, S21, 1
B01, Trade, 367010.917, 108, B01, S26, 1
B01, Trade, 367019.550, 114, B01, S13, 1
B01, Trade, 367023.183, 68, S11, B01, 1
B01, Trade, 367027.050, 91, B01, S11, 1
B01, Trade, 367032.300, 83, B01, S09, 1
B01, Trade, 367044.367, 91, B01, S08, 1
B01, Trade, 367061.183, 66, B01, S18, 1
B01, Trade, 367077.667, 97, B01, S22, 1
B01, Trade, 367081.933, 93, B01, S08, 1
B01, Trade, 367088.350, 107, B01, S09, 1
B01, Trade, 367096.533, 96, B01, S08, 1
B01, Trade, 367100.833, 79, B01, S25, 1
B01, Trade, 367120.350, 112, B01, S14, 1
B01, Trade, 367127.500, 121, B01, S09, 1
B01, Trade, 367131.867, 110, B01, S26, 1
B01, Trade, 367140.000, 71, B01, S22, 1
B01, Trade, 367147.183, 102, B01, S17, 1
B01, Trade, 367152.267, 98, B01, S02, 1
B01, Trade, 367163.500, 111, B01, S11, 1
B01, Trade, 367173.100, 88, B01, S20, 1
B01, Trade, 367183.433, 92, B01, S22, 1
B02, 100
B02, Trade, 366650.100, 140, B02, S21, 1
B02, Trade, 366655.983, 140, B02, S26, 1
B02, Trade, 366661.083, 140, B02, S22, 1
B02, Trade, 366664.883, 129, S10, B02, 1
B02, Trade, 366670.550, 140, B02, S04, 1
B02, Trade, 366673.917, 140, B02, S18, 1
B02, Trade, 366679.450, 130, S01, B02, 1
B02, Trade, 366687.800, 140, S10, B02, 1
B02, Trade, 366694.100, 140, B02, S22, 1
B02, Trade, 366706.567, 140, B02, S25, 1
B02, Trade, 366713.800, 124, S23, B02, 1
B02, Trade, 366715.583, 123, S28, B02, 1
B02, Trade, 366724.000, 139, B02, S16, 1
B02, Trade, 366725.833, 140, B02, S13, 1
B02, Trade, 366732.483, 129, S24, B02, 1
B02, Trade, 366735.317, 136, B02, S19, 1
B02, Trade, 366740.667, 133, S01, B02, 1
B02, Trade, 366751.733, 60, S17, B02, 1
B02, Trade, 366760.000, 139, B02, S12, 1
B02, Trade, 366763.683, 139, S07, B02, 1
B02, Trade, 366765.783, 140, B02, S12, 1
B02, Trade, 366773.683, 139, B02, S00, 1
B02, Trade, 366776.317, 140, B02, S26, 1
B02, Trade, 366784.733, 137, B02, S04, 1
B02, Trade, 366793.967, 140, B02, S11, 1
B02, Trade, 366795.700, 133, B02, S00, 1
B02, Trade, 366803.550, 139, B02, S08, 1
B02, Trade, 366804.500, 133, S05, B02, 1
B02, Trade, 366811.517, 135, S01, B02, 1
B02, Trade, 366818.350, 139, B02, S18, 1
B02, Trade, 366822.700, 132, S01, B02, 1
B02, Trade, 366830.583, 133, S24, B02, 1
B02, Trade, 366837.683, 139, B02, S13, 1
B02, Trade, 366843.800, 139, B02, S04, 1
B02, Trade, 366848.750, 120, S09, B02, 1
B02, Trade, 366855.533, 139, S23, B02, 1
B02, Trade, 366858.933, 130, S24, B02, 1
B02, Trade, 366862.383, 139, B02, S20, 1
B02, Trade, 366868.950, 65, S24, B02, 1
B02, Trade, 366871.617, 140, B02, S27, 1
B02, Trade, 366879.717, 136, S29, B02, 1
B02, Trade, 366883.017, 140, B02, S21, 1
B02, Trade, 366889.967, 138, S28, B02, 1
B02, Trade, 366899.867, 140, B02, S08, 1
B02, Trade, 366901.217, 140, B02, S20, 1
B02, Trade, 366907.667, 104, S04, B02, 1
B02, Trade, 366915.800, 139, B02, S02, 1
B02, Trade, 366924.633, 61, S25, B02, 1
B02, Trade, 366929.417, 140, B02, S13, 1
B02, Trade, 366932.000, 137, B02, S16, 1
B02, Trade, 366938.800, 139, B02, S11, 1
B02, Trade, 366943.000, 139, B02, S26, 1
B02, Trade, 366948.700, 92, S15, B02, 1
B02, Trade, 366953.000, 134, S01, B02, 1
B02, Trade, 366959.850, 140, B02, S19, 1
B02, Trade, 366961.250, 140, B02, S09, 1
B02, Trade, 366968.367, 140, B02, S27, 1
B02, Trade, 366971.983, 139, B02, S10, 1
B02, Trade, 366978.333, 65, S21, B02, 1
B02, Trade, 366985.183, 139, B02, S01, 1
B02, Trade, 366986.700, 135, B02, S09, 1
B02, Trade, 366992.383, 89, S10, B02, 1
B02, Trade, 366997.200, 131, S04, B02, 1
B02, Trade, 367000.883, 140, B02, S08, 1
B02, Trade, 367010.433, 140, B02, S18, 1
B02, Trade, 367012.017, 140, B02, S22, 1
B02, Trade, 367020.367, 139, S28, B02, 1
B02, Trade, 367023.667, 111, S15, B02, 1
B02, Trade, 367029.633, 69, S14, B02, 1
B02, Trade, 367036.000, 140, B02, S16, 1
B02, Trade, 367042.367, 140, B02, S16, 1
B02, Trade, 367043.267, 138, B02, S00, 1
B02, Trade, 367050.683, 139, B02, S17, 1
B02, Trade, 367050.800, 139, S24, B02, 1
B02, Trade, 367057.350, 106, S10, B02, 1
B02, Trade, 367064.900, 139, B02, S17, 1
B02, Trade, 367070.900, 121, S10, B02, 1
B02, Trade, 367079.283, 139, B02, S14, 1
B02, Trade, 367082.633, 104, S06, B02, 1
B02, Trade, 367089.233, 61, S12, B02, 1
B02, Trade, 367094.583, 140, B02, S26, 1
B02, Trade, 367099.517, 95, S10, B02, 1
B02, Trade, 367100.867, 116, S22, B02, 1
B02, Trade, 367108.300, 140, B02, S05, 1
B02, Trade, 367118.033, 140, B02, S01, 1
B02, Trade, 367126.667, 140, B02, S06, 1
B02, Trade, 367128.700, 126, S24, B02, 1
B02, Trade, 367136.417, 140, B02, S19, 1
B02, Trade, 367139.483, 116, S27, B02, 1
B02, Trade, 367142.633, 138, B02, S17, 1
B02, Trade, 367150.150, 139, B02, S03, 1
B02, Trade, 367154.917, 140, B02, S06, 1
B02, Trade, 367160.317, 129, S22, B02, 1
B02, Trade, 367163.450, 138, B02, S27, 1
B02, Trade, 367171.000, 135, S05, B02, 1
B02, Trade, 367177.083, 140, B02, S12, 1
B02, Trade, 367184.150, 139, B02, S06, 1
B02, Trade, 367189.967, 114, S28, B02, 1
B02, Trade, 367193.983, 140, B02, S22, 1
B02, Trade, 367197.767, 139, B02, S13, 1
B03, 100
B03, Trade, 366250.667, 93, B03, S12, 1
B03, Trade, 366265.950, 113, B03, S11, 1
B03, Trade, 366270.950, 117, B03, S12, 1
B03, Trade, 366276.217, 102, B03, S12, 1
B03, Trade, 366281.567, 100, B03, S14, 1
B03, Trade, 366294.950, 97, B03, S26, 1
B03, Trade, 366298.967, 120, B03, S22, 1
B03, Trade, 366308.100, 100, B03, S04, 1
B03, Trade, 366314.067, 96, S01, B03, 1
B03, Trade, 366324.867, 77, B03, S25, 1
B03, Trade, 366326.600, 91, B03, S14, 1
B03, Trade, 366342.750, 60, S05, B03, 1
B03, Trade, 366351.300, 123, B03, S12, 1
B03, Trade, 366363.417, 104, S05, B03, 1
B03, Trade, 366367.350, 129, B03, S00, 1
B03, Trade, 366373.867, 109, B03, S13, 1
B03, Trade, 366381.483, 75, B03, S02, 1
B03, Trade, 366394.867, 102, B03, S11, 1
B03, Trade, 366400.617, 110, S04, B03, 1
B03, Trade, 366412.867, 104, S01, B03, 1
B03, Trade, 366416.650, 87, B03, S25, 1
B03, Trade, 366435.700, 115, B03, S17, 1
B03, Trade, 366441.600, 99, B03, S16, 1
B03, Trade, 366450.817, 64, B03, S00, 1
B03, Trade, 366452.783, 119, B03, S17, 1
B03, Trade, 366467.300, 109, B03, S12, 1
B03, Trade, 366468.483, 94, B03, S09, 1
B03, Trade, 366480.733, 108, B03, S21, 1
B03, Trade, 366492.083, 101, B03, S26, 1
B03, Trade, 366511.817, 102, B03, S13, 1
B03, Trade, 366518.567, 92, S09, B03, 1
B03, Trade, 366521.117, 106, B03, S00, 1
B03, Trade, 366526.133, 110, B03, S19, 1
B03, Trade, 366535.683, 112, B03, S12, 1
B03, Trade, 366544.417, 115, B03, S26, 1
B03, Trade, 366547.733, 95, B03, S16, 1
B03, Trade, 366557.650, 125, B03, S17, 1
B03, Trade, 366562.117, 108, B03, S20, 1
B03, Trade, 366565.483, 135, B03, S06, 1
B03, Trade, 366572.900, 93, B03, S00, 1
B03, Trade, 366577.967, 75, B03, S26, 1
B03, Trade, 366582.800, 80, B03, S25, 1
B03, Trade, 366588.533, 108, B03, S20, 1
B03, Trade, 366601.783, 102, B03, S09, 1
B03, Trade, 366621.317, 100, B03, S26, 1
B03, Trade, 366630.483, 108, B03, S19, 1
B03, Trade, 366657.300, 107, B03, S29, 1
B03, Trade, 366662.367, 124, B03, S12, 1
B03, Trade, 366673.633, 114, B03, S09, 1
B03, Trade, 366686.950, 103, B03, S00, 1
B03, Trade, 366687.850, 98, B03, S22, 1
B03, Trade, 366701.950, 82, B03, S11, 1
B03, Trade, 366703.250, 64, S17, B03, 1
B03, Trade, 366720.250, 73, B03, S14, 1
B03, Trade, 366726.200, 117, B03, S19, 1
B03, Trade, 366746.000, 107, B03, S11, 1
B03, Trade, 366750.600, 75, B03, S13, 1
B03, Trade, 366756.567, 65, S28, B03, 1
B03, Trade, 366766.583, 90, B03, S16, 1
B03, Trade, 366768.350, 91, B03, S19, 1
B03, Trade, 366778.367, 89, B03, S18, 1
B03, Trade, 366786.600, 115, B03, S00, 1
B03, Trade, 366789.183, 100, B03, S19, 1
B03, Trade, 366810.583, 123, B03, S12, 1
B03, Trade, 366823.100, 125, B03, S22, 1
B03, Trade, 366833.083, 87, B03, S16, 1
B03, Trade, 366847.367, 74, B03, S02, 1
B03, Trade, 366866.450, 81, B03, S13, 1
B03, Trade, 366879.450, 116, B03, S06, 1
B03, Trade, 366889.083, 109, B03, S06, 1
B03, Trade, 366892.600, 89, B03, S00, 1
B03, Trade, 366911.483, 124, B03, S17, 1
B03, Trade, 366917.367, 118, B03, S26, 1
B03, Trade, 366924.767, 66, S11, B03, 1
B03, Trade, 366943.967, 92, B03, S22, 1
B03, Trade, 366959.433, 117, B03, S06, 1
B03, Trade, 366970.117, 113, B03, S09, 1
B03, Trade, 366977.967, 102, B03, S09, 1
B03, Trade, 366988.400, 85, B03, S18, 1
B03, Trade, 366994.850, 118, B03, S18, 1
B03, Trade, 367009.817, 93, B03, S16, 1
B03, Trade, 367018.183, 80, B03, S13, 1
B03, Trade, 367028.900, 67, S10, B03, 1
B03, Trade, 367036.500, 118, B03, S09, 1
B03, Trade, 367044.017, 116, B03, S26, 1
B03, Trade, 367057.833, 105, B03, S21, 1
B03, Trade, 367061.067, 96, B03, S15, 1
B03, Trade, 367070.917, 99, B03, S16, 1
B03, Trade, 367078.033, 108, B03, S17, 1
B03, Trade, 367087.200, 94, B03, S02, 1
B03, Trade, 367093.333, 132, B03, S13, 1
B03, Trade, 367096.883, 90, B03, S26, 1
B03, Trade, 367115.833, 119, B03, S15, 1
B03, Trade, 367122.267, 125, B03, S26, 1
B03, Trade, 367133.467, 104, S10, B03, 1
B03, Trade, 367139.733, 88, B03, S21, 1
B03, Trade, 367157.667, 99, B03, S25, 1
B03, Trade, 367172.050, 120, B03, S07, 1
B03, Trade, 367181.983, 89, B03, S25, 1
B03, Trade, 367192.183, 80, B03, S16, 1
B04, 100
B04, Trade, 366668.017, 140, B04, S21, 1
B04, Trade, 366673.933, 140, B04, S15, 1
B04, Trade, 366675.467, 140, B04, S14, 1
B04, Trade, 366683.183, 140, B04, S18, 1
B04, Trade, 366690.150, 101, B04, S06, 1
B04, Trade, 366695.783, 140, B04, S26, 1
B04, Trade, 366698.900, 140, B04, S18, 1
B04, Trade, 366705.167, 140, B04, S12, 1
B04, Trade, 366710.000, 121, B04, S18, 1
B04, Trade, 366715.150, 109, B04, S11, 1
B04, Trade, 366719.550, 133, B04, S11, 1
