B00, 100
B00, Trade, 258321.800, 105, B00, S23, 1
B00, Trade, 258334.900, 117, S10, B00, 1
B00, Trade, 258338.017, 139, B00, S15, 1
B00, Trade, 258342.500, 135, S11, B00, 1
B00, Trade, 258349.483, 131, B00, S01, 1
B00, Trade, 258354.083, 112, B00, S09, 1
B00, Trade, 258361.900, 131, B00, S02, 1
B00, Trade, 258366.933, 79, B00, S24, 1
B00, Trade, 258375.550, 130, S26, B00, 1
B00, Trade, 258389.267, 124, B00, S03, 1
B00, Trade, 258391.450, 111, S09, B00, 1
B00, Trade, 258408.750, 137, B00, S02, 1
B00, Trade, 258422.200, 119, S28, B00, 1
B00, Trade, 258430.617, 119, S05, B00, 1
B00, Trade, 258438.717, 115, B00, S29, 1
B00, Trade, 258438.850, 125, S07, B00, 1
B00, Trade, 258452.950, 103, S19, B00, 1
B00, Trade, 258456.317, 106, S21, B00, 1
B00, Trade, 258466.767, 131, B00, S06, 1
B00, Trade, 258470.683, 108, B00, S23, 1
B00, Trade, 258474.483, 131, B00, S01, 1
B00, Trade, 258493.917, 138, B00, S23, 1
B00, Trade, 258504.033, 120, B00, S03, 1
B00, Trade, 258516.233, 111, B00, S20, 1
B00, Trade, 258523.567, 139, B00, S00, 1
B00, Trade, 258531.417, 111, B00, S18, 1
B00, Trade, 258547.667, 120, B00, S08, 1
B00, Trade, 258556.183, 127, B00, S23, 1
B00, Trade, 258572.900, 139, S10, B00, 1
B00, Trade, 258583.267, 134, B00, S23, 1
B00, Trade, 258602.367, 140, B00, S22, 1
B00, Trade, 258613.617, 135, B00, S02, 1
B00, Trade, 258630.100, 117, B00, S05, 1
B00, Trade, 258635.617, 131, S11, B00, 1
B00, Trade, 258645.383, 103, S05, B00, 1
B00, Trade, 258652.717, 71, S27, B00, 1
B00, Trade, 258659.167, 136, B00, S06, 1
B00, Trade, 258661.567, 135, S04, B00, 1
B00, Trade, 258670.733, 121, B00, S24, 1
B00, Trade, 258673.617, 126, S10, B00, 1
B00, Trade, 258706.800, 128, S13, B00, 1
B00, Trade, 258718.683, 130, S04, B00, 1
B00, Trade, 258742.683, 119, B00, S01, 1
B00, Trade, 258756.600, 136, S10, B00, 1
B00, Trade, 258757.267, 135, B00, S26, 1
B00, Trade, 258766.167, 131, B00, S00, 1
B00, Trade, 258773.300, 109, B00, S08, 1
B00, Trade, 258777.650, 136, B00, S20, 1
B00, Trade, 258780.617, 128, B00, S00, 1
B00, Trade, 258789.517, 118, S27, B00, 1
B00, Trade, 258800.533, 126, B00, S26, 1
B00, Trade, 258813.633, 95, B00, S20, 1
B00, Trade, 258823.117, 127, B00, S01, 1
B00, Trade, 258831.833, 105, S07, B00, 1
B00, Trade, 258848.450, 106, B00, S24, 1
B00, Trade, 258853.600, 72, B00, S20, 1
B00, Trade, 258860.283, 131, S11, B00, 1
B00, Trade, 258866.400, 120, B00, S09, 1
