B00, 0
B01, 0
B02, 1
B02, Trade, 155055.567, 65, B02, S01, 1
B03, 0
B04, 7
B04, Trade, 121602.317, 67, B04, S00, 1
B04, Trade, 171577.933, 71, B04, S03, 1
B04, Trade, 187340.700, 70, B04, S00, 1
B04, Trade, 206079.483, 69, B04, S01, 1
B04, Trade, 277026.200, 71, B04, S03, 1
B04, Trade, 279461.917, 71, B04, S03, 1
B04, Trade, 280346.733, 71, B04, S03, 1
B05, 6
B05, Trade, 76070.717, 73, B05, S02, 1
B05, Trade, 121080.417, 72, B05, S03, 1
B05, Trade, 151315.483, 72, B05, S00, 1
B05, Trade, 153292.483, 73, B05, S01, 1
B05, Trade, 188243.633, 73, B05, S05, 1
B05, Trade, 279577.217, 73, B05, S03, 1
B06, 29
B06, Trade, 43915.850, 75, B06, S02, 1
B06, Trade, 44348.600, 72, B06, S00, 1
B06, Trade, 72642.700, 76, B06, S02, 1
B06, Trade, 73696.983, 69, B06, S00, 1
B06, Trade, 76147.883, 69, S00, B06, 1
B06, Trade, 98811.950, 76, B06, S03, 1
B06, Trade, 110027.850, 71, B06, S03, 1
B06, Trade, 110937.000, 75, B06, S03, 1
B06, Trade, 111608.850, 68, B06, S00, 1
B06, Trade, 112562.150, 71, S02, B06, 1
B06, Trade, 114583.550, 75, B06, S03, 1
B06, Trade, 118787.283, 76, B06, S06, 1
B06, Trade, 150585.033, 74, B06, S03, 1
B06, Trade, 187894.317, 70, B06, S01, 1
B06, Trade, 190048.217, 75, S05, B06, 1
B06, Trade, 342884.700, 76, B06, S03, 1
B06, Trade, 400812.300, 76, B06, S02, 1
B06, Trade, 418440.567, 76, B06, S05, 1
B06, Trade, 418527.683, 76, B06, S01, 1
B06, Trade, 418620.267, 76, B06, S03, 1
B06, Trade, 418780.333, 76, B06, S01, 1
B06, Trade, 419048.867, 76, B06, S05, 1
B06, Trade, 419840.883, 76, B06, S03, 1
B06, Trade, 420192.967, 76, B06, S03, 1
B06, Trade, 420679.067, 76, B06, S03, 1
B06, Trade, 421994.833, 76, B06, S03, 1
B06, Trade, 422681.817, 76, B06, S03, 1
B06, Trade, 423060.367, 76, B06, S03, 1
B06, Trade, 423280.317, 76, B06, S00, 1
B07, 100
B07, Trade, 213853.183, 79, B07, S05, 1
B07, Trade, 213907.483, 79, B07, S05, 1
B07, Trade, 214142.117, 79, B07, S05, 1
B07, Trade, 214194.933, 79, B07, S03, 1
B07, Trade, 214233.783, 79, B07, S04, 1
B07, Trade, 214271.217, 79, B07, S04, 1
B07, Trade, 214304.350, 79, B07, S04, 1
B07, Trade, 214635.217, 79, B07, S05, 1
B07, Trade, 214672.200, 79, B07, S06, 1
B07, Trade, 214681.200, 79, B07, S03, 1
B07, Trade, 214698.650, 79, B07, S02, 1
B07, Trade, 214912.617, 79, B07, S05, 1
B07, Trade, 215022.017, 79, B07, S03, 1
B07, Trade, 215715.767, 79, B07, S05, 1
B07, Trade, 215795.667, 79, B07, S03, 1
B07, Trade, 215979.117, 79, B07, S05, 1
B07, Trade, 223247.867, 79, B07, S03, 1
B07, Trade, 223406.467, 79, B07, S01, 1
B07, Trade, 226099.383, 79, B07, S04, 1
B07, Trade, 226788.333, 79, B07, S05, 1
B07, Trade, 226980.267, 79, B07, S01, 1
B07, Trade, 227992.733, 79, B07, S05, 1
B07, Trade, 228254.733, 79, B07, S01, 1
B07, Trade, 228364.650, 79, B07, S01, 1
B07, Trade, 228605.300, 75, B07, S01, 1
B07, Trade, 229594.283, 79, B07, S01, 1
B07, Trade, 251821.233, 72, B07, S03, 1
B07, Trade, 266683.400, 78, B07, S05, 1
B07, Trade, 269792.267, 79, B07, S03, 1
B07, Trade, 272543.967, 79, B07, S03, 1
B07, Trade, 272813.200, 79, B07, S05, 1
B07, Trade, 288808.750, 78, B07, S01, 1
B07, Trade, 289016.333, 76, B07, S03, 1
B07, Trade, 289921.983, 79, B07, S01, 1
B07, Trade, 290192.267, 79, B07, S05, 1
B07, Trade, 290523.000, 79, B07, S01, 1
B07, Trade, 290541.083, 79, B07, S03, 1
B07, Trade, 292252.783, 79, B07, S05, 1
B07, Trade, 292941.217, 78, B07, S06, 1
B07, Trade, 302336.917, 79, B07, S05, 1
B07, Trade, 325548.233, 79, B07, S03, 1
B07, Trade, 328490.583, 79, B07, S05, 1
B07, Trade, 332703.317, 79, B07, S04, 1
B07, Trade, 333584.467, 79, B07, S01, 1
B07, Trade, 334150.100, 79, B07, S03, 1
B07, Trade, 334381.900, 78, B07, S04, 1
B07, Trade, 335099.250, 78, B07, S04, 1
B07, Trade, 335240.783, 79, B07, S05, 1
B07, Trade, 335570.017, 79, B07, S04, 1
B07, Trade, 335837.333, 78, B07, S04, 1
B07, Trade, 336155.667, 78, B07, S04, 1
B07, Trade, 336217.750, 79, B07, S03, 1
B07, Trade, 336292.383, 79, B07, S01, 1
B07, Trade, 336596.167, 79, B07, S01, 1
B07, Trade, 336878.000, 77, B07, S01, 1
B07, Trade, 337182.917, 79, B07, S01, 1
B07, Trade, 337245.217, 79, B07, S04, 1
B07, Trade, 337644.650, 79, B07, S01, 1
B07, Trade, 337954.250, 79, B07, S03, 1
B07, Trade, 338097.200, 78, B07, S04, 1
B07, Trade, 338761.483, 77, B07, S03, 1
B07, Trade, 347031.167, 79, B07, S00, 1
B07, Trade, 347453.383, 79, B07, S05, 1
B07, Trade, 347742.150, 79, B07, S03, 1
B07, Trade, 347774.450, 79, B07, S03, 1
B07, Trade, 347784.233, 79, B07, S06, 1
B07, Trade, 348028.283, 79, B07, S06, 1
B07, Trade, 348257.433, 79, B07, S03, 1
B07, Trade, 348376.333, 79, B07, S06, 1
B07, Trade, 349163.533, 79, B07, S06, 1
B07, Trade, 349449.183, 79, B07, S07, 1
B07, Trade, 349612.833, 79, B07, S06, 1
B07, Trade, 349751.017, 79, B07, S06, 1
B07, Trade, 350085.233, 79, B07, S04, 1
B07, Trade, 350199.200, 78, B07, S05, 1
B07, Trade, 350323.467, 79, B07, S03, 1
B07, Trade, 350799.900, 79, B07, S04, 1
B07, Trade, 350933.800, 78, B07, S05, 1
B07, Trade, 351773.650, 79, B07, S03, 1
B07, Trade, 397707.667, 79, B07, S05, 1
B07, Trade, 399100.333, 78, B07, S05, 1
B07, Trade, 418598.450, 78, B07, S00, 1
B07, Trade, 418993.800, 79, B07, S03, 1
B07, Trade, 419321.700, 79, B07, S01, 1
B07, Trade, 419929.400, 79, B07, S07, 1
B07, Trade, 420016.633, 78, B07, S00, 1
B07, Trade, 420207.417, 79, B07, S01, 1
B07, Trade, 420273.383, 76, B07, S01, 1
B07, Trade, 420641.950, 79, B07, S01, 1
B07, Trade, 420762.083, 79, B07, S05, 1
B07, Trade, 421035.000, 77, B07, S01, 1
B07, Trade, 421166.767, 79, B07, S03, 1
B07, Trade, 421289.833, 78, B07, S06, 1
B07, Trade, 421399.300, 79, B07, S03, 1
B07, Trade, 421750.783, 79, B07, S05, 1
B07, Trade, 422594.250, 79, B07, S05, 1
B07, Trade, 423514.433, 79, B07, S03, 1
B07, Trade, 423606.567, 77, B07, S04, 1
B07, Trade, 424199.150, 78, B07, S01, 1
B07, Trade, 424577.367, 78, B07, S01, 1
B08, 100
B08, Trade, 292858.450, 82, B08, S05, 1
B08, Trade, 292919.400, 82, B08, S06, 1
B08, Trade, 292940.850, 82, B08, S05, 1
B08, Trade, 293077.650, 80, B08, S01, 1
B08, Trade, 293200.050, 78, B08, S01, 1
B08, Trade, 293350.850, 82, B08, S03, 1
B08, Trade, 293460.150, 82, B08, S01, 1
B08, Trade, 293538.917, 82, B08, S03, 1
B08, Trade, 293709.233, 82, B08, S04, 1
B08, Trade, 293752.600, 82, B08, S03, 1
B08, Trade, 294182.967, 82, B08, S05, 1
B08, Trade, 294365.383, 82, B08, S01, 1
B08, Trade, 294663.350, 82, B08, S05, 1
B08, Trade, 295075.883, 82, B08, S05, 1
B08, Trade, 295084.033, 82, B08, S01, 1
B08, Trade, 302489.700, 82, B08, S03, 1
B08, Trade, 302662.433, 82, B08, S07, 1
B08, Trade, 302819.067, 82, B08, S05, 1
B08, Trade, 303096.367, 82, B08, S03, 1
B08, Trade, 303401.800, 82, B08, S03, 1
B08, Trade, 303715.183, 82, B08, S02, 1
B08, Trade, 304109.050, 82, B08, S04, 1
B08, Trade, 304530.883, 82, B08, S02, 1
B08, Trade, 304568.483, 82, B08, S03, 1
B08, Trade, 304627.467, 82, B08, S03, 1
B08, Trade, 304642.350, 82, B08, S06, 1
B08, Trade, 305746.017, 82, B08, S05, 1
B08, Trade, 306443.200, 82, B08, S02, 1
B08, Trade, 307419.350, 82, B08, S03, 1
B08, Trade, 307748.183, 82, B08, S03, 1
B08, Trade, 308032.683, 82, B08, S04, 1
B08, Trade, 308480.817, 82, B08, S03, 1
B08, Trade, 308707.383, 82, B08, S03, 1
B08, Trade, 309434.300, 82, B08, S03, 1
B08, Trade, 309938.417, 82, B08, S03, 1
B08, Trade, 310980.450, 82, B08, S03, 1
B08, Trade, 319463.817, 82, S05, B08, 1
B08, Trade, 320450.033, 82, B08, S05, 1
B08, Trade, 324104.217, 82, B08, S06, 1
B08, Trade, 324203.550, 82, B08, S03, 1
B08, Trade, 324616.667, 82, B08, S03, 1
B08, Trade, 324798.867, 82, B08, S03, 1
B08, Trade, 324834.267, 82, B08, S04, 1
B08, Trade, 325742.650, 82, B08, S05, 1
