B00, 100
B00, Trade, 257803.683, 103, B00, S09, 1
B00, Trade, 257809.567, 101, B00, S14, 1
B00, Trade, 257822.033, 116, B00, S09, 1
B00, Trade, 257834.467, 117, B00, S05, 1
B00, Trade, 257849.117, 120, B00, S18, 1
B00, Trade, 257857.583, 98, B00, S17, 1
B00, Trade, 257866.483, 60, S28, B00, 1
B00, Trade, 257877.600, 118, B00, S15, 1
B00, Trade, 257887.700, 60, S00, B00, 1
B00, Trade, 257909.750, 117, B00, S05, 1
B00, Trade, 257915.567, 104, B00, S21, 1
B00, Trade, 257948.350, 94, B00, S21, 1
B00, Trade, 257962.750, 113, B00, S06, 1
B00, Trade, 257971.433, 78, B00, S08, 1
B00, Trade, 257988.717, 80, B00, S11, 1
B00, Trade, 258007.667, 99, B00, S09, 1
B00, Trade, 258023.617, 95, B00, S07, 1
B00, Trade, 258035.533, 82, B00, S22, 1
B00, Trade, 258039.717, 121, B00, S15, 1
B00, Trade, 258049.417, 118, B00, S16, 1
B00, Trade, 258065.083, 117, B00, S14, 1
B00, Trade, 258078.817, 61, S10, B00, 1
B00, Trade, 258096.750, 110, B00, S17, 1
B00, Trade, 258112.033, 117, B00, S27, 1
B00, Trade, 258140.567, 105, B00, S16, 1
B00, Trade, 258161.933, 66, S02, B00, 1
B00, Trade, 258181.267, 104, B00, S18, 1
B00, Trade, 258216.833, 116, B00, S21, 1
B00, Trade, 258226.583, 107, B00, S19, 1
B00, Trade, 258243.083, 65, B00, S21, 1
B00, Trade, 258252.667, 89, B00, S07, 1
B00, Trade, 258279.150, 122, B00, S24, 1
B00, Trade, 258287.100, 118, B00, S09, 1
B00, Trade, 258307.350, 113, B00, S06, 1
B00, Trade, 258313.333, 76, S06, B00, 1
B00, Trade, 258326.217, 73, B00, S21, 1
B00, Trade, 258338.100, 120, B00, S14, 1
B00, Trade, 258348.900, 127, B00, S03, 1
B00, Trade, 258363.617, 126, B00, S22, 1
B00, Trade, 258368.050, 61, B00, S16, 1
B00, Trade, 258381.933, 118, B00, S10, 1
B00, Trade, 258390.583, 65, B00, S22, 1
B00, Trade, 258400.200, 86, B00, S09, 1
B00, Trade, 258426.833, 80, B00, S03, 1
B00, Trade, 258435.883, 119, B00, S27, 1
B00, Trade, 258453.083, 94, B00, S17, 1
B00, Trade, 258467.433, 104, B00, S08, 1
B00, Trade, 258483.017, 117, B00, S00, 1
B00, Trade, 258504.900, 117, B00, S09, 1
B00, Trade, 258507.733, 63, S22, B00, 1
B00, Trade, 258530.383, 100, B00, S06, 1
B00, Trade, 258585.267, 120, B00, S16, 1
B00, Trade, 258590.317, 124, B00, S21, 1
B00, Trade, 258612.750, 118, B00, S00, 1
B00, Trade, 258620.250, 67, B00, S10, 1
B00, Trade, 258639.200, 118, B00, S24, 1
B00, Trade, 258641.600, 117, B00, S11, 1
B00, Trade, 258645.250, 104, B00, S07, 1
B00, Trade, 258665.200, 117, B00, S15, 1
B00, Trade, 258684.233, 117, B00, S07, 1
B00, Trade, 258705.917, 84, B00, S09, 1
B00, Trade, 258714.300, 62, S21, B00, 1
B00, Trade, 258723.317, 103, B00, S11, 1
B00, Trade, 258738.983, 92, B00, S11, 1
B00, Trade, 258746.067, 123, B00, S09, 1
B00, Trade, 258769.267, 117, B00, S19, 1
B00, Trade, 258774.167, 124, B00, S17, 1
B00, Trade, 258789.000, 94, B00, S14, 1
B00, Trade, 258793.167, 62, S22, B00, 1
