B00, 100
B00, Trade, 258562.033, 126, B00, S26, 1
B00, Trade, 258569.667, 106, B00, S26, 1
B00, Trade, 258575.283, 115, B00, S12, 1
B00, Trade, 258582.317, 112, B00, S26, 1
B00, Trade, 258587.800, 127, B00, S19, 1
B00, Trade, 258597.233, 113, B00, S12, 1
B00, Trade, 258603.283, 114, B00, S05, 1
B00, Trade, 258607.317, 98, B00, S11, 1
B00, Trade, 258617.700, 109, B00, S01, 1
B00, Trade, 258619.967, 96, B00, S28, 1
B00, Trade, 258625.933, 114, B00, S26, 1
B00, Trade, 258630.683, 89, B00, S01, 1
B00, Trade, 258635.700, 109, B00, S21, 1
B00, Trade, 258649.100, 107, B00, S24, 1
B00, Trade, 258654.750, 99, B00, S10, 1
B00, Trade, 258666.733, 126, B00, S05, 1
B00, Trade, 258671.367, 113, B00, S08, 1
B00, Trade, 258677.717, 126, B00, S10, 1
B00, Trade, 258683.783, 126, B00, S08, 1
B00, Trade, 258685.733, 117, B00, S01, 1
B00, Trade, 258690.617, 107, B00, S12, 1
B00, Trade, 258698.517, 126, B00, S10, 1
B00, Trade, 258704.583, 107, B00, S11, 1
B00, Trade, 258706.667, 127, B00, S06, 1
B00, Trade, 258710.217, 122, B00, S28, 1
B00, Trade, 258717.033, 116, B00, S07, 1
B00, Trade, 258724.667, 113, B00, S29, 1
B00, Trade, 258732.517, 121, B00, S29, 1
B00, Trade, 258737.250, 120, B00, S01, 1
B00, Trade, 258747.867, 108, B00, S11, 1
B00, Trade, 258755.267, 108, B00, S13, 1
B00, Trade, 258763.017, 107, B00, S12, 1
B00, Trade, 258770.633, 102, B00, S14, 1
B00, Trade, 258780.467, 95, B00, S14, 1
B00, Trade, 258786.167, 106, B00, S22, 1
B00, Trade, 258789.033, 125, B00, S12, 1
B00, Trade, 258793.933, 109, B00, S06, 1
B00, Trade, 258799.050, 99, B00, S01, 1
B00, Trade, 258802.350, 119, B00, S22, 1
B00, Trade, 258805.100, 94, B00, S16, 1
B00, Trade, 258817.133, 116, B00, S24, 1
B00, Trade, 258822.333, 106, B00, S29, 1
B00, Trade, 258828.617, 94, B00, S22, 1
B00, Trade, 258834.067, 106, B00, S19, 1
B00, Trade, 258836.333, 126, B00, S03, 1
B00, Trade, 258849.933, 94, B00, S00, 1
B00, Trade, 258859.733, 126, B00, S08, 1
B00, Trade, 258863.833, 81, B00, S19, 1
B00, Trade, 258867.467, 102, B00, S08, 1
B00, Trade, 258871.550, 124, B00, S05, 1
B00, Trade, 258876.017, 127, B00, S17, 1
B00, Trade, 258882.800, 112, B00, S17, 1
B00, Trade, 258892.350, 110, B00, S17, 1
B00, Trade, 258897.017, 126, B00, S06, 1
B00, Trade, 258906.417, 97, B00, S14, 1
B00, Trade, 258909.933, 126, B00, S19, 1
B00, Trade, 258912.967, 116, B00, S21, 1
B00, Trade, 258923.750, 119, B00, S26, 1
B00, Trade, 258926.150, 124, B00, S19, 1
B00, Trade, 258934.667, 90, B00, S05, 1
B00, Trade, 258936.783, 126, B00, S26, 1
B00, Trade, 258942.317, 116, B00, S04, 1
B00, Trade, 258946.517, 106, B00, S26, 1
B00, Trade, 258956.217, 124, B00, S22, 1
B00, Trade, 258960.200, 127, B00, S04, 1
B00, Trade, 258964.167, 118, B00, S10, 1
B00, Trade, 258970.467, 121, B00, S01, 1
B00, Trade, 258972.100, 118, B00, S26, 1
B00, Trade, 258980.067, 100, B00, S28, 1
B00, Trade, 258984.167, 111, B00, S17, 1
B00, Trade, 258989.800, 113, B00, S11, 1
B00, Trade, 258992.300, 105, B00, S17, 1
B00, Trade, 259011.367, 108, B00, S11, 1
B00, Trade, 259016.117, 126, B00, S02, 1
B00, Trade, 259026.917, 112, B00, S00, 1
B00, Trade, 259037.133, 127, B00, S27, 1
B00, Trade, 259041.883, 124, B00, S20, 1
B00, Trade, 259048.500, 111, B00, S12, 1
B00, Trade, 259054.200, 117, B00, S12, 1
B00, Trade, 259064.100, 119, B00, S16, 1
B00, Trade, 259075.200, 106, B00, S05, 1
B00, Trade, 259084.133, 109, B00, S25, 1
B00, Trade, 259090.450, 92, B00, S29, 1
B00, Trade, 259095.450, 109, B00, S10, 1
B00, Trade, 259102.800, 126, B00, S13, 1
B00, Trade, 259105.200, 106, B00, S08, 1
B00, Trade, 259112.267, 108, B00, S17, 1
B00, Trade, 259114.983, 122, B00, S07, 1
B00, Trade, 259127.067, 112, B00, S23, 1
B00, Trade, 259133.150, 124, B00, S29, 1
B00, Trade, 259138.633, 98, B00, S01, 1
B00, Trade, 259146.483, 127, B00, S16, 1
B00, Trade, 259149.733, 105, B00, S00, 1
B00, Trade, 259154.617, 120, B00, S10, 1
B00, Trade, 259165.200, 103, B00, S12, 1
B00, Trade, 259172.467, 108, B00, S05, 1
B00, Trade, 259175.867, 92, B00, S11, 1
B00, Trade, 259181.050, 115, B00, S20, 1
B00, Trade, 259187.950, 106, B00, S05, 1
B00, Trade, 259190.967, 89, B00, S11, 1
B01, 100
B01, Trade, 258553.600, 115, B01, S28, 1
B01, Trade, 258567.850, 106, B01, S12, 1
B01, Trade, 258570.367, 117, B01, S27, 1
