B00, 100
B00, Trade, 258663.650, 138, S11, B00, 1
B00, Trade, 258666.633, 117, S11, B00, 1
B00, Trade, 258672.750, 129, B00, S26, 1
B00, Trade, 258674.750, 134, S16, B00, 1
B00, Trade, 258679.083, 135, B00, S08, 1
B00, Trade, 258686.533, 107, S17, B00, 1
B00, Trade, 258696.317, 139, B00, S06, 1
B00, Trade, 258702.083, 139, B00, S28, 1
B00, Trade, 258703.767, 134, B00, S17, 1
B00, Trade, 258705.867, 99, B00, S05, 1
B00, Trade, 258714.517, 135, S07, B00, 1
B00, Trade, 258720.283, 128, B00, S15, 1
B00, Trade, 258723.467, 130, S13, B00, 1
B00, Trade, 258731.133, 121, B00, S05, 1
B00, Trade, 258733.617, 124, S26, B00, 1
B00, Trade, 258740.633, 139, S14, B00, 1
B00, Trade, 258746.850, 120, B00, S22, 1
B00, Trade, 258752.633, 126, B00, S22, 1
B00, Trade, 258757.200, 136, B00, S21, 1
B00, Trade, 258760.783, 120, S19, B00, 1
B00, Trade, 258764.050, 137, S14, B00, 1
B00, Trade, 258772.233, 138, B00, S20, 1
B00, Trade, 258775.350, 123, B00, S25, 1
B00, Trade, 258779.350, 126, S21, B00, 1
B00, Trade, 258787.350, 82, S28, B00, 1
B00, Trade, 258794.583, 116, B00, S25, 1
B00, Trade, 258797.983, 122, B00, S21, 1
B00, Trade, 258803.617, 138, S14, B00, 1
B00, Trade, 258807.500, 107, B00, S04, 1
B00, Trade, 258812.683, 133, B00, S01, 1
B00, Trade, 258819.267, 130, B00, S11, 1
B00, Trade, 258823.550, 112, S10, B00, 1
B00, Trade, 258828.817, 117, S21, B00, 1
B00, Trade, 258832.367, 138, B00, S28, 1
B00, Trade, 258836.783, 130, B00, S07, 1
B00, Trade, 258843.150, 116, B00, S02, 1
B00, Trade, 258845.250, 116, S14, B00, 1
B00, Trade, 258851.333, 121, B00, S08, 1
B00, Trade, 258864.650, 136, B00, S15, 1
B00, Trade, 258870.417, 131, S14, B00, 1
B00, Trade, 258874.600, 136, B00, S10, 1
B00, Trade, 258875.883, 137, B00, S20, 1
B00, Trade, 258882.167, 108, B00, S04, 1
B00, Trade, 258889.200, 115, S13, B00, 1
B00, Trade, 258889.933, 133, B00, S00, 1
B00, Trade, 258896.933, 118, B00, S11, 1
B00, Trade, 258904.083, 99, B00, S27, 1
B00, Trade, 258905.067, 127, B00, S20, 1
B00, Trade, 258912.017, 121, S16, B00, 1
B00, Trade, 258914.967, 139, S09, B00, 1
B00, Trade, 258924.383, 131, B00, S28, 1
B00, Trade, 258933.083, 132, B00, S02, 1
B00, Trade, 258940.750, 110, S12, B00, 1
B00, Trade, 258950.383, 133, B00, S12, 1
B00, Trade, 258952.683, 138, B00, S23, 1
B00, Trade, 258959.033, 129, B00, S25, 1
B00, Trade, 258963.250, 117, B00, S17, 1
B00, Trade, 258970.450, 132, S18, B00, 1
B00, Trade, 258972.583, 109, B00, S17, 1
B00, Trade, 258978.967, 127, B00, S06, 1
B00, Trade, 258981.133, 128, S16, B00, 1
