B00, 100
B00, Trade, 258648.833, 136, B00, S19, 1
B00, Trade, 258651.583, 140, B00, S02, 1
B00, Trade, 258653.400, 135, B00, S08, 1
B00, Trade, 258661.433, 104, B00, S11, 1
B00, Trade, 258667.950, 132, B00, S24, 1
B00, Trade, 258669.033, 109, B00, S15, 1
B00, Trade, 258675.933, 121, B00, S26, 1
B00, Trade, 258679.767, 130, B00, S19, 1
B00, Trade, 258687.350, 130, B00, S25, 1
B00, Trade, 258688.850, 118, B00, S25, 1
B00, Trade, 258697.833, 125, B00, S25, 1
B00, Trade, 258705.650, 114, B00, S04, 1
B00, Trade, 258711.967, 140, B00, S13, 1
B00, Trade, 258719.817, 117, B00, S18, 1
B00, Trade, 258725.333, 140, B00, S11, 1
B00, Trade, 258729.500, 113, B00, S07, 1
B00, Trade, 258738.417, 134, B00, S19, 1
B00, Trade, 258740.150, 129, B00, S22, 1
B00, Trade, 258744.317, 126, B00, S09, 1
B00, Trade, 258752.917, 137, S18, B00, 1
B00, Trade, 258754.483, 112, B00, S11, 1
B00, Trade, 258760.500, 137, B00, S21, 1
B00, Trade, 258768.150, 140, B00, S25, 1
B00, Trade, 258773.083, 116, B00, S07, 1
B00, Trade, 258777.517, 135, B00, S01, 1
B00, Trade, 258780.783, 121, B00, S15, 1
B00, Trade, 258787.100, 126, B00, S19, 1
B00, Trade, 258790.767, 122, B00, S12, 1
B00, Trade, 258800.567, 124, B00, S01, 1
B00, Trade, 258804.833, 120, B00, S26, 1
B00, Trade, 258810.133, 126, B00, S03, 1
B00, Trade, 258817.750, 139, S10, B00, 1
B00, Trade, 258821.167, 135, B00, S27, 1
B00, Trade, 258827.433, 128, B00, S12, 1
B00, Trade, 258832.667, 140, B00, S24, 1
B00, Trade, 258836.467, 126, B00, S28, 1
B00, Trade, 258842.167, 116, B00, S22, 1
B00, Trade, 258848.967, 137, B00, S22, 1
B00, Trade, 258851.267, 125, B00, S22, 1
B00, Trade, 258855.850, 128, B00, S25, 1
B00, Trade, 258865.083, 140, B00, S29, 1
B00, Trade, 258876.083, 130, B00, S24, 1
B00, Trade, 258878.683, 113, B00, S26, 1
B00, Trade, 258887.100, 138, B00, S25, 1
B00, Trade, 258893.233, 125, B00, S15, 1
B00, Trade, 258899.083, 106, B00, S09, 1
B00, Trade, 258901.000, 103, B00, S23, 1
B00, Trade, 258906.717, 103, B00, S22, 1
B00, Trade, 258913.850, 133, B00, S14, 1
B00, Trade, 258918.983, 140, B00, S09, 1
B00, Trade, 258921.550, 140, B00, S26, 1
B00, Trade, 258927.117, 125, B00, S15, 1
B00, Trade, 258940.900, 129, B00, S24, 1
B00, Trade, 258945.050, 140, B00, S03, 1
B00, Trade, 258947.400, 135, B00, S15, 1
B00, Trade, 258951.567, 133, B00, S05, 1
