B00, 0
B01, 0
B02, 1
B02, Trade, 37136.567, 65, B02, S02, 1
B03, 0
B04, 1
B04, Trade, 44246.017, 69, B04, S01, 1
B05, 21
B05, Trade, 37306.800, 73, B05, S03, 1
B05, Trade, 37958.183, 73, B05, S02, 1
B05, Trade, 38554.000, 73, B05, S02, 1
B05, Trade, 38701.483, 73, B05, S02, 1
B05, Trade, 38894.317, 73, B05, S01, 1
B05, Trade, 39934.100, 73, B05, S02, 1
B05, Trade, 40007.283, 73, B05, S05, 1
B05, Trade, 41239.367, 73, B05, S03, 1
B05, Trade, 41473.067, 73, B05, S03, 1
B05, Trade, 41489.317, 73, B05, S03, 1
B05, Trade, 41561.750, 73, B05, S02, 1
B05, Trade, 41929.600, 73, B05, S03, 1
B05, Trade, 42951.500, 72, B05, S02, 1
B05, Trade, 43135.217, 73, B05, S05, 1
B05, Trade, 53616.317, 73, B05, S02, 1
B05, Trade, 144021.467, 72, B05, S01, 1
B05, Trade, 148993.067, 73, B05, S01, 1
B05, Trade, 153874.433, 70, B05, S03, 1
B05, Trade, 157934.583, 73, B05, S01, 1
B05, Trade, 167474.217, 72, B05, S03, 1
B05, Trade, 171069.117, 73, B05, S03, 1
B06, 23
B06, Trade, 8824.833, 73, B06, S01, 1
B06, Trade, 9522.133, 76, B06, S01, 1
B06, Trade, 10463.350, 72, B06, S03, 1
B06, Trade, 12068.100, 75, B06, S05, 1
B06, Trade, 13916.417, 76, B06, S03, 1
B06, Trade, 17218.417, 76, B06, S00, 1
B06, Trade, 19819.400, 74, B06, S01, 1
B06, Trade, 36833.100, 76, B06, S02, 1
B06, Trade, 39227.450, 73, S05, B06, 1
B06, Trade, 44245.767, 74, B06, S02, 1
B06, Trade, 48575.333, 76, S06, B06, 1
B06, Trade, 49906.800, 76, B06, S05, 1
B06, Trade, 50374.500, 75, B06, S02, 1
B06, Trade, 59526.400, 76, B06, S05, 1
B06, Trade, 60762.433, 76, B06, S00, 1
B06, Trade, 61168.083, 74, S01, B06, 1
B06, Trade, 85720.383, 70, B06, S03, 1
B06, Trade, 135659.100, 72, B06, S04, 1
B06, Trade, 141920.233, 70, B06, S03, 1
B06, Trade, 152846.150, 74, B06, S03, 1
B06, Trade, 155481.367, 73, B06, S03, 1
B06, Trade, 156777.900, 69, S03, B06, 1
B06, Trade, 158093.567, 75, B06, S03, 1
B07, 100
B07, Trade, 143491.467, 79, B07, S03, 1
B07, Trade, 143722.950, 79, B07, S03, 1
B07, Trade, 143767.417, 79, B07, S03, 1
B07, Trade, 143817.267, 79, B07, S03, 1
B07, Trade, 143931.417, 78, B07, S02, 1
B07, Trade, 143937.233, 79, B07, S01, 1
B07, Trade, 144283.000, 78, B07, S01, 1
B07, Trade, 144480.050, 79, B07, S03, 1
B07, Trade, 144517.533, 77, B07, S04, 1
B07, Trade, 145098.083, 79, B07, S07, 1
B07, Trade, 145249.683, 79, B07, S03, 1
B07, Trade, 145304.617, 79, B07, S01, 1
B07, Trade, 145309.567, 79, B07, S04, 1
B07, Trade, 145433.283, 79, B07, S03, 1
B07, Trade, 145776.350, 78, B07, S01, 1
B07, Trade, 145988.133, 79, B07, S01, 1
B07, Trade, 146038.900, 79, B07, S01, 1
B07, Trade, 146208.667, 79, B07, S01, 1
B07, Trade, 146588.817, 79, B07, S03, 1
B07, Trade, 146656.067, 77, B07, S02, 1
B07, Trade, 146686.550, 79, B07, S01, 1
B07, Trade, 146836.450, 79, B07, S04, 1
B07, Trade, 147310.750, 79, B07, S01, 1
B07, Trade, 147484.483, 79, B07, S04, 1
B07, Trade, 147545.783, 79, B07, S03, 1
B07, Trade, 147620.450, 79, B07, S02, 1
B07, Trade, 147707.367, 79, B07, S04, 1
B07, Trade, 148282.683, 79, B07, S01, 1
B07, Trade, 148518.883, 79, B07, S03, 1
B07, Trade, 148558.283, 79, B07, S01, 1
B07, Trade, 148592.150, 79, B07, S03, 1
B07, Trade, 148688.267, 79, B07, S03, 1
B07, Trade, 148951.267, 79, B07, S03, 1
B07, Trade, 148998.583, 78, B07, S04, 1
