B00, 0
B01, 0
B02, 0
B03, 0
B04, 3
B04, Trade, 30456.317, 70, B04, S02, 1
B04, Trade, 151811.850, 71, B04, S00, 1
B04, Trade, 158802.667, 71, B04, S03, 1
B05, 12
B05, Trade, 3.667, 73, S00, B05, 1
B05, Trade, 61799.517, 72, B05, S03, 1
B05, Trade, 64622.783, 73, B05, S03, 1
B05, Trade, 86021.883, 73, B05, S02, 1
B05, Trade, 104162.800, 73, B05, S02, 1
B05, Trade, 106410.583, 73, B05, S04, 1
B05, Trade, 116143.350, 73, B05, S00, 1
B05, Trade, 235803.600, 73, B05, S04, 1
B05, Trade, 236102.267, 73, B05, S02, 1
B05, Trade, 242222.350, 72, B05, S02, 1
B05, Trade, 273864.817, 73, B05, S02, 1
B05, Trade, 389147.950, 73, B05, S02, 1
B06, 79
B06, Trade, 52192.867, 76, B06, S05, 1
B06, Trade, 54266.533, 76, B06, S00, 1
B06, Trade, 56368.200, 76, B06, S00, 1
B06, Trade, 74262.767, 76, B06, S03, 1
B06, Trade, 75330.850, 76, B06, S02, 1
B06, Trade, 75615.833, 76, B06, S00, 1
B06, Trade, 78722.017, 76, B06, S00, 1
B06, Trade, 79128.167, 76, B06, S05, 1
B06, Trade, 93044.267, 75, B06, S03, 1
B06, Trade, 116924.800, 76, B06, S00, 1
B06, Trade, 188553.317, 76, B06, S00, 1
B06, Trade, 192973.500, 76, B06, S00, 1
B06, Trade, 212062.367, 76, B06, S06, 1
B06, Trade, 215276.900, 76, B06, S03, 1
B06, Trade, 220391.383, 76, B06, S00, 1
B06, Trade, 238237.950, 76, B06, S02, 1
B06, Trade, 238482.917, 76, B06, S02, 1
B06, Trade, 240341.700, 76, B06, S03, 1
B06, Trade, 242815.100, 76, B06, S05, 1
B06, Trade, 244596.417, 74, B06, S00, 1
B06, Trade, 245493.183, 76, B06, S03, 1
B06, Trade, 251684.150, 76, B06, S03, 1
B06, Trade, 267131.950, 76, B06, S05, 1
B06, Trade, 268987.833, 76, B06, S02, 1
B06, Trade, 270013.183, 75, B06, S02, 1
B06, Trade, 270217.133, 76, B06, S05, 1
B06, Trade, 270675.217, 76, B06, S00, 1
B06, Trade, 273842.950, 76, B06, S05, 1
B06, Trade, 274429.417, 76, B06, S02, 1
B06, Trade, 274809.200, 76, B06, S00, 1
B06, Trade, 275491.117, 76, B06, S06, 1
B06, Trade, 275680.367, 76, B06, S00, 1
B06, Trade, 275715.150, 76, B06, S06, 1
B06, Trade, 276425.617, 76, B06, S02, 1
B06, Trade, 277537.200, 76, B06, S00, 1
B06, Trade, 277652.083, 76, B06, S00, 1
B06, Trade, 277848.250, 76, B06, S06, 1
B06, Trade, 277908.133, 76, B06, S00, 1
B06, Trade, 278561.067, 76, B06, S04, 1
B06, Trade, 284459.217, 74, B06, S03, 1
B06, Trade, 284793.350, 76, B06, S01, 1
B06, Trade, 287723.433, 76, B06, S05, 1
B06, Trade, 288034.517, 76, B06, S05, 1
B06, Trade, 288954.233, 75, B06, S02, 1
B06, Trade, 290677.583, 76, B06, S03, 1
B06, Trade, 291075.750, 76, B06, S03, 1
B06, Trade, 294390.050, 76, B06, S00, 1
B06, Trade, 294926.283, 76, B06, S02, 1
B06, Trade, 296374.417, 76, B06, S04, 1
B06, Trade, 296564.000, 76, B06, S06, 1
B06, Trade, 298793.683, 76, B06, S04, 1
B06, Trade, 300533.300, 76, B06, S04, 1
B06, Trade, 304134.117, 76, B06, S06, 1
B06, Trade, 306803.917, 76, B06, S05, 1
B06, Trade, 325025.167, 76, B06, S04, 1
B06, Trade, 329131.617, 75, B06, S04, 1
B06, Trade, 330575.467, 76, B06, S04, 1
B06, Trade, 330642.033, 76, B06, S03, 1
B06, Trade, 330956.117, 76, B06, S04, 1
B06, Trade, 331511.850, 76, B06, S03, 1
B06, Trade, 332955.817, 76, B06, S03, 1
B06, Trade, 335802.733, 76, S05, B06, 1
B06, Trade, 336261.367, 76, B06, S02, 1
B06, Trade, 336375.017, 76, B06, S02, 1
B06, Trade, 339144.733, 76, B06, S02, 1
B06, Trade, 353463.050, 75, B06, S04, 1
B06, Trade, 355022.450, 76, B06, S05, 1
B06, Trade, 356952.600, 76, B06, S05, 1
B06, Trade, 357050.333, 76, B06, S05, 1
B06, Trade, 361707.933, 76, B06, S05, 1
B06, Trade, 363843.200, 76, B06, S06, 1
B06, Trade, 365049.917, 76, B06, S01, 1
B06, Trade, 367660.933, 76, B06, S00, 1
B06, Trade, 373405.700, 76, B06, S00, 1
B06, Trade, 381382.050, 76, B06, S02, 1
B06, Trade, 390173.100, 76, B06, S02, 1
B06, Trade, 391026.117, 76, B06, S00, 1
B06, Trade, 391979.683, 76, B06, S05, 1
B06, Trade, 394730.283, 75, B06, S00, 1
B07, 100
B07, Trade, 75328.917, 79, B07, S00, 1
B07, Trade, 76079.967, 79, B07, S00, 1
B07, Trade, 76337.967, 79, B07, S02, 1
B07, Trade, 76549.833, 79, B07, S05, 1
B07, Trade, 76658.267, 79, B07, S00, 1
B07, Trade, 76951.200, 79, B07, S02, 1
B07, Trade, 77244.417, 78, B07, S03, 1
B07, Trade, 77535.133, 79, B07, S02, 1
B07, Trade, 77911.550, 78, B07, S04, 1
B07, Trade, 77985.133, 79, B07, S03, 1
B07, Trade, 78092.117, 78, B07, S02, 1
B07, Trade, 78218.700, 79, B07, S05, 1
B07, Trade, 78310.150, 79, B07, S05, 1
B07, Trade, 78416.633, 77, B07, S00, 1
B07, Trade, 78670.000, 79, B07, S06, 1
B07, Trade, 78720.300, 79, B07, S05, 1
B07, Trade, 79039.800, 78, B07, S03, 1
B07, Trade, 79070.033, 78, B07, S02, 1
B07, Trade, 79140.783, 78, B07, S03, 1
B07, Trade, 79252.050, 79, B07, S03, 1
B07, Trade, 79300.700, 79, B07, S04, 1
B07, Trade, 79394.067, 74, B07, S04, 1
B07, Trade, 79511.917, 75, B07, S02, 1
B07, Trade, 80215.400, 79, B07, S04, 1
B07, Trade, 81295.100, 79, B07, S03, 1
B07, Trade, 82253.083, 79, B07, S03, 1
B07, Trade, 83419.800, 79, B07, S03, 1
B07, Trade, 84414.217, 79, B07, S02, 1
B07, Trade, 86344.283, 79, B07, S03, 1
B07, Trade, 93117.117, 76, B07, S04, 1
B07, Trade, 95740.667, 79, B07, S06, 1
B07, Trade, 118954.183, 75, B07, S00, 1
B07, Trade, 120443.050, 72, B07, S03, 1
B07, Trade, 129950.400, 79, B07, S03, 1
B07, Trade, 130501.967, 79, B07, S05, 1
B07, Trade, 131275.667, 79, B07, S06, 1
B07, Trade, 158668.800, 79, B07, S02, 1
B07, Trade, 190306.250, 76, B07, S02, 1
B07, Trade, 232142.300, 79, B07, S02, 1
B07, Trade, 232607.967, 78, B07, S03, 1
B07, Trade, 232906.433, 78, B07, S03, 1
B07, Trade, 234082.317, 77, B07, S01, 1
B07, Trade, 236311.667, 77, B07, S02, 1
B07, Trade, 236436.517, 76, B07, S03, 1
B07, Trade, 237377.633, 75, B07, S03, 1
B07, Trade, 238612.983, 79, B07, S02, 1
B07, Trade, 240341.467, 79, B07, S02, 1
B07, Trade, 240703.500, 79, B07, S00, 1
B07, Trade, 241488.817, 79, B07, S02, 1
B07, Trade, 241876.633, 78, B07, S02, 1
B07, Trade, 242219.083, 79, B07, S00, 1
B07, Trade, 242777.817, 79, B07, S02, 1
B07, Trade, 242951.683, 79, B07, S04, 1
B07, Trade, 243257.700, 79, B07, S04, 1
B07, Trade, 243726.050, 79, B07, S05, 1
B07, Trade, 244594.467, 79, B07, S02, 1
B07, Trade, 256480.917, 79, B07, S07, 1
B07, Trade, 278200.267, 79, B07, S00, 1
B07, Trade, 278341.083, 78, B07, S06, 1
B07, Trade, 278471.000, 79, B07, S02, 1
B07, Trade, 279493.517, 78, B07, S00, 1
B07, Trade, 310344.683, 79, B07, S00, 1
B07, Trade, 310576.600, 79, B07, S05, 1
B07, Trade, 311046.167, 78, B07, S02, 1
B07, Trade, 311122.950, 78, B07, S02, 1
B07, Trade, 311320.283, 79, B07, S00, 1
B07, Trade, 311911.817, 79, B07, S05, 1
B07, Trade, 312012.567, 79, B07, S05, 1
B07, Trade, 313471.933, 78, B07, S04, 1
B07, Trade, 313626.200, 79, S03, B07, 1
B07, Trade, 313627.617, 79, B07, S02, 1
B07, Trade, 313643.717, 79, B07, S00, 1
B07, Trade, 313989.750, 79, B07, S05, 1
B07, Trade, 314773.133, 79, B07, S00, 1
B07, Trade, 315289.317, 79, B07, S05, 1
B07, Trade, 325068.567, 77, B07, S05, 1
B07, Trade, 333922.383, 71, B07, S03, 1
B07, Trade, 335542.433, 76, B07, S03, 1
B07, Trade, 353375.283, 79, B07, S02, 1
B07, Trade, 354716.783, 77, B07, S02, 1
B07, Trade, 354903.167, 79, B07, S02, 1
B07, Trade, 355022.367, 78, B07, S04, 1
B07, Trade, 357048.867, 79, B07, S02, 1
B07, Trade, 358455.783, 79, B07, S02, 1
B07, Trade, 360123.033, 77, B07, S02, 1
B07, Trade, 362189.617, 79, B07, S00, 1
B07, Trade, 362298.950, 78, B07, S00, 1
B07, Trade, 363595.400, 78, B07, S00, 1
B07, Trade, 363603.783, 79, B07, S02, 1
B07, Trade, 364196.933, 79, B07, S04, 1
B07, Trade, 365959.667, 79, B07, S00, 1
B07, Trade, 380922.483, 79, B07, S00, 1
B07, Trade, 381326.600, 79, B07, S06, 1
B07, Trade, 381381.383, 79, B07, S00, 1
B07, Trade, 382977.150, 79, B07, S06, 1
B07, Trade, 387423.233, 79, B07, S00, 1
B07, Trade, 389259.017, 76, B07, S02, 1
B07, Trade, 406995.600, 79, B07, S02, 1
B07, Trade, 409495.833, 79, B07, S04, 1
B07, Trade, 409790.050, 78, B07, S04, 1
B08, 100
