B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 233792.133, 71, B04, S01, 1
B04, Trade, 235589.633, 71, B04, S04, 1
B05, 34
B05, Trade, 137450.083, 73, B05, S03, 1
B05, Trade, 138489.133, 73, B05, S03, 1
B05, Trade, 139888.650, 73, B05, S03, 1
B05, Trade, 140444.217, 73, B05, S00, 1
B05, Trade, 141755.067, 73, B05, S01, 1
B05, Trade, 143284.933, 73, B05, S01, 1
B05, Trade, 143582.400, 73, B05, S00, 1
B05, Trade, 173082.850, 73, B05, S04, 1
B05, Trade, 174473.950, 73, B05, S05, 1
B05, Trade, 174708.617, 73, B05, S04, 1
B05, Trade, 175320.533, 73, B05, S01, 1
B05, Trade, 175375.800, 73, B05, S00, 1
B05, Trade, 175781.883, 73, B05, S01, 1
B05, Trade, 176825.683, 73, B05, S03, 1
B05, Trade, 176972.683, 73, B05, S00, 1
B05, Trade, 177060.500, 73, B05, S01, 1
B05, Trade, 178244.533, 73, B05, S04, 1
B05, Trade, 179095.500, 73, B05, S00, 1
B05, Trade, 179325.767, 73, B05, S00, 1
B05, Trade, 179925.050, 73, B05, S04, 1
B05, Trade, 203715.917, 73, B05, S00, 1
B05, Trade, 204000.167, 73, B05, S04, 1
B05, Trade, 204134.717, 73, B05, S01, 1
B05, Trade, 207497.533, 73, B05, S03, 1
B05, Trade, 214105.783, 73, B05, S04, 1
B05, Trade, 222857.133, 72, B05, S00, 1
B05, Trade, 223769.133, 73, B05, S03, 1
B05, Trade, 224298.883, 73, B05, S00, 1
B05, Trade, 225471.333, 73, B05, S03, 1
B05, Trade, 228835.600, 73, B05, S00, 1
B05, Trade, 229044.683, 73, B05, S01, 1
B05, Trade, 240221.200, 72, B05, S00, 1
B05, Trade, 244521.833, 72, B05, S01, 1
B05, Trade, 250278.350, 73, B05, S00, 1
B06, 100
B06, Trade, 112220.233, 75, S01, B06, 1
B06, Trade, 112444.767, 74, B06, S00, 1
B06, Trade, 116494.483, 76, B06, S00, 1
B06, Trade, 117763.067, 76, B06, S03, 1
B06, Trade, 122550.717, 76, B06, S00, 1
B06, Trade, 123010.033, 76, B06, S00, 1
B06, Trade, 128951.433, 76, B06, S00, 1
B06, Trade, 144412.033, 76, B06, S04, 1
B06, Trade, 147079.250, 76, B06, S00, 1
B06, Trade, 147312.950, 76, B06, S06, 1
B06, Trade, 148977.883, 76, B06, S06, 1
B06, Trade, 151399.817, 76, B06, S04, 1
B06, Trade, 158853.983, 76, B06, S00, 1
B06, Trade, 159124.700, 76, B06, S01, 1
B06, Trade, 166040.917, 76, B06, S03, 1
B06, Trade, 166445.850, 76, B06, S00, 1
B06, Trade, 166963.467, 76, B06, S00, 1
B06, Trade, 167064.250, 76, B06, S01, 1
B06, Trade, 167498.933, 76, B06, S03, 1
B06, Trade, 167592.067, 76, B06, S03, 1
B06, Trade, 171380.500, 76, B06, S01, 1
B06, Trade, 171382.867, 76, B06, S03, 1
B06, Trade, 172518.617, 76, B06, S03, 1
B06, Trade, 176742.267, 74, B06, S01, 1
B06, Trade, 178998.000, 75, B06, S00, 1
B06, Trade, 179325.133, 74, B06, S04, 1
B06, Trade, 181010.217, 76, B06, S01, 1
B06, Trade, 181336.350, 76, B06, S00, 1
B06, Trade, 184433.800, 76, B06, S03, 1
B06, Trade, 184778.833, 76, B06, S00, 1
B06, Trade, 185502.750, 76, B06, S03, 1
B06, Trade, 187051.133, 76, B06, S02, 1
B06, Trade, 187108.983, 76, B06, S03, 1
B06, Trade, 187559.733, 76, B06, S04, 1
B06, Trade, 188907.717, 76, B06, S06, 1
B06, Trade, 190579.783, 76, B06, S00, 1
B06, Trade, 190667.833, 76, B06, S00, 1
B06, Trade, 190699.617, 76, B06, S01, 1
B06, Trade, 196338.967, 76, B06, S05, 1
B06, Trade, 199610.850, 75, B06, S04, 1
B06, Trade, 208865.100, 76, B06, S01, 1
B06, Trade, 208907.683, 76, B06, S00, 1
B06, Trade, 209016.900, 76, B06, S00, 1
B06, Trade, 209589.900, 76, B06, S04, 1
B06, Trade, 210279.283, 76, B06, S00, 1
B06, Trade, 210700.583, 75, B06, S03, 1
B06, Trade, 211275.517, 76, B06, S02, 1
B06, Trade, 211398.450, 76, B06, S04, 1
B06, Trade, 211529.217, 76, B06, S04, 1
B06, Trade, 213086.067, 76, B06, S05, 1
B06, Trade, 213087.900, 76, B06, S01, 1
B06, Trade, 213855.300, 75, B06, S00, 1
B06, Trade, 214292.667, 76, B06, S04, 1
B06, Trade, 214613.050, 75, B06, S03, 1
B06, Trade, 215239.700, 76, B06, S02, 1
B06, Trade, 217929.683, 76, B06, S04, 1
B06, Trade, 218784.433, 76, B06, S04, 1
B06, Trade, 220760.150, 76, B06, S04, 1
B06, Trade, 224620.750, 74, B06, S01, 1
B06, Trade, 224884.267, 74, B06, S00, 1
B06, Trade, 230452.067, 76, S06, B06, 1
B06, Trade, 231056.650, 76, B06, S00, 1
B06, Trade, 232028.050, 76, B06, S04, 1
B06, Trade, 232510.267, 76, B06, S00, 1
B06, Trade, 233772.033, 76, B06, S06, 1
B06, Trade, 233926.517, 76, B06, S00, 1
B06, Trade, 234324.200, 76, B06, S03, 1
B06, Trade, 234443.867, 76, B06, S04, 1
B06, Trade, 234883.700, 76, B06, S01, 1
B06, Trade, 235099.033, 76, B06, S05, 1
B06, Trade, 235260.433, 76, B06, S06, 1
B06, Trade, 235397.133, 76, B06, S03, 1
B06, Trade, 235587.950, 76, B06, S00, 1
B06, Trade, 236110.217, 76, B06, S04, 1
B06, Trade, 236621.517, 75, S04, B06, 1
B06, Trade, 236787.750, 76, B06, S00, 1
B06, Trade, 237273.450, 76, B06, S00, 1
B06, Trade, 237378.933, 76, B06, S00, 1
B06, Trade, 237449.450, 76, B06, S03, 1
B06, Trade, 244923.467, 76, B06, S00, 1
B06, Trade, 245111.033, 75, B06, S01, 1
B06, Trade, 245503.383, 76, B06, S00, 1
B06, Trade, 245622.533, 76, B06, S00, 1
B06, Trade, 245830.333, 76, B06, S01, 1
B06, Trade, 246754.383, 76, B06, S03, 1
B06, Trade, 246786.433, 76, B06, S01, 1
B06, Trade, 246904.417, 75, B06, S00, 1
B06, Trade, 247250.183, 76, B06, S00, 1
B06, Trade, 247832.567, 76, B06, S05, 1
B06, Trade, 248115.950, 76, B06, S02, 1
B06, Trade, 248826.633, 76, B06, S01, 1
B06, Trade, 248839.417, 76, B06, S01, 1
B06, Trade, 249172.400, 76, B06, S01, 1
B06, Trade, 249269.350, 76, B06, S04, 1
B06, Trade, 249968.983, 76, B06, S00, 1
B06, Trade, 250278.217, 76, B06, S04, 1
B06, Trade, 250938.133, 76, B06, S01, 1
B06, Trade, 251354.800, 74, B06, S01, 1
B06, Trade, 251638.033, 76, B06, S04, 1
B06, Trade, 251801.283, 76, B06, S03, 1
B07, 65
B07, Trade, 12154.317, 77, B07, S01, 1
B07, Trade, 81293.633, 77, B07, S04, 1
B07, Trade, 97499.750, 76, B07, S00, 1
B07, Trade, 103927.183, 77, B07, S00, 1
B07, Trade, 108135.233, 74, B07, S00, 1
B07, Trade, 109008.883, 77, B07, S04, 1
B07, Trade, 109173.383, 72, B07, S04, 1
B07, Trade, 110087.933, 74, B07, S03, 1
B07, Trade, 114274.850, 72, S04, B07, 1
B07, Trade, 141490.033, 76, B07, S04, 1
