B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 9
B05, Trade, 133405.967, 71, B05, S02, 1
B05, Trade, 168960.283, 73, B05, S05, 1
B05, Trade, 177935.333, 72, B05, S02, 1
B05, Trade, 238159.333, 73, B05, S00, 1
B05, Trade, 240470.200, 73, B05, S02, 1
B05, Trade, 241643.617, 72, B05, S02, 1
B05, Trade, 242330.167, 73, B05, S05, 1
B05, Trade, 242802.500, 73, B05, S00, 1
B05, Trade, 242909.317, 73, B05, S05, 1
B06, 25
B06, Trade, 1.783, 62, S01, B06, 1
B06, Trade, 42259.450, 76, B06, S04, 1
B06, Trade, 51568.017, 76, B06, S01, 1
B06, Trade, 52310.667, 75, B06, S01, 1
B06, Trade, 53462.567, 76, B06, S02, 1
B06, Trade, 59227.450, 76, B06, S02, 1
B06, Trade, 62639.517, 76, B06, S02, 1
B06, Trade, 63356.167, 75, B06, S02, 1
B06, Trade, 109103.300, 76, B06, S06, 1
B06, Trade, 110094.583, 76, B06, S01, 1
B06, Trade, 110391.850, 76, B06, S01, 1
B06, Trade, 111737.267, 76, B06, S01, 1
B06, Trade, 116856.283, 76, B06, S04, 1
B06, Trade, 120646.433, 76, B06, S06, 1
B06, Trade, 142345.267, 76, B06, S05, 1
B06, Trade, 158658.017, 76, B06, S03, 1
B06, Trade, 158749.467, 76, B06, S04, 1
B06, Trade, 161377.783, 76, B06, S03, 1
B06, Trade, 165445.467, 76, B06, S03, 1
B06, Trade, 219736.733, 76, B06, S01, 1
B06, Trade, 219851.917, 76, B06, S01, 1
B06, Trade, 235555.400, 76, B06, S03, 1
B06, Trade, 256136.783, 76, B06, S03, 1
B06, Trade, 257717.950, 76, B06, S00, 1
B06, Trade, 258394.550, 76, B06, S03, 1
B07, 88
B07, Trade, 521.533, 78, B07, S01, 1
B07, Trade, 19064.800, 78, B07, S03, 1
B07, Trade, 53251.517, 79, B07, S02, 1
B07, Trade, 101922.667, 79, B07, S01, 1
B07, Trade, 102813.017, 79, B07, S02, 1
B07, Trade, 103330.550, 79, B07, S06, 1
B07, Trade, 103650.717, 79, B07, S01, 1
B07, Trade, 104498.533, 79, B07, S07, 1
B07, Trade, 104929.633, 79, B07, S00, 1
B07, Trade, 106224.750, 79, B07, S00, 1
B07, Trade, 108738.600, 78, B07, S02, 1
B07, Trade, 110025.350, 79, B07, S06, 1
B07, Trade, 111880.483, 76, B07, S03, 1
B07, Trade, 119214.083, 79, B07, S02, 1
B07, Trade, 129720.700, 77, B07, S01, 1
B07, Trade, 131237.083, 77, S05, B07, 1
B07, Trade, 131443.150, 77, B07, S03, 1
B07, Trade, 132215.600, 79, B07, S01, 1
B07, Trade, 135181.250, 79, B07, S05, 1
B07, Trade, 135259.450, 78, S00, B07, 1
B07, Trade, 135635.150, 74, S03, B07, 1
B07, Trade, 135783.233, 79, B07, S01, 1
B07, Trade, 237609.800, 79, B07, S05, 1
B07, Trade, 237721.183, 78, B07, S01, 1
B07, Trade, 238137.450, 79, B07, S01, 1
B07, Trade, 238157.167, 78, B07, S06, 1
B07, Trade, 238160.633, 78, B07, S01, 1
B07, Trade, 238445.033, 79, B07, S01, 1
B07, Trade, 238464.983, 79, B07, S01, 1
B07, Trade, 238645.533, 79, B07, S05, 1
B07, Trade, 238681.367, 78, B07, S01, 1
B07, Trade, 238760.300, 79, B07, S01, 1
B07, Trade, 238792.300, 79, B07, S05, 1
B07, Trade, 238830.650, 79, B07, S01, 1
B07, Trade, 239057.750, 79, B07, S01, 1
B07, Trade, 239087.250, 79, B07, S05, 1
B07, Trade, 239212.500, 79, B07, S01, 1
B07, Trade, 239311.350, 76, B07, S05, 1
B07, Trade, 239606.700, 79, B07, S02, 1
B07, Trade, 239719.417, 79, B07, S00, 1
B07, Trade, 239781.333, 79, B07, S05, 1
B07, Trade, 240004.300, 79, B07, S05, 1
B07, Trade, 240151.650, 79, B07, S00, 1
B07, Trade, 240279.650, 79, B07, S02, 1
B07, Trade, 240468.700, 79, B07, S06, 1
B07, Trade, 240502.267, 79, B07, S02, 1
B07, Trade, 241123.317, 79, B07, S02, 1
B07, Trade, 241191.183, 78, B07, S01, 1
B07, Trade, 241257.017, 79, B07, S01, 1
B07, Trade, 241331.683, 79, B07, S05, 1
B07, Trade, 241343.400, 76, B07, S05, 1
B07, Trade, 241379.783, 79, B07, S01, 1
B07, Trade, 241419.017, 79, B07, S05, 1
B07, Trade, 241424.583, 79, B07, S06, 1
B07, Trade, 241575.867, 79, B07, S00, 1
B07, Trade, 241634.383, 79, B07, S01, 1
B07, Trade, 241642.983, 79, B07, S05, 1
B07, Trade, 241738.600, 79, B07, S05, 1
