B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 85167.433, 68, B03, S02, 1
B03, Trade, 204622.200, 68, B03, S02, 1
B04, 7
B04, Trade, 103216.967, 71, B04, S04, 1
B04, Trade, 103262.283, 71, B04, S00, 1
B04, Trade, 104642.583, 71, B04, S00, 1
B04, Trade, 105516.567, 71, B04, S02, 1
B04, Trade, 106393.333, 71, B04, S00, 1
B04, Trade, 193642.300, 70, B04, S03, 1
B04, Trade, 210720.117, 69, B04, S02, 1
B05, 43
B05, Trade, 8567.133, 73, B05, S05, 1
B05, Trade, 9225.283, 73, B05, S02, 1
B05, Trade, 9894.733, 71, B05, S00, 1
B05, Trade, 12945.850, 71, B05, S01, 1
B05, Trade, 24096.767, 73, B05, S03, 1
B05, Trade, 24246.300, 73, B05, S01, 1
B05, Trade, 50472.983, 73, B05, S04, 1
B05, Trade, 50726.483, 73, B05, S05, 1
B05, Trade, 50945.500, 73, B05, S05, 1
B05, Trade, 51281.467, 73, B05, S00, 1
B05, Trade, 51584.317, 73, B05, S04, 1
B05, Trade, 51817.600, 73, B05, S04, 1
B05, Trade, 52426.300, 73, B05, S02, 1
B05, Trade, 52744.383, 73, B05, S00, 1
B05, Trade, 53317.350, 73, B05, S00, 1
B05, Trade, 53419.683, 73, B05, S04, 1
B05, Trade, 53647.800, 73, B05, S04, 1
B05, Trade, 54806.567, 73, B05, S05, 1
B05, Trade, 54885.383, 73, B05, S04, 1
B05, Trade, 55962.750, 73, B05, S05, 1
B05, Trade, 56185.267, 73, B05, S05, 1
B05, Trade, 56971.333, 73, B05, S05, 1
B05, Trade, 57108.867, 73, B05, S04, 1
B05, Trade, 57476.900, 73, B05, S04, 1
B05, Trade, 57539.800, 73, B05, S05, 1
B05, Trade, 89708.517, 73, B05, S03, 1
B05, Trade, 91528.733, 73, B05, S05, 1
B05, Trade, 92418.933, 73, B05, S03, 1
B05, Trade, 122400.583, 71, B05, S04, 1
B05, Trade, 130046.633, 71, B05, S01, 1
B05, Trade, 132033.850, 73, B05, S03, 1
