B00, 0
B01, 0
B02, 1
B02, Trade, 249325.867, 65, B02, S02, 1
B03, 4
B03, Trade, 159155.967, 68, B03, S00, 1
B03, Trade, 161853.450, 66, B03, S00, 1
B03, Trade, 173924.167, 65, B03, S00, 1
B03, Trade, 234684.100, 68, B03, S00, 1
B04, 11
B04, Trade, 82534.067, 69, B04, S01, 1
B04, Trade, 85798.617, 70, B04, S01, 1
B04, Trade, 86045.200, 70, B04, S03, 1
B04, Trade, 165467.567, 69, B04, S02, 1
B04, Trade, 195808.400, 71, B04, S04, 1
B04, Trade, 199875.117, 71, B04, S04, 1
B04, Trade, 200172.767, 71, B04, S00, 1
B04, Trade, 216470.150, 71, B04, S02, 1
B04, Trade, 218785.033, 71, B04, S02, 1
B04, Trade, 218893.017, 71, B04, S04, 1
B04, Trade, 220541.217, 71, B04, S01, 1
B05, 19
B05, Trade, 36039.083, 73, B05, S04, 1
B05, Trade, 37069.800, 73, B05, S01, 1
B05, Trade, 39127.633, 71, B05, S03, 1
B05, Trade, 39403.917, 73, B05, S02, 1
B05, Trade, 41080.233, 73, B05, S02, 1
B05, Trade, 41357.433, 73, B05, S00, 1
B05, Trade, 42008.800, 73, B05, S02, 1
B05, Trade, 42179.783, 73, B05, S02, 1
B05, Trade, 43006.883, 73, B05, S00, 1
B05, Trade, 43053.117, 73, B05, S04, 1
B05, Trade, 43681.167, 71, B05, S02, 1
B05, Trade, 55705.800, 72, B05, S03, 1
B05, Trade, 94341.950, 71, B05, S01, 1
B05, Trade, 95053.950, 73, B05, S01, 1
B05, Trade, 98564.467, 71, B05, S03, 1
B05, Trade, 130829.233, 73, B05, S01, 1
B05, Trade, 134083.467, 73, B05, S02, 1
B05, Trade, 134502.983, 73, B05, S03, 1
B05, Trade, 136611.117, 73, B05, S00, 1
B06, 100
B06, Trade, 163600.050, 76, B06, S00, 1
B06, Trade, 163629.400, 76, B06, S02, 1
B06, Trade, 163677.883, 75, B06, S03, 1
B06, Trade, 163804.833, 76, B06, S00, 1
B06, Trade, 163852.600, 75, B06, S02, 1
B06, Trade, 163873.317, 76, B06, S02, 1
B06, Trade, 163937.967, 76, B06, S05, 1
B06, Trade, 163958.167, 75, B06, S02, 1
B06, Trade, 163989.183, 76, B06, S03, 1
B06, Trade, 164019.767, 76, B06, S03, 1
B06, Trade, 164031.117, 76, B06, S00, 1
B06, Trade, 164035.350, 76, B06, S02, 1
B06, Trade, 164074.367, 76, B06, S02, 1
B06, Trade, 164178.783, 76, B06, S02, 1
B06, Trade, 164196.333, 76, B06, S05, 1
B06, Trade, 164305.133, 76, B06, S02, 1
B06, Trade, 164317.517, 76, B06, S02, 1
B06, Trade, 164353.633, 76, B06, S03, 1
B06, Trade, 164368.567, 76, B06, S02, 1
B06, Trade, 164381.700, 76, B06, S05, 1
B06, Trade, 164399.617, 76, B06, S05, 1
B06, Trade, 164524.650, 76, B06, S03, 1
B06, Trade, 164586.283, 76, B06, S03, 1
B06, Trade, 164699.350, 76, B06, S05, 1
B06, Trade, 164737.617, 76, B06, S00, 1
B06, Trade, 164815.650, 76, B06, S02, 1
B06, Trade, 164940.733, 75, B06, S00, 1
B06, Trade, 164985.000, 75, B06, S05, 1
B06, Trade, 165141.450, 76, B06, S03, 1
B06, Trade, 165298.633, 76, B06, S05, 1
B06, Trade, 165360.283, 76, B06, S05, 1
B06, Trade, 165406.350, 76, B06, S02, 1
B06, Trade, 165429.217, 75, B06, S03, 1
B06, Trade, 165566.100, 76, B06, S00, 1
B06, Trade, 174090.617, 76, B06, S01, 1
B06, Trade, 176453.033, 69, B06, S00, 1
B06, Trade, 178142.183, 76, B06, S01, 1
B06, Trade, 196070.517, 73, B06, S04, 1
B06, Trade, 211481.917, 76, B06, S04, 1
B06, Trade, 220575.167, 74, B06, S05, 1
B06, Trade, 222623.683, 75, B06, S05, 1
B06, Trade, 231019.950, 75, B06, S04, 1
B06, Trade, 231793.183, 76, B06, S00, 1
B06, Trade, 232587.217, 72, B06, S04, 1
B06, Trade, 233817.583, 72, B06, S02, 1
B06, Trade, 235315.250, 74, B06, S00, 1
B06, Trade, 235381.917, 76, B06, S02, 1
B06, Trade, 236323.850, 72, B06, S02, 1
B06, Trade, 244899.267, 76, B06, S02, 1
B06, Trade, 245425.983, 76, B06, S02, 1
B06, Trade, 245535.567, 76, B06, S04, 1
B06, Trade, 245693.250, 76, B06, S02, 1
B06, Trade, 245879.617, 75, B06, S04, 1
B06, Trade, 246114.267, 76, B06, S02, 1
B06, Trade, 246126.750, 76, B06, S04, 1
B06, Trade, 246419.667, 76, B06, S01, 1
B06, Trade, 246583.150, 76, B06, S02, 1
B06, Trade, 246618.017, 76, B06, S01, 1
B06, Trade, 246760.700, 75, B06, S00, 1
B06, Trade, 246956.317, 75, B06, S02, 1
B06, Trade, 247142.567, 76, B06, S02, 1
B06, Trade, 247266.167, 76, B06, S01, 1
B06, Trade, 247483.033, 74, B06, S01, 1
B06, Trade, 247516.700, 76, B06, S00, 1
B06, Trade, 247655.100, 75, B06, S02, 1
B06, Trade, 247862.833, 76, B06, S04, 1
B06, Trade, 247895.200, 76, B06, S01, 1
B06, Trade, 247930.233, 76, B06, S04, 1
B06, Trade, 248044.833, 76, B06, S00, 1
B06, Trade, 248178.967, 76, B06, S01, 1
B06, Trade, 248195.400, 75, B06, S04, 1
B06, Trade, 248469.667, 76, B06, S02, 1
B06, Trade, 248622.533, 76, B06, S04, 1
B06, Trade, 248715.600, 76, B06, S01, 1
B06, Trade, 248841.600, 76, B06, S01, 1
B06, Trade, 249020.483, 76, B06, S04, 1
B06, Trade, 249155.683, 76, B06, S02, 1
B06, Trade, 249277.850, 76, B06, S02, 1
B06, Trade, 249325.850, 76, B06, S00, 1
