B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 91451.900, 68, B03, S01, 1
B03, Trade, 270484.067, 68, B03, S00, 1
B04, 12
B04, Trade, 149838.000, 71, B04, S02, 1
B04, Trade, 167895.733, 71, B04, S00, 1
B04, Trade, 317776.133, 71, B04, S02, 1
B04, Trade, 375039.167, 70, B04, S00, 1
B04, Trade, 376749.067, 71, B04, S02, 1
B04, Trade, 377435.467, 71, B04, S01, 1
B04, Trade, 380091.283, 69, B04, S02, 1
B04, Trade, 380739.850, 71, B04, S00, 1
B04, Trade, 397368.150, 70, B04, S00, 1
B04, Trade, 400795.700, 71, B04, S01, 1
B04, Trade, 401289.983, 71, B04, S01, 1
B04, Trade, 402831.950, 71, B04, S00, 1
B05, 12
B05, Trade, 73475.367, 71, B05, S03, 1
B05, Trade, 140864.000, 73, B05, S02, 1
B05, Trade, 153524.717, 73, B05, S00, 1
B05, Trade, 274664.250, 73, B05, S02, 1
B05, Trade, 280504.133, 73, B05, S02, 1
B05, Trade, 303949.033, 73, B05, S02, 1
B05, Trade, 305932.833, 72, B05, S00, 1
B05, Trade, 308009.150, 73, B05, S00, 1
B05, Trade, 308331.883, 73, B05, S01, 1
B05, Trade, 308718.017, 72, B05, S00, 1
B05, Trade, 360741.200, 73, B05, S01, 1
B05, Trade, 378170.117, 73, B05, S02, 1
B06, 100
B06, Trade, 173926.167, 76, B06, S00, 1
B06, Trade, 174112.700, 76, B06, S00, 1
B06, Trade, 176195.817, 76, B06, S02, 1
B06, Trade, 177477.850, 76, B06, S02, 1
B06, Trade, 177608.200, 76, B06, S04, 1
B06, Trade, 179469.667, 76, B06, S00, 1
B06, Trade, 217141.017, 73, B06, S00, 1
B06, Trade, 217256.450, 76, B06, S02, 1
B06, Trade, 217323.683, 76, B06, S05, 1
B06, Trade, 217663.717, 76, B06, S05, 1
B06, Trade, 217785.267, 76, B06, S04, 1
B06, Trade, 217888.617, 76, B06, S00, 1
B06, Trade, 217927.933, 76, B06, S03, 1
B06, Trade, 218106.800, 76, B06, S00, 1
B06, Trade, 219208.717, 76, B06, S02, 1
B06, Trade, 219420.533, 75, B06, S00, 1
B06, Trade, 219580.517, 76, B06, S00, 1
B06, Trade, 219863.683, 76, B06, S04, 1
B06, Trade, 220457.667, 76, B06, S04, 1
B06, Trade, 220642.783, 76, B06, S00, 1
B06, Trade, 220680.433, 76, B06, S05, 1
B06, Trade, 220705.600, 76, B06, S02, 1
B06, Trade, 220793.733, 76, B06, S05, 1
B06, Trade, 221365.400, 76, B06, S04, 1
B06, Trade, 221484.583, 76, B06, S00, 1
B06, Trade, 221586.033, 76, B06, S01, 1
B06, Trade, 221813.850, 76, B06, S05, 1
B06, Trade, 222086.200, 76, B06, S05, 1
B06, Trade, 222235.833, 76, B06, S02, 1
B06, Trade, 222637.300, 76, B06, S00, 1
B06, Trade, 223159.517, 75, B06, S04, 1
B06, Trade, 223189.467, 76, B06, S04, 1
B06, Trade, 266793.783, 74, B06, S00, 1
B06, Trade, 267324.617, 75, B06, S02, 1
B06, Trade, 270563.817, 76, B06, S05, 1
B06, Trade, 273012.717, 74, B06, S02, 1
B06, Trade, 273329.083, 75, B06, S02, 1
B06, Trade, 287186.650, 75, B06, S01, 1
B06, Trade, 295296.383, 75, B06, S00, 1
B06, Trade, 295374.400, 76, B06, S06, 1
B06, Trade, 295831.833, 76, B06, S01, 1
B06, Trade, 296223.067, 76, B06, S06, 1
B06, Trade, 296513.633, 76, B06, S00, 1
B06, Trade, 297977.700, 76, B06, S01, 1
B06, Trade, 298859.950, 76, B06, S06, 1
B06, Trade, 299841.967, 76, B06, S06, 1
B06, Trade, 300554.667, 76, B06, S01, 1
B06, Trade, 301667.633, 76, B06, S00, 1
B06, Trade, 301835.550, 76, B06, S01, 1
B06, Trade, 302895.567, 74, S04, B06, 1
B06, Trade, 303010.383, 76, B06, S05, 1
B06, Trade, 303789.883, 73, B06, S02, 1
B06, Trade, 304260.083, 73, B06, S01, 1
B06, Trade, 304353.500, 76, B06, S00, 1
B06, Trade, 304844.550, 76, B06, S02, 1
B06, Trade, 305682.483, 76, B06, S00, 1
B06, Trade, 306752.583, 74, B06, S02, 1
B06, Trade, 307009.383, 76, B06, S01, 1
B06, Trade, 307942.533, 76, B06, S01, 1
B06, Trade, 308009.550, 76, B06, S04, 1
B06, Trade, 308406.083, 75, B06, S00, 1
B06, Trade, 308429.050, 75, B06, S01, 1
B06, Trade, 318583.500, 76, B06, S01, 1
B06, Trade, 319186.267, 76, B06, S02, 1
B06, Trade, 319744.700, 75, B06, S00, 1
B06, Trade, 320742.033, 75, B06, S02, 1
B06, Trade, 360302.817, 75, B06, S03, 1
B06, Trade, 360720.150, 76, B06, S04, 1
B06, Trade, 360761.133, 76, B06, S06, 1
B06, Trade, 360774.300, 76, B06, S01, 1
B06, Trade, 361612.167, 76, B06, S00, 1
B06, Trade, 361653.267, 76, B06, S01, 1
B06, Trade, 362126.867, 76, B06, S01, 1
B06, Trade, 362352.367, 76, B06, S01, 1
B06, Trade, 362683.850, 76, B06, S02, 1
B06, Trade, 362690.100, 76, B06, S06, 1
B06, Trade, 362779.983, 76, B06, S06, 1
B06, Trade, 362891.650, 76, B06, S01, 1
B06, Trade, 363058.917, 76, B06, S01, 1
B06, Trade, 363137.633, 76, B06, S01, 1
B06, Trade, 363841.900, 76, B06, S01, 1
B06, Trade, 363874.250, 76, B06, S05, 1
B06, Trade, 364053.200, 76, B06, S01, 1
B06, Trade, 364718.267, 76, B06, S02, 1
B06, Trade, 364845.067, 76, B06, S04, 1
B06, Trade, 364859.167, 76, B06, S06, 1
B06, Trade, 365132.167, 76, B06, S02, 1
B06, Trade, 365231.583, 75, B06, S04, 1
B06, Trade, 365309.667, 76, S06, B06, 1
