B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 42
B05, Trade, 52180.717, 73, B05, S02, 1
B05, Trade, 68162.750, 73, B05, S02, 1
B05, Trade, 68545.300, 73, B05, S04, 1
B05, Trade, 68649.383, 73, B05, S04, 1
B05, Trade, 89550.583, 73, B05, S02, 1
B05, Trade, 89951.000, 73, B05, S02, 1
B05, Trade, 91698.533, 73, B05, S01, 1
B05, Trade, 92714.767, 73, B05, S04, 1
B05, Trade, 92804.500, 73, B05, S02, 1
B05, Trade, 117369.850, 73, B05, S04, 1
B05, Trade, 119029.250, 73, B05, S02, 1
B05, Trade, 119823.867, 73, B05, S02, 1
B05, Trade, 121616.567, 73, B05, S02, 1
B05, Trade, 181713.333, 73, B05, S00, 1
B05, Trade, 184991.133, 73, B05, S03, 1
B05, Trade, 185633.233, 73, B05, S02, 1
B05, Trade, 186690.200, 73, B05, S00, 1
B05, Trade, 225651.300, 73, B05, S02, 1
B05, Trade, 226889.033, 72, B05, S02, 1
B05, Trade, 226911.250, 73, B05, S02, 1
B05, Trade, 227203.833, 73, B05, S02, 1
B05, Trade, 235114.650, 73, B05, S02, 1
B05, Trade, 253758.883, 72, B05, S02, 1
B05, Trade, 263293.800, 73, B05, S02, 1
B05, Trade, 282759.800, 72, B05, S02, 1
B05, Trade, 282917.033, 73, B05, S05, 1
B05, Trade, 284060.550, 73, B05, S03, 1
B05, Trade, 284662.283, 73, B05, S04, 1
B05, Trade, 285930.400, 72, B05, S03, 1
B05, Trade, 287306.950, 73, B05, S02, 1
B05, Trade, 287394.633, 73, B05, S02, 1
B05, Trade, 287673.283, 72, B05, S03, 1
B05, Trade, 295166.900, 72, B05, S01, 1
B05, Trade, 313436.000, 73, B05, S01, 1
B05, Trade, 313507.000, 73, B05, S04, 1
B05, Trade, 314985.050, 73, B05, S04, 1
B05, Trade, 318454.517, 73, B05, S04, 1
B05, Trade, 320964.883, 73, B05, S04, 1
B05, Trade, 393804.200, 71, B05, S01, 1
B05, Trade, 406489.017, 73, B05, S03, 1
B05, Trade, 406800.833, 73, B05, S02, 1
B05, Trade, 406978.917, 73, B05, S04, 1
B06, 37
B06, Trade, 52180.483, 76, B06, S05, 1
B06, Trade, 74243.350, 76, B06, S01, 1
B06, Trade, 78095.217, 76, B06, S01, 1
B06, Trade, 79782.350, 76, B06, S00, 1
B06, Trade, 81276.150, 76, B06, S00, 1
B06, Trade, 83211.650, 76, B06, S04, 1
B06, Trade, 83786.967, 76, B06, S01, 1
B06, Trade, 85674.917, 76, B06, S01, 1
B06, Trade, 85802.683, 76, B06, S02, 1
B06, Trade, 88155.933, 72, B06, S02, 1
B06, Trade, 110901.567, 76, B06, S01, 1
B06, Trade, 112974.600, 76, B06, S02, 1
B06, Trade, 113194.150, 76, B06, S04, 1
B06, Trade, 113244.000, 76, B06, S02, 1
B06, Trade, 113641.233, 76, B06, S05, 1
B06, Trade, 121404.483, 76, B06, S05, 1
B06, Trade, 131130.550, 76, B06, S05, 1
B06, Trade, 132415.150, 76, B06, S05, 1
B06, Trade, 133132.133, 76, B06, S02, 1
B06, Trade, 133556.283, 76, B06, S02, 1
B06, Trade, 133756.350, 76, B06, S02, 1
B06, Trade, 134411.383, 76, B06, S01, 1
B06, Trade, 135052.633, 76, B06, S05, 1
B06, Trade, 135786.800, 76, B06, S05, 1
B06, Trade, 136254.783, 76, B06, S05, 1
B06, Trade, 136472.267, 76, B06, S05, 1
B06, Trade, 156917.667, 72, B06, S00, 1
B06, Trade, 158454.000, 76, B06, S04, 1
B06, Trade, 160806.683, 76, B06, S01, 1
B06, Trade, 161498.550, 76, B06, S03, 1
B06, Trade, 164414.250, 76, B06, S04, 1
B06, Trade, 164555.383, 76, B06, S04, 1
B06, Trade, 169464.167, 75, B06, S02, 1
B06, Trade, 183984.850, 69, B06, S02, 1
B06, Trade, 193868.283, 69, B06, S00, 1
B06, Trade, 237306.500, 72, B06, S01, 1
B06, Trade, 268449.483, 69, B06, S01, 1
B07, 100
B07, Trade, 335830.283, 78, B07, S05, 1
B07, Trade, 337960.367, 78, B07, S05, 1
