B00, 0
B01, 0
B02, 3
B02, Trade, 142293.200, 65, B02, S00, 1
B02, Trade, 401627.233, 65, B02, S00, 1
B02, Trade, 402783.517, 65, B02, S00, 1
B03, 3
B03, Trade, 131941.417, 68, B03, S01, 1
B03, Trade, 203233.333, 68, B03, S01, 1
B03, Trade, 403314.333, 68, B03, S03, 1
B04, 8
B04, Trade, 135519.067, 71, B04, S03, 1
B04, Trade, 139211.600, 71, B04, S00, 1
B04, Trade, 141186.133, 70, B04, S00, 1
B04, Trade, 142954.667, 69, B04, S00, 1
B04, Trade, 193298.350, 71, B04, S00, 1
B04, Trade, 231303.017, 71, B04, S01, 1
B04, Trade, 248252.700, 70, B04, S01, 1
B04, Trade, 399551.900, 69, B04, S01, 1
B05, 98
B05, Trade, 37922.533, 73, B05, S04, 1
B05, Trade, 41761.567, 73, B05, S00, 1
B05, Trade, 110896.217, 69, B05, S00, 1
B05, Trade, 111405.133, 69, B05, S00, 1
B05, Trade, 114085.100, 68, B05, S01, 1
B05, Trade, 114124.933, 73, B05, S05, 1
B05, Trade, 136301.833, 73, B05, S00, 1
B05, Trade, 142704.250, 71, B05, S03, 1
B05, Trade, 149207.650, 72, S04, B05, 1
B05, Trade, 152363.300, 73, B05, S00, 1
B05, Trade, 228506.583, 73, B05, S03, 1
B05, Trade, 252669.517, 72, B05, S01, 1
B05, Trade, 305023.200, 73, B05, S03, 1
B05, Trade, 305275.750, 72, B05, S00, 1
B05, Trade, 345586.100, 73, B05, S02, 1
B05, Trade, 350420.550, 73, B05, S00, 1
B05, Trade, 354306.833, 73, S03, B05, 1
B05, Trade, 396037.650, 73, B05, S03, 1
B05, Trade, 396107.317, 71, B05, S03, 1
B05, Trade, 396173.917, 73, B05, S04, 1
B05, Trade, 396250.683, 73, B05, S03, 1
B05, Trade, 396274.250, 73, B05, S00, 1
B05, Trade, 396571.317, 73, B05, S02, 1
B05, Trade, 396775.067, 72, B05, S03, 1
B05, Trade, 396884.367, 73, B05, S03, 1
B05, Trade, 396989.467, 73, B05, S00, 1
B05, Trade, 397054.300, 73, B05, S03, 1
B05, Trade, 397077.950, 72, B05, S02, 1
B05, Trade, 397229.900, 73, B05, S00, 1
B05, Trade, 397475.133, 73, B05, S02, 1
B05, Trade, 397525.467, 73, B05, S05, 1
B05, Trade, 397635.500, 72, B05, S00, 1
B05, Trade, 397657.200, 72, B05, S01, 1
B05, Trade, 397802.517, 73, B05, S01, 1
B05, Trade, 397808.667, 73, B05, S03, 1
B05, Trade, 397863.700, 71, B05, S01, 1
B05, Trade, 397947.967, 73, B05, S03, 1
B05, Trade, 398016.433, 73, B05, S03, 1
B05, Trade, 398154.300, 73, B05, S03, 1
B05, Trade, 398228.800, 68, S02, B05, 1
B05, Trade, 398399.267, 73, B05, S01, 1
B05, Trade, 398470.650, 73, B05, S00, 1
B05, Trade, 398486.050, 73, B05, S00, 1
B05, Trade, 398523.183, 72, B05, S02, 1
B05, Trade, 398623.850, 73, B05, S02, 1
B05, Trade, 398687.050, 73, B05, S04, 1
B05, Trade, 398750.633, 71, S03, B05, 1
B05, Trade, 398776.667, 71, B05, S01, 1
B05, Trade, 399006.117, 73, B05, S03, 1
B05, Trade, 399053.200, 73, B05, S02, 1
B05, Trade, 399291.750, 73, B05, S00, 1
B05, Trade, 399370.667, 73, B05, S00, 1
B05, Trade, 399400.617, 72, B05, S03, 1
B05, Trade, 399413.483, 73, B05, S00, 1
B05, Trade, 399513.867, 73, B05, S01, 1
B05, Trade, 399551.083, 72, B05, S03, 1
B05, Trade, 399563.450, 73, B05, S01, 1
B05, Trade, 399662.133, 73, B05, S01, 1
B05, Trade, 399756.617, 71, B05, S03, 1
B05, Trade, 399990.833, 73, B05, S03, 1
B05, Trade, 400113.333, 73, B05, S01, 1
B05, Trade, 400257.150, 73, B05, S01, 1
B05, Trade, 400380.417, 73, B05, S01, 1
B05, Trade, 400412.683, 73, B05, S03, 1
B05, Trade, 400427.683, 73, B05, S01, 1
B05, Trade, 400461.917, 73, B05, S02, 1
B05, Trade, 400510.850, 73, B05, S01, 1
B05, Trade, 400598.567, 73, B05, S01, 1
B05, Trade, 400801.550, 73, B05, S03, 1
B05, Trade, 400941.500, 73, B05, S02, 1
B05, Trade, 400977.300, 73, B05, S03, 1
B05, Trade, 401070.250, 73, B05, S03, 1
B05, Trade, 401149.833, 73, B05, S00, 1
