B00, 0
B01, 0
B02, 0
B03, 0
B04, 3
B04, Trade, 46592.550, 71, B04, S03, 1
B04, Trade, 50198.033, 71, B04, S03, 1
B04, Trade, 202972.767, 71, B04, S00, 1
B05, 10
B05, Trade, 341446.383, 73, B05, S00, 1
B05, Trade, 341765.433, 72, B05, S00, 1
B05, Trade, 342142.417, 73, B05, S00, 1
B05, Trade, 342169.183, 73, B05, S00, 1
B05, Trade, 343836.250, 73, B05, S00, 1
B05, Trade, 352223.933, 72, B05, S00, 1
B05, Trade, 356438.067, 73, B05, S02, 1
B05, Trade, 357164.717, 73, B05, S00, 1
B05, Trade, 361452.000, 73, B05, S01, 1
B05, Trade, 362795.600, 73, B05, S01, 1
B06, 34
B06, Trade, 5183.083, 75, B06, S03, 1
B06, Trade, 19531.567, 71, B06, S00, 1
B06, Trade, 79361.467, 76, B06, S04, 1
B06, Trade, 134605.200, 76, B06, S04, 1
B06, Trade, 171478.683, 76, B06, S06, 1
B06, Trade, 288359.283, 76, B06, S04, 1
B06, Trade, 288947.950, 76, B06, S01, 1
B06, Trade, 289389.783, 76, B06, S01, 1
B06, Trade, 290089.467, 76, B06, S01, 1
B06, Trade, 292065.633, 76, B06, S00, 1
B06, Trade, 292782.967, 76, B06, S00, 1
B06, Trade, 293262.083, 76, B06, S01, 1
B06, Trade, 293481.317, 76, B06, S03, 1
B06, Trade, 293718.833, 76, B06, S04, 1
B06, Trade, 294073.617, 76, B06, S04, 1
B06, Trade, 294162.700, 76, B06, S04, 1
B06, Trade, 295030.217, 76, B06, S00, 1
B06, Trade, 311501.500, 76, B06, S04, 1
B06, Trade, 313132.417, 76, B06, S02, 1
B06, Trade, 313571.850, 76, B06, S01, 1
B06, Trade, 314009.333, 76, B06, S03, 1
B06, Trade, 315361.933, 76, B06, S04, 1
B06, Trade, 334730.583, 74, B06, S04, 1
B06, Trade, 343295.000, 76, B06, S00, 1
B06, Trade, 346995.717, 75, B06, S05, 1
B06, Trade, 348257.733, 76, B06, S00, 1
B06, Trade, 355135.067, 75, B06, S01, 1
B06, Trade, 356532.850, 74, B06, S02, 1
B06, Trade, 358690.833, 76, B06, S02, 1
B06, Trade, 376115.350, 75, B06, S00, 1
B06, Trade, 380830.050, 75, B06, S02, 1
B06, Trade, 414376.167, 76, B06, S03, 1
B06, Trade, 416605.750, 76, B06, S02, 1
B06, Trade, 417201.017, 76, B06, S01, 1
B07, 100
B07, Trade, 380951.017, 78, B07, S00, 1
B07, Trade, 381336.650, 79, B07, S03, 1
B07, Trade, 382589.533, 79, B07, S06, 1
B07, Trade, 387504.100, 79, B07, S05, 1
B07, Trade, 388890.000, 79, B07, S03, 1
B07, Trade, 389333.433, 79, B07, S04, 1
B07, Trade, 389642.883, 79, B07, S01, 1
B07, Trade, 389784.417, 79, B07, S03, 1
B07, Trade, 389982.450, 79, B07, S00, 1
B07, Trade, 390306.883, 79, B07, S03, 1
B07, Trade, 391968.217, 79, B07, S00, 1
B07, Trade, 392303.500, 79, B07, S03, 1
B07, Trade, 393622.800, 79, B07, S01, 1
B07, Trade, 404712.583, 79, B07, S00, 1
B07, Trade, 410514.650, 79, B07, S02, 1
B07, Trade, 410590.583, 79, B07, S05, 1
B07, Trade, 410857.617, 79, B07, S05, 1
B07, Trade, 410866.283, 79, B07, S02, 1
B07, Trade, 410891.083, 79, B07, S06, 1
B07, Trade, 411018.950, 79, B07, S07, 1
B07, Trade, 411034.017, 79, B07, S02, 1
B07, Trade, 411093.233, 79, B07, S03, 1
B07, Trade, 411172.600, 79, B07, S07, 1
B07, Trade, 411250.217, 79, B07, S01, 1
B07, Trade, 411312.250, 79, B07, S02, 1
B07, Trade, 411377.833, 79, B07, S01, 1
B07, Trade, 411389.067, 79, B07, S02, 1
B07, Trade, 411399.067, 79, B07, S05, 1
B07, Trade, 411524.733, 79, B07, S02, 1
B07, Trade, 411558.783, 79, B07, S07, 1
B07, Trade, 411728.383, 79, B07, S01, 1
B07, Trade, 411740.433, 79, B07, S02, 1
B07, Trade, 411810.633, 79, B07, S01, 1
B07, Trade, 411884.950, 79, B07, S05, 1
B07, Trade, 412113.650, 79, B07, S07, 1
B07, Trade, 412129.167, 79, B07, S00, 1
B07, Trade, 412133.150, 79, B07, S02, 1
B07, Trade, 412297.417, 79, B07, S05, 1
B07, Trade, 412395.600, 79, B07, S07, 1
B07, Trade, 412550.600, 79, B07, S01, 1
B07, Trade, 412652.117, 79, B07, S05, 1
B07, Trade, 412767.617, 79, B07, S07, 1
B07, Trade, 412780.967, 79, B07, S01, 1
B07, Trade, 412842.100, 77, B07, S00, 1
B07, Trade, 412856.283, 79, B07, S02, 1
B07, Trade, 412988.800, 79, B07, S01, 1
B07, Trade, 413071.200, 79, B07, S03, 1
B07, Trade, 413347.183, 79, B07, S05, 1
B07, Trade, 413392.550, 79, B07, S00, 1
B07, Trade, 413514.650, 79, B07, S05, 1
B07, Trade, 413580.250, 79, B07, S02, 1
B07, Trade, 413680.667, 79, B07, S07, 1
B07, Trade, 413757.417, 79, B07, S02, 1
B07, Trade, 413992.500, 79, B07, S02, 1
B07, Trade, 414208.033, 79, B07, S01, 1
B07, Trade, 414375.067, 79, B07, S02, 1
B07, Trade, 414381.767, 79, B07, S02, 1
B07, Trade, 414427.150, 79, B07, S07, 1
B07, Trade, 414443.967, 79, B07, S07, 1
B07, Trade, 414502.700, 79, B07, S07, 1
B07, Trade, 414559.517, 78, B07, S01, 1
B07, Trade, 414646.667, 79, B07, S07, 1
B07, Trade, 414667.750, 79, B07, S01, 1
B07, Trade, 414692.667, 79, B07, S05, 1
B07, Trade, 414750.517, 79, B07, S05, 1
B07, Trade, 414819.733, 79, B07, S02, 1
B07, Trade, 414989.750, 79, B07, S00, 1
B07, Trade, 415157.050, 79, B07, S05, 1
B07, Trade, 415243.283, 79, B07, S01, 1
B07, Trade, 415421.950, 79, B07, S05, 1
B07, Trade, 415495.200, 79, B07, S07, 1
B07, Trade, 415513.700, 79, B07, S03, 1
B07, Trade, 415525.583, 79, B07, S05, 1
