B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 82840.567, 73, B05, S01, 1
B05, Trade, 292202.600, 73, B05, S05, 1
B06, 42
B06, Trade, 240.067, 74, B06, S05, 1
B06, Trade, 1021.083, 76, B06, S05, 1
B06, Trade, 38398.500, 76, B06, S01, 1
B06, Trade, 41875.983, 73, B06, S02, 1
B06, Trade, 54723.383, 72, B06, S01, 1
B06, Trade, 66144.117, 76, B06, S03, 1
B06, Trade, 73186.533, 76, B06, S05, 1
B06, Trade, 85539.550, 76, B06, S05, 1
B06, Trade, 153125.150, 76, B06, S00, 1
B06, Trade, 154557.833, 76, B06, S03, 1
B06, Trade, 154912.650, 75, B06, S01, 1
B06, Trade, 156576.550, 76, B06, S01, 1
B06, Trade, 157025.783, 75, B06, S01, 1
B06, Trade, 157587.483, 75, B06, S00, 1
B06, Trade, 204779.217, 76, B06, S04, 1
B06, Trade, 206374.817, 76, B06, S01, 1
B06, Trade, 209219.683, 74, B06, S00, 1
B06, Trade, 211218.367, 72, S01, B06, 1
B06, Trade, 234828.950, 70, B06, S00, 1
B06, Trade, 261171.583, 76, B06, S03, 1
B06, Trade, 270402.650, 76, B06, S00, 1
B06, Trade, 270699.783, 75, B06, S05, 1
B06, Trade, 271359.733, 76, B06, S02, 1
B06, Trade, 280819.800, 75, B06, S05, 1
B06, Trade, 283407.917, 76, B06, S05, 1
B06, Trade, 283538.433, 75, B06, S05, 1
B06, Trade, 284190.950, 73, B06, S02, 1
B06, Trade, 284510.817, 76, B06, S05, 1
B06, Trade, 285358.500, 76, B06, S05, 1
B06, Trade, 287043.017, 76, B06, S03, 1
B06, Trade, 295887.450, 76, B06, S06, 1
B06, Trade, 299030.583, 76, B06, S02, 1
B06, Trade, 300328.000, 76, B06, S05, 1
B06, Trade, 302254.100, 76, B06, S04, 1
B06, Trade, 318196.717, 76, B06, S04, 1
B06, Trade, 318249.217, 76, B06, S06, 1
B06, Trade, 318717.800, 74, B06, S04, 1
B06, Trade, 320969.567, 74, B06, S04, 1
B06, Trade, 330495.967, 73, S04, B06, 1
B06, Trade, 382526.950, 73, B06, S01, 1
B06, Trade, 414012.900, 76, B06, S03, 1
B06, Trade, 426792.683, 76, B06, S05, 1
B07, 48
B07, Trade, 3144.667, 72, B07, S00, 1
B07, Trade, 5257.050, 71, B07, S00, 1
B07, Trade, 43588.183, 79, B07, S06, 1
B07, Trade, 131102.983, 78, B07, S03, 1
B07, Trade, 159705.900, 79, B07, S01, 1
B07, Trade, 210670.300, 75, B07, S01, 1
B07, Trade, 214909.067, 79, B07, S05, 1
B07, Trade, 267987.217, 75, B07, S05, 1
