B00, 0
B01, 0
B02, 1
B02, Trade, 403707.850, 65, B02, S00, 1
B03, 2
B03, Trade, 136617.950, 68, B03, S01, 1
B03, Trade, 408978.283, 68, B03, S01, 1
B04, 2
B04, Trade, 248312.017, 71, B04, S02, 1
B04, Trade, 248633.783, 71, B04, S03, 1
B05, 18
B05, Trade, 39723.383, 73, B05, S00, 1
B05, Trade, 64275.533, 73, B05, S00, 1
B05, Trade, 96718.600, 73, B05, S01, 1
B05, Trade, 97761.467, 73, B05, S01, 1
B05, Trade, 99116.867, 73, B05, S03, 1
B05, Trade, 146348.933, 73, B05, S01, 1
B05, Trade, 150375.217, 73, B05, S03, 1
B05, Trade, 205612.633, 73, B05, S00, 1
B05, Trade, 206262.983, 73, B05, S03, 1
B05, Trade, 207050.283, 71, B05, S03, 1
B05, Trade, 246514.700, 72, B05, S01, 1
B05, Trade, 246626.317, 73, B05, S02, 1
B05, Trade, 246838.850, 73, B05, S02, 1
B05, Trade, 248633.033, 72, B05, S02, 1
B05, Trade, 249374.467, 73, B05, S03, 1
B05, Trade, 250167.833, 73, B05, S03, 1
B05, Trade, 250450.700, 73, B05, S00, 1
B05, Trade, 341118.900, 73, B05, S02, 1
B06, 67
B06, Trade, 10640.100, 75, B06, S02, 1
B06, Trade, 55548.533, 76, B06, S00, 1
B06, Trade, 56259.867, 76, B06, S02, 1
B06, Trade, 66328.983, 76, B06, S02, 1
B06, Trade, 67548.583, 76, B06, S00, 1
B06, Trade, 69067.450, 76, B06, S02, 1
B06, Trade, 81927.467, 76, B06, S03, 1
B06, Trade, 147293.167, 75, B06, S03, 1
B06, Trade, 175389.933, 76, B06, S04, 1
B06, Trade, 175885.900, 76, B06, S04, 1
B06, Trade, 180075.050, 73, B06, S00, 1
B06, Trade, 207050.850, 70, B06, S00, 1
B06, Trade, 207346.533, 73, B06, S03, 1
B06, Trade, 223799.750, 76, B06, S01, 1
B06, Trade, 237734.717, 76, B06, S06, 1
B06, Trade, 241485.483, 76, B06, S02, 1
