B00, 0
B01, 1
B01, Trade, 71924.800, 62, B01, S00, 1
B02, 0
B03, 0
B04, 7
B04, Trade, 187518.050, 70, B04, S01, 1
B04, Trade, 189403.883, 71, B04, S01, 1
B04, Trade, 190329.100, 71, B04, S01, 1
B04, Trade, 190588.433, 71, B04, S01, 1
B04, Trade, 191422.900, 70, B04, S03, 1
B04, Trade, 191975.233, 70, B04, S01, 1
B04, Trade, 194181.883, 71, B04, S01, 1
B05, 2
B05, Trade, 333999.583, 73, B05, S04, 1
B05, Trade, 373640.600, 73, B05, S04, 1
B06, 50
B06, Trade, 44306.633, 76, B06, S03, 1
B06, Trade, 47313.550, 76, B06, S05, 1
B06, Trade, 64965.033, 76, B06, S00, 1
B06, Trade, 65174.683, 76, B06, S01, 1
B06, Trade, 65392.967, 76, B06, S00, 1
B06, Trade, 66127.300, 76, B06, S01, 1
B06, Trade, 66903.767, 76, B06, S03, 1
B06, Trade, 67253.833, 76, B06, S01, 1
B06, Trade, 68941.817, 74, B06, S04, 1
B06, Trade, 69346.017, 76, B06, S04, 1
B06, Trade, 69380.117, 76, B06, S04, 1
B06, Trade, 69565.300, 76, B06, S03, 1
B06, Trade, 69934.833, 76, B06, S04, 1
B06, Trade, 71971.967, 76, B06, S03, 1
B06, Trade, 84899.817, 76, B06, S00, 1
B06, Trade, 144063.367, 76, B06, S00, 1
B06, Trade, 144766.100, 76, B06, S01, 1
B06, Trade, 145077.550, 76, B06, S01, 1
B06, Trade, 145533.950, 76, B06, S02, 1
B06, Trade, 145979.400, 76, B06, S02, 1
B06, Trade, 149821.517, 76, B06, S01, 1
B06, Trade, 153038.583, 76, B06, S03, 1
B06, Trade, 180586.717, 76, B06, S06, 1
B06, Trade, 202079.083, 76, B06, S00, 1
B06, Trade, 202118.817, 76, B06, S00, 1
B06, Trade, 202487.083, 76, B06, S00, 1
B06, Trade, 202748.850, 76, B06, S04, 1
B06, Trade, 203586.950, 76, B06, S00, 1
B06, Trade, 212844.900, 76, B06, S00, 1
B06, Trade, 213991.500, 76, B06, S03, 1
B06, Trade, 215321.800, 76, B06, S02, 1
B06, Trade, 215591.733, 76, B06, S00, 1
B06, Trade, 215665.567, 76, B06, S00, 1
B06, Trade, 245062.167, 74, B06, S02, 1
B06, Trade, 276045.517, 76, B06, S03, 1
B06, Trade, 328122.817, 76, B06, S03, 1
B06, Trade, 331380.900, 76, B06, S03, 1
B06, Trade, 331869.050, 76, B06, S04, 1
B06, Trade, 334302.967, 76, S06, B06, 1
B06, Trade, 334476.083, 76, B06, S06, 1
B06, Trade, 335082.217, 76, B06, S00, 1
B06, Trade, 335398.767, 76, B06, S03, 1
B06, Trade, 335945.233, 76, B06, S03, 1
B06, Trade, 335968.650, 76, B06, S00, 1
B06, Trade, 336099.033, 76, B06, S06, 1
B06, Trade, 336325.133, 76, B06, S04, 1
B06, Trade, 336699.750, 76, B06, S00, 1
B06, Trade, 338132.350, 76, S06, B06, 1
B06, Trade, 338167.317, 76, B06, S04, 1
B06, Trade, 373640.317, 75, B06, S03, 1
B07, 100
B07, Trade, 215498.100, 79, B07, S03, 1
B07, Trade, 215591.200, 79, B07, S02, 1
B07, Trade, 215665.333, 79, B07, S01, 1
B07, Trade, 215699.717, 79, B07, S02, 1
B07, Trade, 215905.133, 79, B07, S02, 1
B07, Trade, 215936.850, 79, B07, S00, 1
B07, Trade, 223296.767, 79, B07, S03, 1
B07, Trade, 224520.550, 79, B07, S04, 1
B07, Trade, 225312.667, 79, B07, S04, 1
