B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B05, Trade, 113820.333, 72, S02, B05, 1
B05, Trade, 122492.300, 71, B05, S02, 1
B05, Trade, 201912.933, 68, B05, S01, 1
B06, 1
B06, Trade, 44398.867, 73, B06, S03, 1
B07, 100
B07, Trade, 58215.950, 79, B07, S04, 1
B07, Trade, 59980.217, 75, B07, S00, 1
B07, Trade, 61760.267, 79, B07, S01, 1
B07, Trade, 62655.017, 79, B07, S01, 1
B07, Trade, 63644.583, 79, B07, S01, 1
B07, Trade, 63966.617, 78, B07, S03, 1
B07, Trade, 64421.317, 77, B07, S00, 1
B07, Trade, 73998.050, 79, B07, S00, 1
B07, Trade, 80300.767, 70, S03, B07, 1
B07, Trade, 92039.200, 73, B07, S00, 1
B07, Trade, 93774.417, 71, B07, S01, 1
B07, Trade, 106100.333, 77, B07, S03, 1
B07, Trade, 110891.433, 75, B07, S02, 1
B07, Trade, 194510.717, 79, B07, S01, 1
B07, Trade, 196421.650, 79, B07, S02, 1
B07, Trade, 197519.517, 78, B07, S02, 1
B07, Trade, 197904.817, 79, B07, S02, 1
B07, Trade, 201303.783, 79, B07, S02, 1
B07, Trade, 210500.800, 78, B07, S02, 1
B07, Trade, 213628.250, 79, B07, S03, 1
B07, Trade, 216716.217, 74, B07, S04, 1
B07, Trade, 217316.783, 78, B07, S00, 1
B07, Trade, 217619.267, 79, B07, S04, 1
B07, Trade, 218291.250, 79, B07, S02, 1
B07, Trade, 218486.100, 78, B07, S04, 1
B07, Trade, 218533.267, 78, B07, S01, 1
B07, Trade, 218673.783, 79, B07, S03, 1
B07, Trade, 219296.183, 78, B07, S03, 1
B07, Trade, 219869.067, 78, B07, S03, 1
B07, Trade, 220637.233, 78, B07, S02, 1
B07, Trade, 221283.167, 79, B07, S00, 1
B07, Trade, 221408.533, 79, B07, S00, 1
B07, Trade, 221687.050, 79, B07, S01, 1
B07, Trade, 222723.233, 79, B07, S04, 1
B07, Trade, 238682.800, 79, B07, S03, 1
B07, Trade, 257501.017, 79, B07, S06, 1
B07, Trade, 267614.500, 79, B07, S05, 1
B07, Trade, 268455.900, 79, B07, S04, 1
B07, Trade, 268838.400, 79, B07, S04, 1
