B00, 0
B01, 0
B02, 0
B03, 5
B03, Trade, 159933.667, 64, B03, S00, 1
B03, Trade, 267924.550, 68, B03, S02, 1
B03, Trade, 344049.883, 68, B03, S02, 1
B03, Trade, 377946.050, 68, B03, S00, 1
B03, Trade, 398208.583, 68, B03, S02, 1
B04, 36
B04, Trade, 16527.283, 71, B04, S02, 1
B04, Trade, 80920.133, 70, B04, S00, 1
B04, Trade, 91450.367, 71, B04, S02, 1
B04, Trade, 135547.533, 71, B04, S00, 1
B04, Trade, 135975.367, 70, B04, S00, 1
B04, Trade, 225900.267, 71, B04, S02, 1
B04, Trade, 268281.817, 71, B04, S02, 1
B04, Trade, 274772.250, 70, B04, S00, 1
B04, Trade, 275725.167, 71, B04, S00, 1
B04, Trade, 279730.350, 68, B04, S00, 1
B04, Trade, 324186.050, 71, B04, S02, 1
B04, Trade, 325319.567, 71, B04, S02, 1
B04, Trade, 325939.717, 71, B04, S03, 1
B04, Trade, 328268.033, 70, B04, S01, 1
B04, Trade, 328476.017, 71, B04, S02, 1
B04, Trade, 329830.783, 70, B04, S01, 1
B04, Trade, 330524.433, 71, B04, S00, 1
B04, Trade, 345888.717, 71, B04, S01, 1
B04, Trade, 346986.883, 71, B04, S00, 1
B04, Trade, 351214.633, 71, B04, S02, 1
B04, Trade, 351961.217, 71, B04, S00, 1
B04, Trade, 360589.583, 71, B04, S00, 1
B04, Trade, 360820.883, 69, B04, S02, 1
B04, Trade, 361456.500, 71, B04, S00, 1
B04, Trade, 364465.150, 71, B04, S02, 1
B04, Trade, 366948.933, 71, B04, S03, 1
B04, Trade, 396307.733, 71, B04, S00, 1
B04, Trade, 403069.033, 71, B04, S01, 1
B04, Trade, 408101.750, 71, B04, S00, 1
B04, Trade, 409389.000, 71, B04, S02, 1
B04, Trade, 412681.700, 71, B04, S01, 1
B04, Trade, 412970.200, 71, B04, S02, 1
B04, Trade, 418377.383, 71, B04, S02, 1
B04, Trade, 419980.083, 70, B04, S01, 1
B04, Trade, 420004.700, 71, B04, S00, 1
B04, Trade, 424003.500, 66, B04, S01, 1
B05, 70
B05, Trade, 48776.250, 73, B05, S02, 1
B05, Trade, 64812.717, 71, S04, B05, 1
B05, Trade, 65404.183, 69, B05, S02, 1
B05, Trade, 69878.200, 72, B05, S00, 1
B05, Trade, 122408.800, 71, B05, S03, 1
B05, Trade, 122976.067, 73, B05, S00, 1
B05, Trade, 123704.950, 73, B05, S00, 1
B05, Trade, 123775.033, 73, B05, S02, 1
B05, Trade, 125193.250, 72, B05, S00, 1
B05, Trade, 125672.833, 73, B05, S02, 1
B05, Trade, 126605.733, 73, S04, B05, 1
B05, Trade, 137703.350, 73, B05, S02, 1
B05, Trade, 138982.083, 72, B05, S03, 1
B05, Trade, 141778.933, 71, B05, S01, 1
B05, Trade, 144339.733, 73, B05, S02, 1
B05, Trade, 146239.900, 73, B05, S03, 1
B05, Trade, 146999.583, 73, B05, S03, 1
B05, Trade, 159528.900, 68, S03, B05, 1
B05, Trade, 159772.317, 73, B05, S00, 1
B05, Trade, 161366.117, 69, B05, S00, 1
B05, Trade, 162620.933, 73, B05, S04, 1
B05, Trade, 162654.617, 70, B05, S03, 1
B05, Trade, 162924.200, 73, B05, S03, 1
B05, Trade, 163081.083, 69, B05, S00, 1
B05, Trade, 164747.933, 72, B05, S00, 1
B05, Trade, 164908.833, 72, B05, S02, 1
B05, Trade, 174885.633, 70, B05, S03, 1
B05, Trade, 188433.967, 73, B05, S02, 1
B05, Trade, 209036.900, 72, B05, S02, 1
B05, Trade, 209599.867, 73, B05, S02, 1
B05, Trade, 212363.450, 73, B05, S01, 1
B05, Trade, 215021.667, 73, B05, S00, 1
B05, Trade, 218852.783, 72, B05, S00, 1
B05, Trade, 218959.800, 73, B05, S02, 1
B05, Trade, 222708.483, 71, B05, S04, 1
B05, Trade, 248634.017, 73, B05, S04, 1
B05, Trade, 252593.967, 71, B05, S02, 1
B05, Trade, 253086.300, 69, B05, S00, 1
B05, Trade, 258472.650, 69, B05, S02, 1
B05, Trade, 281776.417, 72, B05, S01, 1
