B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 67283.817, 71, B04, S02, 1
B04, Trade, 128098.750, 71, B04, S02, 1
B05, 54
B05, Trade, 66300.000, 71, B05, S02, 1
B05, Trade, 68942.800, 72, B05, S02, 1
B05, Trade, 69287.617, 73, B05, S00, 1
B05, Trade, 69288.667, 72, B05, S04, 1
B05, Trade, 70311.217, 73, B05, S01, 1
B05, Trade, 70484.900, 73, B05, S01, 1
B05, Trade, 71422.617, 72, B05, S02, 1
B05, Trade, 71794.683, 73, B05, S05, 1
B05, Trade, 71897.283, 72, B05, S00, 1
B05, Trade, 84302.600, 73, B05, S03, 1
B05, Trade, 89885.900, 73, B05, S01, 1
B05, Trade, 100964.067, 73, B05, S02, 1
B05, Trade, 103468.167, 73, B05, S00, 1
B05, Trade, 106872.967, 72, B05, S01, 1
B05, Trade, 107395.950, 73, B05, S01, 1
B05, Trade, 157087.000, 73, B05, S03, 1
B05, Trade, 194880.333, 73, B05, S00, 1
B05, Trade, 197815.967, 73, B05, S03, 1
B05, Trade, 203387.717, 73, B05, S01, 1
B05, Trade, 204071.783, 73, B05, S02, 1
B05, Trade, 204288.483, 73, B05, S03, 1
B05, Trade, 206496.267, 73, B05, S01, 1
B05, Trade, 206685.200, 73, B05, S01, 1
B05, Trade, 207109.350, 73, B05, S01, 1
B05, Trade, 207628.800, 73, B05, S01, 1
B05, Trade, 207729.200, 73, B05, S00, 1
B05, Trade, 208567.933, 73, B05, S03, 1
B05, Trade, 208619.033, 73, B05, S01, 1
B05, Trade, 208750.150, 73, B05, S03, 1
B05, Trade, 232770.283, 73, B05, S03, 1
B05, Trade, 232874.283, 73, B05, S02, 1
B05, Trade, 233092.167, 73, B05, S02, 1
B05, Trade, 233971.833, 73, B05, S00, 1
B05, Trade, 234957.933, 73, B05, S00, 1
B05, Trade, 235337.617, 73, B05, S00, 1
B05, Trade, 236784.717, 73, B05, S02, 1
B05, Trade, 237327.550, 73, B05, S00, 1
B05, Trade, 238678.300, 73, B05, S03, 1
B05, Trade, 302842.250, 73, B05, S05, 1
B05, Trade, 303782.017, 73, B05, S03, 1
B05, Trade, 304510.067, 70, B05, S00, 1
B05, Trade, 304754.850, 70, B05, S01, 1
B05, Trade, 305161.683, 73, B05, S02, 1
B05, Trade, 305771.283, 73, B05, S00, 1
B05, Trade, 306003.667, 73, B05, S03, 1
B05, Trade, 306081.983, 72, B05, S00, 1
B05, Trade, 306297.783, 73, B05, S01, 1
B05, Trade, 307989.917, 73, B05, S03, 1
B05, Trade, 309148.017, 73, B05, S02, 1
B05, Trade, 318525.067, 67, S02, B05, 1
B05, Trade, 332147.867, 73, B05, S05, 1
B05, Trade, 333902.917, 73, B05, S01, 1
B05, Trade, 335920.100, 73, B05, S01, 1
B05, Trade, 366616.600, 73, B05, S04, 1
B06, 100
B06, Trade, 303264.833, 76, B06, S04, 1
B06, Trade, 303484.233, 76, B06, S03, 1
B06, Trade, 303645.217, 76, B06, S00, 1
B06, Trade, 303780.483, 76, B06, S05, 1
B06, Trade, 304135.200, 76, B06, S02, 1
B06, Trade, 304442.267, 76, B06, S02, 1
B06, Trade, 304499.217, 76, B06, S04, 1
B06, Trade, 304502.117, 76, B06, S03, 1
B06, Trade, 304812.650, 76, B06, S03, 1
B06, Trade, 304917.733, 76, B06, S02, 1
B06, Trade, 305308.750, 76, B06, S02, 1
B06, Trade, 305762.617, 75, B06, S04, 1
B06, Trade, 305984.533, 76, B06, S02, 1
B06, Trade, 306002.867, 76, B06, S02, 1
B06, Trade, 306080.750, 76, B06, S03, 1
B06, Trade, 306130.717, 76, B06, S00, 1
B06, Trade, 306265.083, 76, B06, S02, 1
B06, Trade, 306332.700, 76, B06, S02, 1
B06, Trade, 306372.850, 76, B06, S05, 1
B06, Trade, 306545.817, 76, B06, S05, 1
B06, Trade, 306585.683, 76, B06, S02, 1
B06, Trade, 307005.750, 76, B06, S03, 1
B06, Trade, 307066.683, 76, B06, S03, 1
B06, Trade, 307213.767, 74, B06, S00, 1
B06, Trade, 307356.983, 76, B06, S03, 1
B06, Trade, 307513.883, 76, B06, S00, 1
B06, Trade, 307797.200, 76, B06, S02, 1
B06, Trade, 307827.200, 75, B06, S03, 1
B06, Trade, 307913.733, 76, B06, S04, 1
B06, Trade, 307969.000, 76, B06, S02, 1
B06, Trade, 307989.217, 76, B06, S05, 1
B06, Trade, 308061.150, 76, B06, S01, 1
B06, Trade, 308173.317, 76, B06, S04, 1
B06, Trade, 308349.217, 76, B06, S04, 1
B06, Trade, 308502.183, 76, B06, S03, 1
B06, Trade, 308622.083, 76, B06, S00, 1
B06, Trade, 308661.667, 76, B06, S03, 1
B06, Trade, 308765.033, 76, B06, S03, 1
B06, Trade, 309085.883, 76, B06, S00, 1
B06, Trade, 309235.350, 76, B06, S04, 1
B06, Trade, 309311.450, 76, B06, S04, 1
B06, Trade, 309353.100, 76, B06, S02, 1
B06, Trade, 309542.183, 76, B06, S03, 1
B06, Trade, 320479.917, 76, B06, S02, 1
B06, Trade, 320852.783, 76, B06, S00, 1
B06, Trade, 321553.217, 76, B06, S02, 1
B06, Trade, 321622.333, 75, S05, B06, 1
B06, Trade, 321623.483, 76, B06, S00, 1
B06, Trade, 324774.483, 76, B06, S04, 1
B06, Trade, 325594.933, 76, B06, S00, 1
B06, Trade, 329027.233, 76, B06, S05, 1
B06, Trade, 330514.767, 76, B06, S00, 1
B06, Trade, 331594.517, 76, B06, S04, 1
B06, Trade, 331781.783, 76, B06, S05, 1
B06, Trade, 332112.167, 76, B06, S01, 1
B06, Trade, 332147.567, 76, B06, S04, 1
B06, Trade, 332183.333, 76, B06, S01, 1
B06, Trade, 332725.233, 76, B06, S01, 1
B06, Trade, 333173.050, 76, B06, S01, 1
B06, Trade, 333863.033, 76, B06, S00, 1
B06, Trade, 335409.867, 76, B06, S04, 1
B06, Trade, 335920.033, 76, B06, S05, 1
B06, Trade, 335961.733, 76, B06, S00, 1
B06, Trade, 336156.700, 76, B06, S01, 1
B06, Trade, 337078.567, 76, B06, S04, 1
B06, Trade, 337482.650, 76, B06, S01, 1
B06, Trade, 337581.217, 76, B06, S01, 1
B06, Trade, 337667.083, 76, B06, S00, 1
B06, Trade, 353270.750, 76, B06, S00, 1
B06, Trade, 353899.100, 76, B06, S00, 1
B06, Trade, 364416.117, 76, B06, S05, 1
B06, Trade, 365829.600, 76, B06, S04, 1
B06, Trade, 370993.717, 76, B06, S02, 1
B06, Trade, 374007.667, 76, B06, S06, 1
B06, Trade, 381678.233, 76, B06, S05, 1
B06, Trade, 382223.967, 76, B06, S06, 1
B06, Trade, 383147.917, 76, B06, S04, 1
B06, Trade, 384829.167, 76, B06, S05, 1
B06, Trade, 385745.700, 76, B06, S04, 1
B06, Trade, 386137.917, 76, B06, S00, 1
B06, Trade, 387914.600, 76, B06, S00, 1
B06, Trade, 388188.667, 76, B06, S04, 1
B06, Trade, 388267.600, 76, B06, S00, 1
B06, Trade, 388387.667, 76, B06, S05, 1
