B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 16
B06, Trade, 52104.567, 76, B06, S05, 1
B06, Trade, 52710.850, 73, B06, S01, 1
B06, Trade, 108069.450, 68, B06, S00, 1
B06, Trade, 145070.850, 72, B06, S02, 1
B06, Trade, 152761.433, 75, B06, S05, 1
B06, Trade, 218424.317, 76, B06, S02, 1
B06, Trade, 220218.433, 72, B06, S00, 1
B06, Trade, 242368.600, 76, B06, S01, 1
B06, Trade, 312744.900, 75, B06, S01, 1
B06, Trade, 314741.883, 75, B06, S03, 1
B06, Trade, 316361.567, 76, B06, S01, 1
B06, Trade, 348852.900, 76, B06, S00, 1
B06, Trade, 377551.533, 71, B06, S04, 1
B06, Trade, 379167.783, 71, B06, S00, 1
B06, Trade, 393425.583, 74, B06, S00, 1
B06, Trade, 405191.350, 71, B06, S00, 1
B07, 100
B07, Trade, 370439.450, 79, B07, S01, 1
B07, Trade, 370891.167, 77, B07, S01, 1
B07, Trade, 370987.133, 78, B07, S06, 1
B07, Trade, 371051.583, 78, B07, S00, 1
B07, Trade, 371869.667, 78, B07, S01, 1
B07, Trade, 372075.367, 79, B07, S01, 1
B07, Trade, 372109.950, 79, B07, S03, 1
B07, Trade, 374411.617, 79, B07, S01, 1
B07, Trade, 374598.267, 79, B07, S00, 1
B07, Trade, 374848.883, 78, B07, S02, 1
B07, Trade, 374959.700, 76, B07, S00, 1
B07, Trade, 375245.167, 76, B07, S04, 1
B07, Trade, 375448.983, 79, B07, S03, 1
B07, Trade, 375722.917, 79, B07, S04, 1
B07, Trade, 375880.600, 76, B07, S00, 1
B07, Trade, 376016.817, 77, B07, S03, 1
B07, Trade, 376104.017, 77, B07, S00, 1
B07, Trade, 376278.067, 79, B07, S02, 1
B07, Trade, 376417.483, 78, B07, S00, 1
B07, Trade, 376489.267, 79, B07, S03, 1
B07, Trade, 376564.933, 79, B07, S04, 1
B07, Trade, 376644.667, 79, B07, S00, 1
B07, Trade, 376741.033, 79, B07, S01, 1
B07, Trade, 376903.783, 79, B07, S00, 1
B07, Trade, 377223.800, 76, B07, S04, 1
B07, Trade, 377379.850, 76, B07, S03, 1
B07, Trade, 377682.650, 76, B07, S00, 1
B07, Trade, 377837.100, 79, B07, S00, 1
B07, Trade, 378055.033, 79, B07, S02, 1
B07, Trade, 378149.933, 79, B07, S01, 1
B07, Trade, 378334.383, 78, B07, S02, 1
B07, Trade, 378371.617, 78, B07, S04, 1
B07, Trade, 378393.017, 77, B07, S00, 1
B07, Trade, 378549.650, 79, B07, S02, 1
B07, Trade, 378633.433, 79, B07, S01, 1
B07, Trade, 378734.550, 76, S06, B07, 1
B07, Trade, 378875.167, 79, B07, S00, 1
B07, Trade, 378960.283, 79, B07, S02, 1
B07, Trade, 379037.883, 77, B07, S00, 1
B07, Trade, 379183.133, 79, B07, S01, 1
B07, Trade, 379225.983, 77, B07, S04, 1
B07, Trade, 379306.167, 78, B07, S06, 1
B07, Trade, 379836.533, 79, B07, S00, 1
B07, Trade, 380228.350, 78, B07, S03, 1
B07, Trade, 380342.050, 78, B07, S04, 1
B07, Trade, 380397.500, 76, B07, S00, 1
B07, Trade, 380654.817, 79, B07, S00, 1
B07, Trade, 380806.983, 76, S04, B07, 1
B07, Trade, 380858.917, 79, B07, S02, 1
B07, Trade, 380873.383, 78, B07, S00, 1
B07, Trade, 381167.633, 77, B07, S00, 1
B07, Trade, 381182.867, 78, B07, S00, 1
B07, Trade, 381211.667, 79, B07, S01, 1
B07, Trade, 381429.850, 79, S03, B07, 1
B07, Trade, 381442.683, 77, B07, S02, 1
B07, Trade, 381714.533, 79, B07, S05, 1
B07, Trade, 382050.050, 76, B07, S05, 1
B07, Trade, 382837.000, 79, B07, S03, 1
B07, Trade, 382995.950, 79, B07, S01, 1
B07, Trade, 382997.067, 78, B07, S04, 1
B07, Trade, 383236.517, 78, B07, S05, 1
B07, Trade, 383567.217, 77, B07, S00, 1
B07, Trade, 384211.750, 78, B07, S06, 1
B07, Trade, 384411.667, 78, B07, S00, 1
B07, Trade, 384933.250, 77, B07, S01, 1
B07, Trade, 385798.167, 76, B07, S01, 1
B07, Trade, 386561.867, 79, B07, S05, 1
B07, Trade, 386652.117, 78, B07, S01, 1
B07, Trade, 386705.417, 78, B07, S00, 1
B07, Trade, 386750.450, 78, B07, S00, 1
B07, Trade, 386890.917, 79, S06, B07, 1
B07, Trade, 386958.567, 79, B07, S05, 1
B07, Trade, 387203.083, 79, B07, S03, 1
B07, Trade, 387579.867, 79, B07, S00, 1
B07, Trade, 388063.583, 79, B07, S00, 1
B07, Trade, 388256.467, 79, B07, S05, 1
B07, Trade, 388303.000, 79, B07, S00, 1
B07, Trade, 388341.100, 78, B07, S01, 1
B07, Trade, 388507.817, 79, B07, S02, 1
B07, Trade, 388540.900, 79, B07, S03, 1
B07, Trade, 390025.033, 78, B07, S02, 1
B07, Trade, 390296.600, 78, B07, S02, 1
B07, Trade, 391752.783, 79, B07, S02, 1
B07, Trade, 393526.983, 79, B07, S04, 1
B07, Trade, 394506.667, 79, B07, S01, 1
B07, Trade, 394738.683, 79, B07, S03, 1
B07, Trade, 399984.883, 79, B07, S05, 1
B07, Trade, 410959.383, 79, B07, S04, 1
B07, Trade, 411023.033, 79, B07, S05, 1
B07, Trade, 411396.483, 78, B07, S02, 1
B07, Trade, 412382.250, 78, B07, S01, 1
B07, Trade, 413556.267, 78, B07, S06, 1
B07, Trade, 414955.767, 79, B07, S02, 1
B07, Trade, 415096.717, 77, B07, S01, 1
B07, Trade, 415728.583, 78, B07, S00, 1
B07, Trade, 415757.533, 78, B07, S02, 1
B07, Trade, 416375.317, 79, B07, S02, 1
B07, Trade, 416430.867, 75, B07, S02, 1
B07, Trade, 416643.433, 78, B07, S01, 1
B07, Trade, 417161.833, 79, B07, S00, 1
B08, 38
B08, Trade, 15516.517, 80, B08, S01, 1
B08, Trade, 25708.533, 82, B08, S03, 1
B08, Trade, 26789.317, 80, B08, S00, 1
B08, Trade, 30624.200, 82, B08, S01, 1
B08, Trade, 31202.233, 81, B08, S01, 1
B08, Trade, 35143.317, 82, B08, S02, 1
B08, Trade, 35922.333, 81, B08, S05, 1
B08, Trade, 47721.133, 82, B08, S00, 1
B08, Trade, 64538.333, 80, B08, S06, 1
B08, Trade, 67245.333, 78, B08, S02, 1
B08, Trade, 67731.450, 80, B08, S04, 1
B08, Trade, 69742.100, 80, B08, S02, 1
B08, Trade, 69940.250, 81, B08, S02, 1
B08, Trade, 70999.617, 82, B08, S03, 1
B08, Trade, 71040.150, 82, B08, S05, 1
B08, Trade, 76974.617, 82, B08, S00, 1
B08, Trade, 90628.767, 81, B08, S00, 1
B08, Trade, 116824.100, 78, B08, S02, 1
B08, Trade, 139681.850, 78, B08, S06, 1
B08, Trade, 146052.467, 81, B08, S02, 1
B08, Trade, 146106.883, 80, B08, S03, 1
B08, Trade, 147006.083, 81, B08, S02, 1
B08, Trade, 147476.367, 80, B08, S03, 1
B08, Trade, 149306.433, 81, B08, S01, 1
B08, Trade, 149805.233, 82, B08, S05, 1
B08, Trade, 157757.717, 76, B08, S05, 1
B08, Trade, 175155.117, 72, B08, S01, 1
B08, Trade, 179041.717, 76, B08, S01, 1
B08, Trade, 184669.333, 79, B08, S05, 1
B08, Trade, 193299.783, 79, B08, S02, 1
B08, Trade, 198554.117, 79, B08, S05, 1
B08, Trade, 204810.500, 78, B08, S03, 1
B08, Trade, 277888.133, 81, B08, S00, 1
B08, Trade, 308155.450, 82, B08, S02, 1
B08, Trade, 342340.550, 80, B08, S05, 1
B08, Trade, 349455.433, 77, B08, S05, 1
B08, Trade, 374402.050, 77, B08, S02, 1
B08, Trade, 386560.417, 80, B08, S00, 1
B09, 100
B09, Trade, 362162.500, 82, B09, S02, 1
B09, Trade, 362299.583, 84, B09, S03, 1
