B00, 0
B01, 1
B01, Trade, 187217.733, 62, B01, S00, 1
B02, 0
B03, 4
B03, Trade, 130467.067, 67, B03, S00, 1
B03, Trade, 130668.600, 68, B03, S02, 1
B03, Trade, 166248.250, 68, B03, S01, 1
B03, Trade, 277409.033, 67, B03, S01, 1
B04, 25
B04, Trade, 39591.167, 71, B04, S01, 1
B04, Trade, 146594.233, 71, B04, S01, 1
B04, Trade, 149393.700, 71, B04, S01, 1
B04, Trade, 150715.300, 71, B04, S01, 1
B04, Trade, 195629.483, 70, B04, S01, 1
B04, Trade, 254081.900, 71, B04, S00, 1
B04, Trade, 256119.167, 71, B04, S04, 1
B04, Trade, 256240.950, 71, B04, S01, 1
B04, Trade, 256807.700, 71, B04, S02, 1
B04, Trade, 257091.583, 68, B04, S02, 1
B04, Trade, 257106.950, 71, B04, S02, 1
B04, Trade, 260264.517, 71, B04, S03, 1
B04, Trade, 261467.483, 71, B04, S02, 1
B04, Trade, 263700.667, 71, B04, S02, 1
B04, Trade, 263790.133, 71, B04, S01, 1
B04, Trade, 265747.600, 71, B04, S02, 1
B04, Trade, 325846.017, 71, B04, S01, 1
B04, Trade, 329461.283, 69, B04, S00, 1
B04, Trade, 348354.817, 69, B04, S00, 1
B04, Trade, 356636.167, 70, B04, S01, 1
B04, Trade, 377728.267, 71, B04, S01, 1
B04, Trade, 377869.450, 69, B04, S01, 1
B04, Trade, 378677.933, 71, B04, S00, 1
B04, Trade, 420975.483, 70, B04, S01, 1
B04, Trade, 424529.533, 71, B04, S01, 1
B05, 11
B05, Trade, 46403.050, 73, B05, S00, 1
B05, Trade, 49710.817, 70, B05, S00, 1
B05, Trade, 74015.550, 72, B05, S02, 1
B05, Trade, 76588.733, 73, B05, S02, 1
B05, Trade, 79137.100, 73, B05, S01, 1
B05, Trade, 151820.733, 72, B05, S01, 1
B05, Trade, 178988.850, 73, B05, S03, 1
B05, Trade, 194305.250, 71, B05, S02, 1
B05, Trade, 210667.333, 73, B05, S01, 1
B05, Trade, 271086.100, 71, B05, S00, 1
B05, Trade, 272210.567, 68, B05, S00, 1
B06, 34
B06, Trade, 13583.283, 76, B06, S05, 1
B06, Trade, 35571.100, 71, B06, S01, 1
B06, Trade, 77011.000, 76, B06, S03, 1
B06, Trade, 77265.433, 72, B06, S02, 1
B06, Trade, 109304.350, 75, B06, S00, 1
B06, Trade, 124563.933, 70, B06, S01, 1
B06, Trade, 124700.817, 74, B06, S01, 1
B06, Trade, 166782.000, 75, B06, S01, 1
B06, Trade, 194129.067, 71, B06, S01, 1
B06, Trade, 230945.817, 73, B06, S04, 1
B06, Trade, 235899.367, 73, B06, S02, 1
B06, Trade, 243364.300, 73, B06, S02, 1
B06, Trade, 252587.683, 72, B06, S01, 1
B06, Trade, 254700.750, 75, B06, S00, 1
B06, Trade, 268276.517, 73, B06, S00, 1
B06, Trade, 272744.867, 76, B06, S01, 1
B06, Trade, 272860.417, 76, B06, S03, 1
B06, Trade, 275810.467, 73, B06, S01, 1
B06, Trade, 276674.967, 76, B06, S00, 1
B06, Trade, 278031.017, 76, B06, S02, 1
B06, Trade, 279226.717, 76, B06, S00, 1
B06, Trade, 280007.767, 75, B06, S01, 1
B06, Trade, 306276.967, 76, B06, S01, 1
B06, Trade, 329506.317, 70, B06, S01, 1
B06, Trade, 360258.850, 75, B06, S01, 1
B06, Trade, 362601.367, 76, S05, B06, 1
B06, Trade, 366688.217, 76, B06, S02, 1
B06, Trade, 386391.417, 75, B06, S03, 1
B06, Trade, 394344.767, 71, B06, S00, 1
B06, Trade, 408785.500, 71, B06, S02, 1
B06, Trade, 413801.433, 76, B06, S03, 1
B06, Trade, 417200.117, 76, S06, B06, 1
B06, Trade, 419009.250, 75, B06, S01, 1
B06, Trade, 419204.717, 73, B06, S01, 1
B07, 100
B07, Trade, 420602.517, 78, B07, S06, 1
B07, Trade, 420622.217, 76, S06, B07, 1
B07, Trade, 420671.933, 79, B07, S00, 1
B07, Trade, 420765.933, 79, B07, S06, 1
B07, Trade, 420822.017, 77, B07, S04, 1
B07, Trade, 420853.933, 78, B07, S02, 1
B07, Trade, 420859.900, 79, B07, S06, 1
B07, Trade, 420882.600, 79, B07, S02, 1
B07, Trade, 420916.367, 79, B07, S06, 1
