B00, 0
B01, 0
B02, 0
B03, 3
B03, Trade, 152981.383, 68, B03, S01, 1
B03, Trade, 234806.733, 68, B03, S01, 1
B03, Trade, 361159.933, 68, B03, S02, 1
B04, 0
B05, 6
B05, Trade, 141330.267, 73, B05, S00, 1
B05, Trade, 143081.183, 73, B05, S04, 1
B05, Trade, 143202.617, 73, B05, S00, 1
B05, Trade, 162415.433, 69, S01, B05, 1
B05, Trade, 194013.167, 73, B05, S04, 1
B05, Trade, 247569.000, 72, B05, S00, 1
B06, 12
B06, Trade, 25749.083, 76, B06, S01, 1
B06, Trade, 33770.250, 76, B06, S04, 1
B06, Trade, 119412.883, 76, B06, S04, 1
B06, Trade, 124591.883, 74, B06, S00, 1
B06, Trade, 139609.883, 74, B06, S01, 1
B06, Trade, 159248.833, 75, B06, S01, 1
B06, Trade, 159873.767, 76, B06, S06, 1
B06, Trade, 161374.617, 75, B06, S04, 1
B06, Trade, 163355.350, 76, B06, S01, 1
B06, Trade, 163577.100, 75, B06, S04, 1
B06, Trade, 165543.633, 76, B06, S04, 1
B06, Trade, 221520.633, 75, B06, S01, 1
B07, 100
B07, Trade, 189978.367, 78, B07, S04, 1
B07, Trade, 192476.950, 79, B07, S01, 1
B07, Trade, 193272.900, 78, B07, S01, 1
B07, Trade, 194840.167, 79, B07, S00, 1
B07, Trade, 195311.783, 79, B07, S00, 1
B07, Trade, 197546.233, 79, B07, S06, 1
B07, Trade, 198619.450, 79, B07, S01, 1
B07, Trade, 200365.867, 77, B07, S00, 1
B07, Trade, 200423.367, 79, B07, S04, 1
B07, Trade, 200653.217, 79, B07, S04, 1
B07, Trade, 201205.000, 79, B07, S04, 1
B07, Trade, 201513.117, 78, B07, S04, 1
B07, Trade, 201605.650, 79, B07, S02, 1
B07, Trade, 202112.850, 79, B07, S02, 1
B07, Trade, 202386.050, 79, B07, S02, 1
B07, Trade, 202829.633, 79, B07, S01, 1
B07, Trade, 202849.650, 78, B07, S02, 1
B07, Trade, 202969.083, 79, B07, S00, 1
B07, Trade, 203062.967, 79, B07, S04, 1
B07, Trade, 203562.650, 78, B07, S00, 1
B07, Trade, 203709.750, 79, B07, S02, 1
B07, Trade, 203795.000, 79, B07, S00, 1
B07, Trade, 203805.683, 79, B07, S01, 1
B07, Trade, 203948.650, 77, B07, S04, 1
B07, Trade, 204396.000, 79, B07, S01, 1
B07, Trade, 205472.750, 79, B07, S04, 1
B07, Trade, 205802.017, 79, B07, S02, 1
B07, Trade, 206423.617, 79, B07, S02, 1
B07, Trade, 206958.400, 78, B07, S04, 1
B07, Trade, 207169.767, 79, B07, S01, 1
B07, Trade, 207483.250, 78, B07, S01, 1
B07, Trade, 208469.400, 78, B07, S02, 1
B07, Trade, 255334.133, 79, B07, S00, 1
B07, Trade, 278355.933, 79, B07, S00, 1
B07, Trade, 281918.817, 79, B07, S07, 1
B07, Trade, 283869.083, 78, B07, S02, 1
B07, Trade, 288609.367, 79, B07, S06, 1
B07, Trade, 288710.700, 79, B07, S06, 1
B07, Trade, 288909.300, 79, B07, S05, 1
B07, Trade, 289461.783, 76, B07, S01, 1
B07, Trade, 289538.550, 79, B07, S04, 1
B07, Trade, 289767.083, 79, B07, S04, 1
B07, Trade, 290039.683, 78, B07, S01, 1
B07, Trade, 291119.733, 79, B07, S01, 1
B07, Trade, 291492.400, 79, B07, S06, 1
B07, Trade, 292078.283, 79, B07, S04, 1
B07, Trade, 292872.000, 79, B07, S04, 1
B07, Trade, 293018.833, 79, B07, S04, 1
B07, Trade, 293707.367, 79, B07, S04, 1
B07, Trade, 293765.917, 79, B07, S05, 1
B07, Trade, 296310.900, 79, B07, S00, 1
B07, Trade, 296621.967, 79, B07, S00, 1
B07, Trade, 296972.667, 77, B07, S04, 1
B07, Trade, 298602.117, 79, B07, S02, 1
B07, Trade, 299441.617, 79, B07, S00, 1
B07, Trade, 307613.150, 79, B07, S00, 1
B07, Trade, 308480.517, 76, B07, S04, 1
B07, Trade, 308812.250, 79, B07, S02, 1
B07, Trade, 325128.667, 78, B07, S04, 1
B07, Trade, 326223.367, 79, B07, S03, 1
B07, Trade, 327586.267, 79, B07, S06, 1
B07, Trade, 327920.383, 78, B07, S06, 1
B07, Trade, 328186.350, 79, B07, S06, 1
B07, Trade, 329870.900, 79, B07, S06, 1
B07, Trade, 330120.900, 77, B07, S03, 1
B07, Trade, 330517.617, 78, B07, S00, 1
B07, Trade, 331255.933, 79, B07, S00, 1
B07, Trade, 339023.217, 79, B07, S02, 1
B07, Trade, 343866.033, 79, B07, S07, 1
B07, Trade, 346909.483, 79, B07, S01, 1
B07, Trade, 348293.600, 79, B07, S00, 1
B07, Trade, 349092.350, 79, B07, S00, 1
B07, Trade, 349104.200, 79, B07, S00, 1
B07, Trade, 350650.533, 79, B07, S01, 1
B07, Trade, 352096.867, 78, B07, S00, 1
B07, Trade, 355656.983, 79, B07, S03, 1
B07, Trade, 369259.833, 79, B07, S01, 1
B07, Trade, 371758.900, 78, B07, S04, 1
B07, Trade, 372781.017, 79, B07, S03, 1
B07, Trade, 373621.867, 79, B07, S01, 1
B07, Trade, 381671.800, 79, B07, S00, 1
B07, Trade, 381839.583, 79, B07, S03, 1
B07, Trade, 382197.217, 79, B07, S00, 1
B07, Trade, 383546.283, 78, B07, S00, 1
B07, Trade, 383718.167, 79, B07, S00, 1
B07, Trade, 385570.300, 79, B07, S03, 1
B07, Trade, 385778.067, 79, B07, S04, 1
B07, Trade, 386325.983, 78, B07, S03, 1
B07, Trade, 387100.667, 75, B07, S00, 1
B07, Trade, 387837.133, 77, B07, S00, 1
B07, Trade, 388405.150, 78, B07, S00, 1
B07, Trade, 388661.567, 79, B07, S00, 1
B07, Trade, 398924.217, 79, B07, S02, 1
B07, Trade, 401519.667, 79, B07, S02, 1
B07, Trade, 403670.633, 79, B07, S05, 1
B07, Trade, 408565.433, 79, B07, S01, 1
B07, Trade, 409430.367, 79, B07, S06, 1
B07, Trade, 418669.817, 79, B07, S00, 1
B07, Trade, 423170.483, 78, B07, S00, 1
B07, Trade, 424222.767, 79, B07, S01, 1
B08, 100
B08, Trade, 369119.700, 81, B08, S06, 1
B08, Trade, 369234.050, 82, B08, S03, 1
B08, Trade, 369258.283, 82, B08, S00, 1
B08, Trade, 369345.633, 80, B08, S01, 1
B08, Trade, 369416.033, 82, B08, S06, 1
B08, Trade, 369475.400, 82, B08, S03, 1
B08, Trade, 369512.717, 82, B08, S03, 1
B08, Trade, 369567.167, 82, B08, S08, 1
B08, Trade, 369615.367, 82, B08, S01, 1
B08, Trade, 369648.300, 82, B08, S08, 1
B08, Trade, 369793.850, 82, B08, S04, 1
B08, Trade, 369977.783, 82, B08, S04, 1
B08, Trade, 370217.083, 82, B08, S04, 1
B08, Trade, 370233.117, 82, B08, S00, 1
B08, Trade, 370264.450, 82, B08, S05, 1
B08, Trade, 370325.667, 82, B08, S03, 1
B08, Trade, 370405.917, 82, B08, S06, 1
B08, Trade, 370475.117, 82, B08, S06, 1
B08, Trade, 370609.200, 80, B08, S03, 1
B08, Trade, 370738.883, 82, B08, S06, 1
B08, Trade, 370981.183, 82, B08, S01, 1
B08, Trade, 371035.250, 82, B08, S08, 1
B08, Trade, 371110.167, 82, B08, S03, 1
B08, Trade, 371163.633, 82, B08, S06, 1
B08, Trade, 371287.550, 82, B08, S06, 1
B08, Trade, 371352.433, 81, B08, S06, 1
B08, Trade, 371399.633, 82, B08, S05, 1
B08, Trade, 371451.850, 82, B08, S04, 1
B08, Trade, 371550.217, 82, B08, S06, 1
B08, Trade, 371582.433, 82, B08, S04, 1
B08, Trade, 371649.533, 82, B08, S03, 1
B08, Trade, 371740.683, 81, B08, S01, 1
B08, Trade, 371752.233, 81, B08, S06, 1
B08, Trade, 371784.883, 82, B08, S05, 1
B08, Trade, 371800.667, 82, B08, S06, 1
B08, Trade, 371865.833, 82, B08, S01, 1
B08, Trade, 371934.650, 82, B08, S05, 1
B08, Trade, 372018.283, 81, B08, S01, 1
B08, Trade, 372063.183, 81, B08, S06, 1
B08, Trade, 372103.817, 81, B08, S03, 1
B08, Trade, 372222.167, 82, B08, S05, 1
B08, Trade, 372306.933, 82, B08, S05, 1
B08, Trade, 372475.200, 82, B08, S03, 1
B08, Trade, 372508.517, 82, B08, S06, 1
B08, Trade, 372536.367, 82, B08, S06, 1
B08, Trade, 372583.683, 82, B08, S06, 1
B08, Trade, 372717.350, 82, B08, S06, 1
B08, Trade, 372726.367, 82, B08, S01, 1
B08, Trade, 372812.500, 82, B08, S06, 1
B08, Trade, 372887.517, 82, B08, S01, 1
B08, Trade, 372953.900, 82, B08, S04, 1
B08, Trade, 373169.633, 82, B08, S03, 1
B08, Trade, 373325.217, 82, B08, S03, 1
B08, Trade, 373368.117, 81, B08, S03, 1
B08, Trade, 373605.617, 82, B08, S04, 1
B08, Trade, 373688.550, 82, B08, S05, 1
B08, Trade, 373756.967, 82, B08, S03, 1
B08, Trade, 373870.250, 82, B08, S01, 1
B08, Trade, 373882.267, 82, B08, S06, 1
B08, Trade, 373901.317, 82, B08, S06, 1
B08, Trade, 373921.933, 82, B08, S01, 1
B08, Trade, 373942.033, 82, B08, S06, 1
B08, Trade, 373982.983, 82, B08, S06, 1
B08, Trade, 373990.567, 82, B08, S04, 1
B08, Trade, 374042.783, 81, B08, S03, 1
B08, Trade, 374193.650, 82, B08, S02, 1
B08, Trade, 374229.233, 80, S02, B08, 1
B08, Trade, 374378.533, 81, B08, S06, 1
B08, Trade, 374737.250, 82, B08, S01, 1
B08, Trade, 377864.333, 82, B08, S00, 1
B08, Trade, 378359.367, 82, B08, S04, 1
B08, Trade, 380915.567, 82, B08, S00, 1
B08, Trade, 383901.333, 82, B08, S00, 1
B08, Trade, 388531.967, 82, B08, S00, 1
B08, Trade, 388984.800, 82, B08, S04, 1
B08, Trade, 389481.483, 82, B08, S07, 1
B08, Trade, 389864.467, 82, B08, S06, 1
B08, Trade, 389927.717, 82, B08, S00, 1
B08, Trade, 390132.600, 81, B08, S00, 1
B08, Trade, 390327.150, 81, B08, S07, 1
B08, Trade, 390636.233, 81, B08, S07, 1
B08, Trade, 391061.000, 81, B08, S05, 1
B08, Trade, 391091.933, 82, B08, S00, 1
B08, Trade, 391153.817, 82, B08, S06, 1
B08, Trade, 391672.800, 82, B08, S06, 1
B08, Trade, 392852.083, 82, B08, S06, 1
B08, Trade, 393130.067, 81, B08, S03, 1
B08, Trade, 393724.500, 82, B08, S00, 1
B08, Trade, 393847.183, 82, B08, S04, 1
B08, Trade, 394092.683, 80, B08, S00, 1
B08, Trade, 394173.817, 82, B08, S06, 1
B08, Trade, 394403.767, 82, B08, S04, 1
B08, Trade, 394641.450, 81, S04, B08, 1
B08, Trade, 394687.433, 80, B08, S01, 1
B08, Trade, 395114.417, 81, B08, S00, 1
B08, Trade, 395690.867, 82, B08, S00, 1
B08, Trade, 395956.583, 82, B08, S00, 1
B08, Trade, 396234.733, 82, B08, S06, 1
B08, Trade, 413667.200, 80, B08, S00, 1
B08, Trade, 427050.450, 79, B08, S06, 1
B09, 100
B09, Trade, 420485.633, 82, S08, B09, 1
B09, Trade, 420503.117, 84, B09, S00, 1
B09, Trade, 420523.500, 84, B09, S07, 1
B09, Trade, 420640.250, 81, B09, S03, 1
B09, Trade, 420736.417, 82, B09, S00, 1
B09, Trade, 421050.000, 83, B09, S04, 1
B09, Trade, 421146.800, 84, B09, S00, 1
B09, Trade, 421472.200, 83, B09, S06, 1
B09, Trade, 421479.933, 84, B09, S00, 1
B09, Trade, 421510.167, 84, B09, S08, 1
B09, Trade, 421691.250, 84, B09, S06, 1
B09, Trade, 421721.300, 84, B09, S07, 1
B09, Trade, 421776.950, 83, B09, S07, 1
B09, Trade, 421796.083, 84, B09, S04, 1
B09, Trade, 421883.833, 83, B09, S06, 1
B09, Trade, 421905.383, 84, B09, S00, 1
B09, Trade, 421953.633, 83, B09, S05, 1
B09, Trade, 422019.333, 84, B09, S08, 1
B09, Trade, 422035.950, 83, B09, S00, 1
B09, Trade, 422083.867, 84, B09, S04, 1
B09, Trade, 422196.967, 84, B09, S07, 1
B09, Trade, 422238.733, 83, B09, S00, 1
B09, Trade, 422797.950, 83, B09, S06, 1
B09, Trade, 423009.300, 84, B09, S00, 1
B09, Trade, 423102.667, 83, B09, S00, 1
B09, Trade, 423212.617, 84, B09, S04, 1
B09, Trade, 423442.783, 84, B09, S00, 1
B09, Trade, 423576.967, 83, B09, S04, 1
B09, Trade, 423709.067, 84, B09, S05, 1
B09, Trade, 424089.783, 81, B09, S01, 1
B09, Trade, 424119.333, 84, B09, S00, 1
B09, Trade, 424311.833, 83, B09, S05, 1
B09, Trade, 424353.933, 84, B09, S00, 1
B09, Trade, 424378.233, 84, B09, S04, 1
B09, Trade, 424402.300, 84, B09, S06, 1
B09, Trade, 424574.217, 84, B09, S00, 1
B09, Trade, 424607.033, 84, B09, S00, 1
B09, Trade, 424782.917, 84, B09, S00, 1
B09, Trade, 424847.100, 84, B09, S04, 1
B09, Trade, 424973.150, 84, B09, S03, 1
B09, Trade, 425089.800, 84, B09, S02, 1
B09, Trade, 425205.400, 83, B09, S08, 1
B09, Trade, 425268.200, 84, B09, S08, 1
B09, Trade, 425321.600, 84, B09, S02, 1
B09, Trade, 425449.183, 84, B09, S02, 1
B09, Trade, 425602.817, 84, B09, S08, 1
B09, Trade, 425787.133, 84, B09, S06, 1
B09, Trade, 425838.483, 84, B09, S02, 1
B09, Trade, 425865.517, 82, B09, S02, 1
B09, Trade, 425898.950, 84, B09, S03, 1
B09, Trade, 425923.900, 84, B09, S06, 1
B09, Trade, 426061.117, 84, B09, S06, 1
B09, Trade, 426158.067, 84, B09, S06, 1
B09, Trade, 426181.450, 84, B09, S04, 1
B09, Trade, 426246.567, 84, B09, S02, 1
B09, Trade, 426533.950, 84, B09, S03, 1
B09, Trade, 426578.783, 84, B09, S03, 1
B09, Trade, 426719.583, 84, B09, S00, 1
B09, Trade, 426805.767, 84, B09, S06, 1
B09, Trade, 427002.450, 84, B09, S00, 1
B09, Trade, 427257.750, 84, B09, S06, 1
B09, Trade, 427327.533, 84, B09, S08, 1
B09, Trade, 427435.250, 84, B09, S02, 1
B09, Trade, 427885.783, 84, B09, S03, 1
B09, Trade, 428006.583, 84, B09, S08, 1
B09, Trade, 428035.583, 84, B09, S00, 1
B09, Trade, 428226.983, 84, B09, S02, 1
B09, Trade, 428479.633, 84, B09, S02, 1
B09, Trade, 428537.700, 83, B09, S06, 1
B09, Trade, 428720.633, 84, B09, S00, 1
B09, Trade, 429022.067, 84, B09, S03, 1
B09, Trade, 429051.733, 84, B09, S00, 1
B09, Trade, 429210.233, 84, B09, S02, 1
B09, Trade, 429281.783, 81, B09, S06, 1
B09, Trade, 429454.317, 84, B09, S06, 1
B09, Trade, 429693.733, 84, B09, S06, 1
B09, Trade, 429993.250, 83, B09, S06, 1
B09, Trade, 430110.817, 84, B09, S06, 1
B09, Trade, 430227.400, 84, B09, S06, 1
B09, Trade, 430427.733, 84, B09, S02, 1
B09, Trade, 430493.500, 84, B09, S06, 1
B09, Trade, 430509.033, 84, B09, S00, 1
B09, Trade, 430624.650, 83, B09, S06, 1
B09, Trade, 430678.517, 84, B09, S02, 1
B09, Trade, 430765.983, 83, B09, S02, 1
B09, Trade, 430852.933, 84, B09, S06, 1
B09, Trade, 430884.267, 84, B09, S00, 1
B09, Trade, 430919.950, 84, B09, S06, 1
B09, Trade, 430966.200, 84, B09, S06, 1
B09, Trade, 431102.317, 82, B09, S01, 1
B09, Trade, 431196.217, 84, B09, S02, 1
B09, Trade, 431397.483, 83, B09, S06, 1
B09, Trade, 431519.400, 84, B09, S06, 1
B09, Trade, 431678.350, 84, B09, S06, 1
B09, Trade, 431688.900, 83, B09, S06, 1
B09, Trade, 431739.133, 84, B09, S06, 1
B09, Trade, 431741.467, 84, B09, S04, 1
B09, Trade, 431797.850, 84, B09, S06, 1
B09, Trade, 431806.900, 84, B09, S02, 1
B09, Trade, 431991.817, 83, B09, S02, 1
B10, 100
B10, Trade, 429103.333, 87, B10, S02, 1
B10, Trade, 429161.267, 86, B10, S06, 1
B10, Trade, 429181.183, 87, B10, S00, 1
B10, Trade, 429195.067, 87, B10, S00, 1
B10, Trade, 429210.083, 86, B10, S06, 1
B10, Trade, 429224.733, 87, B10, S00, 1
B10, Trade, 429270.367, 87, B10, S06, 1
B10, Trade, 429280.050, 85, B10, S02, 1
B10, Trade, 429334.017, 87, B10, S00, 1
B10, Trade, 429367.250, 87, B10, S10, 1
B10, Trade, 429382.600, 86, B10, S06, 1
B10, Trade, 429432.033, 86, B10, S02, 1
B10, Trade, 429451.400, 85, B10, S06, 1
B10, Trade, 429458.083, 87, B10, S08, 1
B10, Trade, 429462.233, 87, B10, S06, 1
B10, Trade, 429486.450, 87, B10, S10, 1
B10, Trade, 429499.467, 87, B10, S06, 1
B10, Trade, 429523.083, 86, B10, S00, 1
B10, Trade, 429526.600, 87, B10, S04, 1
B10, Trade, 429559.983, 85, B10, S00, 1
B10, Trade, 429576.083, 87, B10, S02, 1
B10, Trade, 429631.367, 86, B10, S06, 1
B10, Trade, 429692.117, 87, B10, S02, 1
B10, Trade, 429724.450, 87, B10, S03, 1
B10, Trade, 429729.583, 86, B10, S06, 1
B10, Trade, 429743.017, 87, B10, S06, 1
B10, Trade, 429765.117, 87, B10, S00, 1
B10, Trade, 429798.317, 86, B10, S00, 1
B10, Trade, 429828.567, 87, B10, S00, 1
B10, Trade, 429872.900, 87, B10, S02, 1
B10, Trade, 429987.117, 87, B10, S02, 1
B10, Trade, 430030.167, 87, B10, S00, 1
B10, Trade, 430092.267, 87, B10, S03, 1
B10, Trade, 430110.117, 87, B10, S00, 1
B10, Trade, 430182.233, 86, B10, S06, 1
B10, Trade, 430184.417, 86, B10, S00, 1
B10, Trade, 430225.450, 85, B10, S00, 1
B10, Trade, 430243.433, 86, B10, S06, 1
B10, Trade, 430293.650, 87, B10, S10, 1
B10, Trade, 430376.333, 87, B10, S10, 1
B10, Trade, 430420.717, 87, B10, S02, 1
B10, Trade, 430434.283, 87, B10, S02, 1
B10, Trade, 430493.167, 86, B10, S08, 1
B10, Trade, 430507.100, 85, B10, S02, 1
B10, Trade, 430520.800, 87, B10, S00, 1
B10, Trade, 430554.017, 87, B10, S02, 1
B10, Trade, 430575.350, 87, B10, S08, 1
B10, Trade, 430590.250, 87, B10, S06, 1
B10, Trade, 430597.083, 87, B10, S00, 1
B10, Trade, 430606.283, 87, B10, S02, 1
B10, Trade, 430624.483, 86, B10, S00, 1
B10, Trade, 430672.750, 87, B10, S02, 1
B10, Trade, 430683.167, 87, S04, B10, 1
B10, Trade, 430736.400, 87, B10, S06, 1
B10, Trade, 430763.083, 86, B10, S03, 1
B10, Trade, 430764.317, 87, B10, S00, 1
B10, Trade, 430791.300, 85, B10, S02, 1
B10, Trade, 430798.717, 87, B10, S00, 1
B10, Trade, 430884.100, 87, B10, S10, 1
B10, Trade, 430905.800, 86, B10, S02, 1
B10, Trade, 430919.233, 86, B10, S03, 1
B10, Trade, 430924.283, 85, S07, B10, 1
B10, Trade, 430926.567, 86, B10, S02, 1
B10, Trade, 430962.333, 87, B10, S03, 1
B10, Trade, 430978.267, 87, B10, S02, 1
B10, Trade, 431000.017, 87, B10, S10, 1
B10, Trade, 431017.350, 87, B10, S04, 1
B10, Trade, 431043.117, 87, B10, S03, 1
B10, Trade, 431070.717, 86, B10, S00, 1
B10, Trade, 431102.200, 86, B10, S04, 1
B10, Trade, 431123.033, 87, B10, S00, 1
B10, Trade, 431192.800, 86, B10, S02, 1
B10, Trade, 431195.300, 86, B10, S06, 1
B10, Trade, 431230.133, 86, B10, S02, 1
B10, Trade, 431259.417, 87, B10, S00, 1
B10, Trade, 431281.617, 85, B10, S00, 1
B10, Trade, 431335.800, 87, B10, S04, 1
B10, Trade, 431379.417, 86, B10, S06, 1
B10, Trade, 431396.950, 86, B10, S08, 1
B10, Trade, 431418.283, 87, B10, S08, 1
B10, Trade, 431467.933, 87, B10, S02, 1
B10, Trade, 431489.817, 87, B10, S06, 1
B10, Trade, 431510.200, 87, B10, S00, 1
B10, Trade, 431518.900, 87, B10, S04, 1
B10, Trade, 431536.000, 83, B10, S06, 1
B10, Trade, 431548.017, 86, B10, S00, 1
B10, Trade, 431567.067, 87, B10, S00, 1
