B00, 0
B01, 0
B02, 1
B02, Trade, 259445.367, 65, B02, S01, 1
B03, 0
B04, 9
B04, Trade, 78090.383, 65, B04, S01, 1
B04, Trade, 198104.067, 71, B04, S00, 1
B04, Trade, 332227.417, 71, B04, S01, 1
B04, Trade, 334145.100, 71, B04, S01, 1
B04, Trade, 334373.700, 70, B04, S01, 1
B04, Trade, 334528.033, 71, B04, S03, 1
B04, Trade, 337116.017, 71, B04, S04, 1
B04, Trade, 338345.300, 71, B04, S01, 1
B04, Trade, 387361.367, 70, B04, S01, 1
B05, 10
B05, Trade, 211161.267, 73, B05, S03, 1
B05, Trade, 213354.367, 73, B05, S05, 1
B05, Trade, 241914.733, 73, B05, S02, 1
B05, Trade, 242404.950, 73, B05, S00, 1
B05, Trade, 246728.217, 69, B05, S03, 1
B05, Trade, 284032.600, 73, B05, S01, 1
B05, Trade, 310518.717, 73, B05, S01, 1
B05, Trade, 378784.267, 73, B05, S03, 1
B05, Trade, 411721.483, 73, B05, S03, 1
B05, Trade, 416324.050, 73, B05, S01, 1
B06, 72
B06, Trade, 66783.167, 76, B06, S06, 1
B06, Trade, 93629.517, 76, B06, S03, 1
B06, Trade, 102186.633, 76, B06, S01, 1
B06, Trade, 102815.850, 75, B06, S01, 1
B06, Trade, 103459.300, 74, B06, S02, 1
B06, Trade, 103803.917, 76, B06, S01, 1
B06, Trade, 104811.533, 76, B06, S01, 1
B06, Trade, 107063.900, 76, B06, S02, 1
B06, Trade, 121300.217, 76, B06, S01, 1
B06, Trade, 191692.333, 75, B06, S04, 1
B06, Trade, 207058.467, 76, B06, S05, 1
B06, Trade, 208020.333, 76, B06, S05, 1
B06, Trade, 231372.183, 75, B06, S04, 1
B06, Trade, 232932.933, 75, B06, S05, 1
B06, Trade, 237254.733, 75, B06, S05, 1
B06, Trade, 245750.500, 75, B06, S04, 1
B06, Trade, 245794.300, 75, B06, S04, 1
B06, Trade, 247344.350, 75, B06, S03, 1
B06, Trade, 248080.950, 75, B06, S00, 1
B06, Trade, 248614.917, 75, B06, S04, 1
B06, Trade, 249115.917, 75, B06, S00, 1
B06, Trade, 249141.733, 75, B06, S00, 1
B06, Trade, 249163.867, 75, B06, S05, 1
B06, Trade, 249470.350, 75, B06, S04, 1
B06, Trade, 249604.833, 75, B06, S05, 1
B06, Trade, 249715.000, 75, B06, S00, 1
B06, Trade, 249906.150, 75, B06, S03, 1
B06, Trade, 250224.467, 75, B06, S00, 1
B06, Trade, 250637.417, 75, B06, S04, 1
B06, Trade, 251019.967, 75, B06, S02, 1
B06, Trade, 251066.950, 75, B06, S04, 1
B06, Trade, 251080.717, 75, B06, S00, 1
B06, Trade, 252244.833, 76, B06, S04, 1
B06, Trade, 260584.450, 76, B06, S01, 1
B06, Trade, 264657.200, 75, B06, S02, 1
B06, Trade, 272990.917, 76, B06, S00, 1
B06, Trade, 288512.517, 75, B06, S04, 1
B06, Trade, 288665.650, 75, B06, S00, 1
B06, Trade, 289731.667, 75, B06, S00, 1
B06, Trade, 289752.167, 75, B06, S04, 1
B06, Trade, 289827.517, 75, B06, S00, 1
B06, Trade, 290160.417, 75, B06, S00, 1
B06, Trade, 290274.267, 75, B06, S04, 1
B06, Trade, 290408.100, 75, B06, S00, 1
B06, Trade, 290563.750, 75, B06, S00, 1
B06, Trade, 290809.967, 75, B06, S00, 1
B06, Trade, 291203.300, 75, B06, S00, 1
B06, Trade, 291239.800, 75, B06, S00, 1
B06, Trade, 292126.967, 75, B06, S04, 1
B06, Trade, 292251.767, 75, B06, S00, 1
B06, Trade, 292313.017, 75, B06, S04, 1
B06, Trade, 293115.400, 75, B06, S00, 1
B06, Trade, 293169.900, 75, B06, S00, 1
B06, Trade, 293806.167, 75, B06, S00, 1
B06, Trade, 294442.683, 75, B06, S04, 1
B06, Trade, 294498.450, 75, B06, S00, 1
B06, Trade, 295043.233, 75, B06, S04, 1
B06, Trade, 310220.633, 75, B06, S01, 1
B06, Trade, 310284.650, 75, B06, S00, 1
B06, Trade, 313122.383, 75, B06, S00, 1
B06, Trade, 313194.533, 75, B06, S00, 1
B06, Trade, 314259.033, 75, B06, S04, 1
B06, Trade, 316317.583, 75, B06, S00, 1
B06, Trade, 320198.133, 76, B06, S03, 1
B06, Trade, 331528.550, 73, B06, S01, 1
B06, Trade, 382796.400, 74, S04, B06, 1
B06, Trade, 384982.217, 74, B06, S01, 1
B06, Trade, 385264.017, 72, B06, S00, 1
B06, Trade, 411722.400, 69, B06, S00, 1
B06, Trade, 418339.450, 76, B06, S02, 1
B06, Trade, 423715.183, 76, B06, S02, 1
B06, Trade, 428808.117, 72, B06, S04, 1
B07, 100
B07, Trade, 411841.017, 79, B07, S05, 1
B07, Trade, 411934.933, 78, B07, S03, 1
B07, Trade, 412029.050, 79, B07, S03, 1
B07, Trade, 412260.383, 79, B07, S03, 1
B07, Trade, 412544.567, 78, B07, S05, 1
B07, Trade, 412585.200, 79, B07, S03, 1
B07, Trade, 412628.300, 77, B07, S00, 1
B07, Trade, 412697.583, 79, B07, S00, 1
B07, Trade, 412766.250, 79, B07, S03, 1
B07, Trade, 412979.700, 79, B07, S04, 1
B07, Trade, 413067.117, 79, B07, S00, 1
B07, Trade, 413290.233, 79, B07, S05, 1
B07, Trade, 413417.817, 78, B07, S04, 1
B07, Trade, 414311.983, 79, B07, S05, 1
B07, Trade, 414546.833, 78, B07, S01, 1
B07, Trade, 414753.917, 79, B07, S03, 1
B07, Trade, 414784.850, 79, B07, S03, 1
B07, Trade, 414914.183, 79, B07, S01, 1
B07, Trade, 414994.350, 79, B07, S02, 1
B07, Trade, 415019.883, 79, B07, S01, 1
B07, Trade, 415318.683, 79, B07, S00, 1
B07, Trade, 415394.917, 79, B07, S03, 1
B07, Trade, 416033.867, 79, B07, S00, 1
B07, Trade, 416043.800, 79, B07, S04, 1
B07, Trade, 416450.100, 79, B07, S05, 1
B07, Trade, 416479.617, 79, B07, S05, 1
B07, Trade, 416618.850, 79, B07, S01, 1
B07, Trade, 416634.550, 79, B07, S00, 1
B07, Trade, 416713.933, 79, B07, S04, 1
B07, Trade, 416755.317, 79, B07, S02, 1
B07, Trade, 416991.167, 79, B07, S00, 1
B07, Trade, 417162.017, 79, B07, S01, 1
B07, Trade, 424841.817, 79, B07, S04, 1
B07, Trade, 424865.533, 79, B07, S03, 1
B07, Trade, 424897.683, 79, B07, S00, 1
B07, Trade, 425047.283, 79, B07, S03, 1
B07, Trade, 425154.483, 79, B07, S00, 1
B07, Trade, 425290.250, 79, B07, S02, 1
B07, Trade, 425454.317, 78, B07, S04, 1
B07, Trade, 425500.650, 79, B07, S00, 1
B07, Trade, 425542.267, 79, B07, S03, 1
B07, Trade, 425610.517, 79, B07, S00, 1
B07, Trade, 425785.000, 79, B07, S07, 1
B07, Trade, 425830.950, 79, B07, S01, 1
B07, Trade, 425850.417, 79, B07, S01, 1
B07, Trade, 425852.317, 72, B07, S03, 1
B07, Trade, 426000.600, 79, B07, S04, 1
B07, Trade, 426200.683, 79, B07, S07, 1
B07, Trade, 426263.550, 79, B07, S04, 1
B07, Trade, 426334.517, 79, B07, S03, 1
B07, Trade, 426350.183, 73, B07, S01, 1
B07, Trade, 426373.583, 79, B07, S03, 1
B07, Trade, 426551.317, 79, B07, S00, 1
B07, Trade, 426557.700, 73, B07, S01, 1
B07, Trade, 426584.583, 79, B07, S04, 1
B07, Trade, 426834.450, 79, B07, S07, 1
