B00, 0
B01, 0
B02, 0
B03, 0
B04, 13
B04, Trade, 60183.917, 71, B04, S01, 1
B04, Trade, 65884.950, 64, B04, S00, 1
B04, Trade, 66459.183, 71, B04, S02, 1
B04, Trade, 66532.267, 71, B04, S00, 1
B04, Trade, 67118.067, 71, B04, S02, 1
B04, Trade, 67339.517, 71, B04, S01, 1
B04, Trade, 70061.417, 71, B04, S00, 1
B04, Trade, 115368.533, 71, B04, S02, 1
B04, Trade, 115398.350, 71, B04, S03, 1
B04, Trade, 116758.150, 69, B04, S01, 1
B04, Trade, 118632.500, 71, B04, S01, 1
B04, Trade, 119902.400, 71, B04, S03, 1
B04, Trade, 259174.417, 71, B04, S00, 1
B05, 2
B05, Trade, 116623.133, 72, B05, S03, 1
B05, Trade, 174557.683, 73, B05, S05, 1
B06, 100
B06, Trade, 66523.017, 76, B06, S00, 1
B06, Trade, 66569.250, 76, B06, S00, 1
B06, Trade, 66599.133, 76, B06, S02, 1
B06, Trade, 66630.367, 75, B06, S00, 1
B06, Trade, 66790.617, 76, B06, S00, 1
B06, Trade, 66919.050, 75, B06, S05, 1
B06, Trade, 67049.850, 74, B06, S05, 1
B06, Trade, 67117.883, 76, B06, S00, 1
B06, Trade, 67199.083, 76, B06, S04, 1
B06, Trade, 67301.683, 76, B06, S03, 1
B06, Trade, 67333.117, 74, B06, S00, 1
B06, Trade, 67540.617, 76, B06, S04, 1
B06, Trade, 67735.067, 76, B06, S00, 1
B06, Trade, 67771.617, 75, B06, S05, 1
B06, Trade, 67914.650, 76, B06, S04, 1
B06, Trade, 67954.950, 76, B06, S04, 1
B06, Trade, 67984.767, 76, B06, S05, 1
B06, Trade, 68030.233, 76, B06, S01, 1
B06, Trade, 68294.533, 76, B06, S04, 1
B06, Trade, 68533.150, 76, B06, S04, 1
B06, Trade, 68917.467, 76, B06, S05, 1
B06, Trade, 69013.383, 76, B06, S05, 1
B06, Trade, 69871.567, 76, B06, S04, 1
B06, Trade, 69985.400, 76, B06, S00, 1
B06, Trade, 70386.950, 76, B06, S00, 1
B06, Trade, 70429.683, 76, B06, S04, 1
B06, Trade, 70732.250, 76, B06, S04, 1
B06, Trade, 70779.617, 76, B06, S06, 1
B06, Trade, 70853.533, 76, B06, S04, 1
B06, Trade, 70894.250, 76, B06, S04, 1
B06, Trade, 71120.667, 76, B06, S05, 1
B06, Trade, 71249.450, 76, B06, S00, 1
B06, Trade, 71330.233, 75, B06, S04, 1
B06, Trade, 71362.500, 75, B06, S05, 1
B06, Trade, 71554.950, 76, B06, S01, 1
B06, Trade, 71890.717, 74, B06, S05, 1
B06, Trade, 71896.900, 76, B06, S06, 1
B06, Trade, 79020.033, 76, B06, S06, 1
B06, Trade, 79561.167, 76, B06, S04, 1
B06, Trade, 81045.883, 76, B06, S04, 1
B06, Trade, 82629.567, 76, B06, S04, 1
B06, Trade, 83823.700, 76, B06, S04, 1
B06, Trade, 83925.533, 76, B06, S04, 1
B06, Trade, 84856.583, 76, B06, S02, 1
B06, Trade, 85600.350, 76, B06, S04, 1
B06, Trade, 85911.950, 76, B06, S04, 1
B06, Trade, 136349.800, 76, B06, S06, 1
B06, Trade, 137379.050, 76, B06, S04, 1
B06, Trade, 159579.117, 76, B06, S04, 1
B06, Trade, 165050.400, 76, B06, S01, 1
B06, Trade, 172910.200, 76, B06, S05, 1
B06, Trade, 173020.950, 76, B06, S02, 1
B06, Trade, 173452.683, 76, B06, S02, 1
B06, Trade, 173487.350, 76, B06, S06, 1
B06, Trade, 173818.083, 76, B06, S00, 1
B06, Trade, 174632.383, 76, B06, S05, 1
B06, Trade, 175107.417, 76, B06, S00, 1
B06, Trade, 175306.767, 76, B06, S02, 1
B06, Trade, 175819.133, 76, B06, S06, 1
B06, Trade, 175950.950, 76, B06, S05, 1
B06, Trade, 176089.717, 76, B06, S05, 1
B06, Trade, 176114.833, 76, B06, S00, 1
B06, Trade, 176988.500, 76, B06, S05, 1
B06, Trade, 177063.383, 75, B06, S00, 1
B06, Trade, 177467.400, 76, B06, S00, 1
B06, Trade, 177519.200, 75, B06, S00, 1
B06, Trade, 177549.450, 76, B06, S00, 1
B06, Trade, 177829.800, 76, B06, S05, 1
B06, Trade, 177859.350, 76, B06, S05, 1
B06, Trade, 177921.583, 76, B06, S03, 1
B06, Trade, 178241.500, 76, B06, S06, 1
B06, Trade, 178289.567, 76, B06, S00, 1
B06, Trade, 178488.600, 76, B06, S00, 1
B06, Trade, 178666.333, 76, B06, S00, 1
B06, Trade, 179447.533, 76, B06, S01, 1
B06, Trade, 179454.283, 74, B06, S04, 1
B06, Trade, 179881.533, 75, B06, S00, 1
B06, Trade, 207032.500, 76, B06, S03, 1
B06, Trade, 207949.200, 76, B06, S06, 1
B06, Trade, 216478.633, 76, B06, S01, 1
B06, Trade, 220187.967, 76, B06, S02, 1
B06, Trade, 221806.600, 76, B06, S02, 1
B06, Trade, 257350.433, 76, B06, S02, 1
B06, Trade, 273094.300, 76, B06, S00, 1
B06, Trade, 276028.817, 76, B06, S04, 1
B06, Trade, 325558.367, 76, B06, S00, 1
B06, Trade, 331847.383, 76, B06, S03, 1
B06, Trade, 331946.100, 76, B06, S05, 1
B06, Trade, 333783.450, 76, B06, S05, 1
B06, Trade, 334198.517, 76, B06, S05, 1
B06, Trade, 335074.133, 76, B06, S04, 1
B06, Trade, 337504.950, 76, B06, S04, 1
B06, Trade, 337707.100, 76, B06, S05, 1
B06, Trade, 338192.667, 76, B06, S05, 1
B06, Trade, 338345.300, 76, B06, S05, 1
B06, Trade, 339516.433, 75, B06, S02, 1
B06, Trade, 384853.067, 76, B06, S04, 1
B06, Trade, 399615.483, 76, B06, S06, 1
B06, Trade, 415377.683, 76, B06, S04, 1
B06, Trade, 421297.983, 76, B06, S02, 1
B07, 100
B07, Trade, 321432.433, 79, B07, S05, 1
B07, Trade, 322639.233, 79, B07, S05, 1
B07, Trade, 325857.600, 79, B07, S00, 1
B07, Trade, 327737.867, 79, B07, S02, 1
B07, Trade, 329113.900, 79, B07, S00, 1
B07, Trade, 331264.350, 79, B07, S06, 1
B07, Trade, 331389.467, 78, B07, S06, 1
B07, Trade, 331704.200, 79, B07, S03, 1
B07, Trade, 331722.317, 79, B07, S05, 1
B07, Trade, 331809.567, 79, B07, S04, 1
B07, Trade, 332285.933, 79, B07, S05, 1
B07, Trade, 332450.750, 76, B07, S05, 1
B07, Trade, 332577.217, 78, B07, S05, 1
B07, Trade, 332992.850, 79, B07, S05, 1
B07, Trade, 332994.033, 78, B07, S06, 1
B07, Trade, 333118.167, 78, B07, S05, 1
B07, Trade, 333131.517, 78, B07, S06, 1
B07, Trade, 333133.417, 79, B07, S05, 1
