B00, 0
B01, 0
B02, 1
B02, Trade, 304035.883, 65, B02, S00, 1
B03, 33
B03, Trade, 127670.567, 68, B03, S00, 1
B03, Trade, 136907.167, 68, B03, S00, 1
B03, Trade, 137411.833, 68, B03, S02, 1
B03, Trade, 137613.883, 67, B03, S02, 1
B03, Trade, 139227.317, 67, B03, S00, 1
B03, Trade, 139681.583, 68, B03, S02, 1
B03, Trade, 139717.883, 68, B03, S02, 1
B03, Trade, 139871.433, 68, B03, S02, 1
B03, Trade, 141030.683, 68, B03, S02, 1
B03, Trade, 141798.683, 68, B03, S00, 1
B03, Trade, 142725.450, 68, B03, S02, 1
B03, Trade, 142741.417, 67, B03, S00, 1
B03, Trade, 143624.983, 68, B03, S00, 1
B03, Trade, 143822.917, 68, B03, S02, 1
B03, Trade, 164744.383, 65, B03, S00, 1
B03, Trade, 165593.267, 67, B03, S01, 1
B03, Trade, 187909.800, 68, B03, S01, 1
B03, Trade, 188279.583, 67, B03, S00, 1
B03, Trade, 190518.550, 68, B03, S01, 1
B03, Trade, 192144.300, 68, B03, S02, 1
B03, Trade, 192746.633, 68, B03, S02, 1
B03, Trade, 192926.900, 68, B03, S01, 1
B03, Trade, 202431.100, 68, B03, S01, 1
B03, Trade, 203541.450, 68, B03, S01, 1
B03, Trade, 204456.900, 67, B03, S01, 1
B03, Trade, 205983.550, 68, B03, S00, 1
B03, Trade, 223374.767, 68, B03, S01, 1
B03, Trade, 225588.783, 68, S03, B03, 1
B03, Trade, 225652.733, 68, B03, S01, 1
B03, Trade, 229030.500, 68, B03, S00, 1
B03, Trade, 319684.550, 67, B03, S02, 1
B03, Trade, 388127.167, 68, B03, S01, 1
B03, Trade, 395272.333, 68, B03, S00, 1
B04, 100
B04, Trade, 138396.283, 71, B04, S00, 1
B04, Trade, 138500.383, 69, B04, S00, 1
B04, Trade, 140075.183, 69, B04, S00, 1
B04, Trade, 163252.317, 70, B04, S01, 1
B04, Trade, 175248.817, 71, B04, S00, 1
B04, Trade, 201904.917, 71, B04, S00, 1
B04, Trade, 202198.367, 71, B04, S04, 1
B04, Trade, 202212.867, 71, B04, S01, 1
B04, Trade, 202300.050, 69, B04, S02, 1
B04, Trade, 202317.617, 71, B04, S00, 1
B04, Trade, 202658.883, 71, B04, S01, 1
B04, Trade, 202718.450, 71, B04, S02, 1
B04, Trade, 203067.467, 71, B04, S01, 1
B04, Trade, 203392.300, 71, B04, S01, 1
B04, Trade, 203409.667, 71, B04, S01, 1
B04, Trade, 203691.683, 71, B04, S00, 1
B04, Trade, 204033.900, 71, B04, S02, 1
B04, Trade, 204456.217, 71, B04, S00, 1
B04, Trade, 204523.183, 71, B04, S00, 1
B04, Trade, 204551.883, 71, B04, S00, 1
B04, Trade, 204566.650, 71, B04, S00, 1
B04, Trade, 204781.300, 71, B04, S01, 1
B04, Trade, 204984.033, 69, B04, S00, 1
B04, Trade, 205081.733, 71, B04, S00, 1
B04, Trade, 205437.283, 71, B04, S01, 1
B04, Trade, 205850.667, 71, B04, S02, 1
B04, Trade, 206122.000, 71, B04, S02, 1
B04, Trade, 206334.700, 71, B04, S00, 1
B04, Trade, 206569.567, 71, B04, S02, 1
B04, Trade, 206644.317, 71, B04, S00, 1
B04, Trade, 206789.900, 71, B04, S00, 1
B04, Trade, 206853.633, 71, B04, S01, 1
B04, Trade, 206889.600, 71, B04, S02, 1
B04, Trade, 206932.383, 71, B04, S00, 1
B04, Trade, 207136.400, 71, B04, S00, 1
B04, Trade, 207149.133, 71, B04, S00, 1
B04, Trade, 207555.367, 71, B04, S02, 1
B04, Trade, 207733.100, 71, B04, S02, 1
B04, Trade, 207769.833, 71, B04, S01, 1
B04, Trade, 207914.983, 71, B04, S02, 1
B04, Trade, 207932.850, 71, B04, S02, 1
B04, Trade, 208136.883, 71, B04, S01, 1
B04, Trade, 208299.483, 71, B04, S00, 1
B04, Trade, 216498.117, 71, B04, S02, 1
B04, Trade, 217865.750, 71, B04, S01, 1
B04, Trade, 218071.300, 71, B04, S03, 1
B04, Trade, 220316.950, 71, B04, S00, 1
B04, Trade, 221571.367, 71, B04, S01, 1
B04, Trade, 222328.667, 71, B04, S00, 1
B04, Trade, 238063.150, 71, B04, S01, 1
B04, Trade, 238277.317, 71, B04, S02, 1
B04, Trade, 239223.833, 71, B04, S04, 1
B04, Trade, 239254.383, 71, B04, S00, 1
B04, Trade, 239393.583, 71, B04, S02, 1
B04, Trade, 240216.567, 71, B04, S00, 1
B04, Trade, 241242.083, 71, B04, S02, 1
B04, Trade, 242294.833, 71, B04, S00, 1
B04, Trade, 242585.633, 71, B04, S04, 1
B04, Trade, 242634.083, 71, B04, S02, 1
B04, Trade, 242659.300, 71, B04, S02, 1
B04, Trade, 243713.000, 71, B04, S04, 1
B04, Trade, 243834.867, 71, B04, S01, 1
B04, Trade, 244188.017, 71, B04, S04, 1
B04, Trade, 244262.850, 71, B04, S04, 1
B04, Trade, 245417.367, 71, B04, S00, 1
B04, Trade, 246846.433, 71, B04, S02, 1
B04, Trade, 248308.867, 71, B04, S03, 1
B04, Trade, 251092.267, 71, B04, S02, 1
B04, Trade, 251343.500, 71, B04, S04, 1
B04, Trade, 251945.283, 71, B04, S02, 1
B04, Trade, 254780.950, 71, B04, S01, 1
B04, Trade, 259333.300, 71, B04, S02, 1
B04, Trade, 259921.500, 71, B04, S03, 1
B04, Trade, 260469.600, 71, B04, S01, 1
B04, Trade, 262168.017, 71, B04, S01, 1
B04, Trade, 262678.067, 71, B04, S01, 1
B04, Trade, 262899.067, 71, B04, S00, 1
B04, Trade, 263395.833, 71, B04, S03, 1
B04, Trade, 263803.600, 71, B04, S01, 1
B04, Trade, 264031.150, 71, B04, S02, 1
B04, Trade, 264122.150, 71, B04, S02, 1
B04, Trade, 264528.200, 71, B04, S00, 1
B04, Trade, 264626.317, 71, B04, S01, 1
B04, Trade, 264639.117, 71, B04, S01, 1
B04, Trade, 264937.400, 71, B04, S01, 1
B04, Trade, 265286.733, 71, B04, S02, 1
B04, Trade, 265315.233, 71, B04, S03, 1
B04, Trade, 265456.717, 71, B04, S02, 1
B04, Trade, 265555.600, 71, B04, S03, 1
B04, Trade, 265772.500, 71, B04, S03, 1
B04, Trade, 266050.500, 71, B04, S03, 1
B04, Trade, 297470.883, 71, B04, S01, 1
B04, Trade, 301681.667, 71, B04, S00, 1
B04, Trade, 334254.433, 71, B04, S02, 1
B04, Trade, 336014.983, 71, B04, S00, 1
B04, Trade, 357496.133, 69, B04, S00, 1
B04, Trade, 374548.933, 71, B04, S01, 1
B04, Trade, 378121.667, 71, B04, S00, 1
B04, Trade, 380199.833, 71, B04, S01, 1
B04, Trade, 380707.900, 71, B04, S01, 1
B05, 16
B05, Trade, 140453.933, 71, B05, S02, 1
B05, Trade, 143894.700, 72, B05, S01, 1
B05, Trade, 152542.133, 71, B05, S02, 1
B05, Trade, 157948.950, 71, B05, S00, 1
B05, Trade, 158420.200, 72, B05, S01, 1
B05, Trade, 160067.533, 61, S00, B05, 1
B05, Trade, 160140.167, 68, S00, B05, 1
B05, Trade, 161179.450, 69, B05, S00, 1
B05, Trade, 165137.267, 73, S04, B05, 1
B05, Trade, 206934.233, 71, B05, S02, 1
B05, Trade, 243279.383, 73, B05, S04, 1
B05, Trade, 243713.200, 72, S00, B05, 1
B05, Trade, 247421.733, 72, B05, S03, 1
B05, Trade, 264471.350, 73, B05, S03, 1
B05, Trade, 330867.083, 67, B05, S02, 1
B05, Trade, 394204.867, 71, B05, S00, 1
B06, 88
B06, Trade, 41180.800, 71, B06, S02, 1
B06, Trade, 93906.750, 74, B06, S00, 1
B06, Trade, 110729.050, 76, B06, S00, 1
B06, Trade, 118057.633, 76, B06, S01, 1
B06, Trade, 130631.500, 76, B06, S00, 1
B06, Trade, 131554.483, 76, B06, S00, 1
B06, Trade, 134333.017, 76, B06, S01, 1
B06, Trade, 134603.217, 76, B06, S00, 1
B06, Trade, 134752.833, 76, B06, S04, 1
B06, Trade, 135536.550, 76, B06, S01, 1
B06, Trade, 136085.017, 76, B06, S00, 1
B06, Trade, 138438.183, 72, B06, S02, 1
B06, Trade, 161664.483, 74, S00, B06, 1
B06, Trade, 164899.867, 64, B06, S00, 1
B06, Trade, 184887.717, 76, B06, S02, 1
B06, Trade, 185089.117, 76, B06, S06, 1
B06, Trade, 198585.617, 76, B06, S00, 1
B06, Trade, 201925.317, 76, B06, S02, 1
B06, Trade, 202839.683, 74, B06, S02, 1
B06, Trade, 208308.483, 76, B06, S02, 1
B06, Trade, 230720.383, 76, B06, S03, 1
B06, Trade, 231645.650, 76, B06, S00, 1
B06, Trade, 231692.583, 76, B06, S01, 1
B06, Trade, 232647.350, 76, B06, S06, 1
B06, Trade, 234126.967, 76, B06, S03, 1
B06, Trade, 249358.867, 74, B06, S02, 1
B06, Trade, 260355.250, 72, B06, S01, 1
B06, Trade, 281956.467, 76, B06, S04, 1
B06, Trade, 285229.683, 76, B06, S00, 1
B06, Trade, 295601.200, 72, B06, S04, 1
B06, Trade, 298730.567, 76, B06, S01, 1
B06, Trade, 299907.717, 74, B06, S01, 1
B06, Trade, 301189.417, 72, B06, S00, 1
B06, Trade, 303708.767, 76, B06, S04, 1
B06, Trade, 304699.183, 76, B06, S04, 1
B06, Trade, 308823.433, 76, B06, S04, 1
B06, Trade, 308998.033, 75, B06, S04, 1
B06, Trade, 309116.383, 76, B06, S04, 1
B06, Trade, 309131.850, 76, B06, S00, 1
