B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 206007.867, 70, B04, S01, 1
B04, Trade, 390342.167, 71, B04, S02, 1
B05, 6
B05, Trade, 133312.350, 73, B05, S05, 1
B05, Trade, 354754.167, 73, B05, S00, 1
B05, Trade, 361168.750, 73, B05, S02, 1
B05, Trade, 397606.567, 72, B05, S02, 1
B05, Trade, 401233.917, 73, B05, S05, 1
B05, Trade, 420913.683, 73, B05, S00, 1
B06, 100
B06, Trade, 296270.250, 76, B06, S01, 1
B06, Trade, 298699.583, 76, B06, S02, 1
B06, Trade, 301218.000, 76, B06, S02, 1
B06, Trade, 302889.767, 76, B06, S03, 1
B06, Trade, 305719.283, 76, B06, S02, 1
B06, Trade, 306248.017, 76, B06, S03, 1
B06, Trade, 321875.567, 76, B06, S00, 1
B06, Trade, 326681.983, 76, B06, S05, 1
B06, Trade, 334568.317, 76, B06, S04, 1
B06, Trade, 336804.300, 76, B06, S04, 1
B06, Trade, 340800.383, 76, B06, S02, 1
B06, Trade, 343066.150, 76, B06, S05, 1
B06, Trade, 352981.233, 76, B06, S00, 1
B06, Trade, 353169.050, 76, B06, S05, 1
B06, Trade, 353921.817, 76, B06, S06, 1
B06, Trade, 354340.683, 76, B06, S02, 1
B06, Trade, 354576.500, 76, B06, S02, 1
B06, Trade, 354753.783, 76, B06, S02, 1
B06, Trade, 355036.667, 76, B06, S06, 1
B06, Trade, 355205.667, 76, B06, S06, 1
B06, Trade, 355299.533, 76, B06, S05, 1
B06, Trade, 355657.250, 76, B06, S00, 1
B06, Trade, 356813.733, 76, B06, S06, 1
B06, Trade, 357608.267, 76, B06, S04, 1
B06, Trade, 358299.100, 76, B06, S00, 1
B06, Trade, 359200.700, 76, B06, S04, 1
B06, Trade, 359939.117, 76, B06, S05, 1
B06, Trade, 359941.633, 76, B06, S04, 1
B06, Trade, 360207.667, 76, B06, S05, 1
B06, Trade, 360230.483, 76, B06, S04, 1
B06, Trade, 360462.933, 76, B06, S04, 1
B06, Trade, 361168.550, 76, B06, S06, 1
B06, Trade, 361587.317, 76, B06, S02, 1
B06, Trade, 361856.900, 76, B06, S04, 1
B06, Trade, 362242.300, 76, B06, S05, 1
B06, Trade, 362561.350, 76, B06, S02, 1
B06, Trade, 363517.767, 76, B06, S04, 1
B06, Trade, 363618.033, 76, B06, S05, 1
B06, Trade, 364202.333, 76, B06, S00, 1
B06, Trade, 364301.567, 76, B06, S04, 1
B06, Trade, 364381.917, 76, B06, S05, 1
B06, Trade, 364627.033, 76, B06, S06, 1
B06, Trade, 365351.483, 75, B06, S02, 1
B06, Trade, 365591.300, 76, B06, S05, 1
B06, Trade, 365731.083, 76, B06, S05, 1
B06, Trade, 366163.067, 76, B06, S04, 1
B06, Trade, 366381.017, 75, S02, B06, 1
B06, Trade, 366572.300, 76, B06, S04, 1
B06, Trade, 366927.283, 76, B06, S05, 1
B06, Trade, 366983.117, 76, B06, S05, 1
B06, Trade, 367178.167, 76, B06, S03, 1
B06, Trade, 389752.850, 76, B06, S00, 1
B06, Trade, 390342.133, 76, B06, S05, 1
B06, Trade, 390579.733, 76, B06, S03, 1
B06, Trade, 391997.383, 76, B06, S03, 1
B06, Trade, 392308.400, 76, B06, S05, 1
B06, Trade, 392409.217, 76, B06, S03, 1
B06, Trade, 392763.983, 76, B06, S00, 1
B06, Trade, 394737.067, 76, B06, S05, 1
B06, Trade, 395369.067, 76, B06, S02, 1
B06, Trade, 396506.683, 76, B06, S05, 1
B06, Trade, 396566.183, 76, B06, S02, 1
B06, Trade, 396602.183, 76, B06, S06, 1
B06, Trade, 396675.017, 76, B06, S05, 1
B06, Trade, 396897.183, 76, B06, S02, 1
B06, Trade, 396925.417, 74, B06, S02, 1
B06, Trade, 396968.900, 76, B06, S00, 1
B06, Trade, 397082.050, 74, B06, S05, 1
B06, Trade, 397090.017, 76, B06, S06, 1
B06, Trade, 397813.833, 75, B06, S04, 1
B06, Trade, 398336.800, 75, B06, S05, 1
B06, Trade, 398494.033, 76, B06, S02, 1
B06, Trade, 398762.267, 76, B06, S02, 1
B06, Trade, 399671.867, 76, B06, S05, 1
B06, Trade, 399756.500, 75, B06, S01, 1
B06, Trade, 400373.233, 76, B06, S03, 1
B06, Trade, 400421.600, 76, B06, S00, 1
B06, Trade, 400966.800, 76, B06, S02, 1
B06, Trade, 401070.933, 76, B06, S01, 1
B06, Trade, 401233.400, 76, B06, S00, 1
B06, Trade, 401262.300, 76, B06, S05, 1
B06, Trade, 401354.300, 75, B06, S02, 1
B06, Trade, 401520.050, 76, B06, S00, 1
B06, Trade, 402172.883, 76, B06, S00, 1
B06, Trade, 402394.233, 76, B06, S00, 1
B06, Trade, 412562.167, 76, B06, S06, 1
B06, Trade, 414759.300, 76, B06, S00, 1
B06, Trade, 415700.000, 76, B06, S02, 1
B06, Trade, 417885.817, 76, B06, S05, 1
B06, Trade, 418603.700, 76, B06, S06, 1
