B00, 0
B01, 0
B02, 0
B03, 13
B03, Trade, 15014.367, 67, B03, S01, 1
B03, Trade, 66066.267, 68, B03, S02, 1
B03, Trade, 68221.067, 68, B03, S02, 1
B03, Trade, 68245.767, 68, B03, S01, 1
B03, Trade, 68653.800, 68, B03, S01, 1
B03, Trade, 69670.117, 68, B03, S02, 1
B03, Trade, 70580.517, 68, B03, S02, 1
B03, Trade, 70893.367, 68, B03, S01, 1
B03, Trade, 71020.283, 68, B03, S01, 1
B03, Trade, 75096.800, 68, B03, S02, 1
B03, Trade, 100900.500, 68, B03, S03, 1
B03, Trade, 118138.800, 68, B03, S03, 1
B03, Trade, 192524.967, 68, B03, S01, 1
B04, 8
B04, Trade, 29658.967, 71, B04, S01, 1
B04, Trade, 31132.500, 71, B04, S01, 1
B04, Trade, 34605.933, 71, B04, S02, 1
B04, Trade, 35570.617, 71, B04, S02, 1
B04, Trade, 100899.533, 71, B04, S02, 1
B04, Trade, 102125.350, 71, B04, S03, 1
B04, Trade, 106590.033, 71, B04, S02, 1
B04, Trade, 365068.517, 71, B04, S03, 1
B05, 25
B05, Trade, 43146.417, 73, B05, S02, 1
B05, Trade, 43973.650, 73, B05, S00, 1
B05, Trade, 64835.717, 73, B05, S00, 1
B05, Trade, 66994.667, 69, B05, S01, 1
B05, Trade, 67108.250, 71, S04, B05, 1
B05, Trade, 69617.867, 71, B05, S02, 1
B05, Trade, 76528.050, 70, B05, S02, 1
B05, Trade, 86073.117, 73, B05, S02, 1
B05, Trade, 101785.717, 73, B05, S03, 1
B05, Trade, 103973.550, 73, B05, S03, 1
B05, Trade, 104735.600, 73, B05, S02, 1
B05, Trade, 107736.617, 71, B05, S02, 1
B05, Trade, 122017.183, 72, B05, S03, 1
B05, Trade, 133269.617, 73, B05, S02, 1
B05, Trade, 136752.617, 73, B05, S01, 1
B05, Trade, 159643.883, 73, B05, S01, 1
B05, Trade, 272440.117, 73, B05, S04, 1
B05, Trade, 360932.133, 73, B05, S01, 1
B05, Trade, 375411.333, 73, B05, S02, 1
B05, Trade, 375915.533, 73, B05, S02, 1
B05, Trade, 377485.017, 73, B05, S02, 1
B05, Trade, 377732.083, 73, B05, S01, 1
B05, Trade, 379252.467, 73, B05, S02, 1
B05, Trade, 380219.900, 73, B05, S01, 1
B05, Trade, 380349.650, 73, B05, S01, 1
B06, 100
B06, Trade, 131670.117, 74, B06, S01, 1
B06, Trade, 131814.717, 76, B06, S01, 1
B06, Trade, 132345.783, 75, B06, S00, 1
B06, Trade, 132655.117, 76, B06, S01, 1
B06, Trade, 132795.417, 76, B06, S01, 1
B06, Trade, 133295.917, 76, B06, S02, 1
B06, Trade, 134256.717, 76, B06, S00, 1
B06, Trade, 134739.700, 76, B06, S00, 1
B06, Trade, 135066.217, 76, B06, S02, 1
